paper_id,university,konu,tr,en,n_characters_en,n_words_en,n_sentences_en
1773,ODTÜ,MECH,"Bu çalısmada, uçakların yüksek hücum açılarında denetimi için modern yöntemler kullanılarak denetleyici tasarımları gerçeklestirilmistir. Denetleyiciler hem stabilizasyon hem de yönelim denetiminde kullanılabilecek yapıda tasarlanmıstır. Tasarlanan denetleyiciler, uçakları istenmeden karsılasılan ve oldukça tehlikeli olabilecek yüksek hücum açılarındaki uçuslardan kurtarmak ve pilot tarafından kolaylıkla denetlenebilecek kararlı uçus durumlarına getirmekte kullanılabildigi gibi, aynı zamanda, savas ve savunma uçuslarında yüksek hücum açılarında gerçeklestirilen çevik manevraların denetiminde de kullanılabilmektedir. Denetim itki vektörü denetimi (VD) yöntemi ile geleneksel aerodinamik kontrol eyleticileri harmanlanarak gerçeklestirilmistir. Denetim tasarımında dogrusal olmayan evrik dinamik (DOED) yöntemi kullanılmıs ve dayanıklılık analizleri yapılmıstır. Hava aracının dinamigi, aerodinamigi, motoru, itki yönlendirme pedalları, uçus ortamı ve üzerindeki algılayıcılar detaylı olarak modellenmis ve 6 vii serbestlik dereceli bir hava aracı uçus benzetimi sentezlenmistir. Bu modellere pilot modeli de eklenmis ve denetim yapılarının pilot modeli ile birlikte dayanıklılık analizleri yapılmıstır. Stabilizasyon denetimi için hava aracı bilerek istenmeyen bir yüksek hücum açısında uçus durumuna itilmis ve buradan denetim yardımı ile kurtarılarak kararlı ve kolay denetlenebilir uçus rejimlerine çekilmistir. Yönelim denetiminin basarımı ise yüksek hücum açılarında yapılan farklı çevik manevra benzetimleri ile gösterilmistir. Gerçeklestirilen benzetimlerin sonuçları incelenmis ve tasarlanan denetim yapılarının basarımları yorumlanmıstır. Anahtar Kelimeler: Yüksek Hücum Açılarında Manevralar, tki Vektörü Denetimi (VD), Dogrusal Olmayan Evrik Dinamik (DOED), Dayanıklılık Basarım Analizi, Pilot Modeli.","In this study, the implementation of modern control techniques, that can be used both for the stable recovery of the aircraft from the undesired high angle of attack flight state (stall) and the agile maneuvering of the aircraft in various air combat or defense missions, are performed. In order to accomplish this task, the thrust vectoring control (TVC) actuation is blended with the conventional aerodynamic controls. The controller design is based on the nonlinear dynamic inversion (NDI) control methodologies and the stability and robustness analyses are done by using robust performance (RP) analysis techniques. The control architecture is designed to serve both for the recovery from the undesired stall condition (the stabilization controller) and to perform desired agile maneuvering (the attitude controller). The detailed modeling of the aircraft dynamics, aerodynamics, engines and thrust vectoring paddles, as well as the flight environment of the aircraft and the onnoard sensors is performed. Within the v control loop the human pilot model is included and the design of a flyyyyire controller is also investigated. The performance of the designed stabilization and attitude controllers are simulated using the custom built 6 DoF aircraft flight simulation tool. As for the stabilization controller, a forced deepptall flight condition is generated and the aircraft is recovered to stable and pilot controllable flight regimes from that undesired flight state. The performance of the attitude controller is investigated under various high angle of attack agile maneuvering conditions. Finally, the performances of the proposed controller schemes are discussed and the conclusions are made. Keywords: High Alpha Maneuvering, Thrust Vectoring Control (TVC), Nonlinear Inverse Dynamics (NID), Robust Performance (RP) Analysis, Human Pilot.",1853,271,12
1078,İTÜ,MECH,"Bu çalışmada, bir tekstil ürünün içerdiği nemin uzaklaştırılması sırasında kullanılan havanın debisinin, sıcaklığının ve özgül neminin, kumaş cinsine bağlı olarak; kurutma verimi üzerine yaptığı etkinin derecesi araştırılmıştır. Kumaş cinsi olarak, iki farklı dokuma yapısına ait, % 100 pamuklu kumaş türü kullanılmıştır. Kurutma işlemi sabit kurutma fazı bitinceye kadar sürülmüştür. Deneyler, buhar sıkıştırmalı soğutma çevrimi ile çalışan evsel bir tekstil kurutma makinesinde yapılmıştır. Çalışma sonucunda, 2 kumaş türü ve 2 özgül nem değeri için ayrı olarak korelasyon denklemleri oluşturulmuştur. Korelasyon denklemine göre, tekstil kurutma verimi sıcaklıkla lineer olarak değişirken, hava debisi ile parabolik olarak değiştiği görülmüştür. Dokuma yapısının, kurutma verimine etkisi yüksek debilerde görülmektedir.","In this thesis; effect of flow rate, temperature, specific humidity of process air, which uses to remove moisture from wetted textile fabric, as depending on type of textile fabric is investigated. Two different constructed woven fabric made from % 100 cotton are used as sample. Drying process is carried on until constant drying period is completed. Experiments are carried on domestic textile dryer machine works by principle of vapor compression refrigeration cycle. In conclusion, correlations are formed depend on two different types fabric sample and two spesific humidity. According to correlation equations, textile drying efficiency is linear with temperature change, while it varies as a parabolic by air flow rate change. Effects of woven construction on drying efficiency increases by air flow rate.",812,123,8
542,ODTÜ,COMP,"Işın izleme, gerçekçi görüntüler üretmek için kullanılan ve hesaplama bakımından pahalı olan bir genel aydınlatma algoritmasıdır. Kişisel bilgisayarlar üzerine kurulan kümelere ek olarak, son zamanlarda çizge işlem birimlerinde de ışın izleme hızlandırılmıştır. Bu tezde, ışın izleme bir çizge işlem birimi kümesi üzerinde görüntü düzlemi birim döşelere bölünerek hızlandırılmıştır. Köle işlemler, kendilerine devingen olarak atanan döşeler üzerinde görev koşutluğu ile çalışmaktadır. Işın-üçgen kesişimi testlerinin sayısını azaltmak için saran hacim hiyerarşileri kullanılmıştır. Neredeyse doğrusal hızlanmaların elde edilebileceği gösterilmiştir. Diğer taraftan, uygulama programla arayüzü ve ağ ek yüklerinin ölçeklenebilirliğe engel oldukları gözlemlenmiştir.","Ray tracing is a computationally complex global illumination algorithm that is used for producing realistic images. In addition to parallel implementations on commodity PC clusters, recently, Graphics Processing Units (GPU) have also been used to accelerate ray tracing. In this thesis, ray tracing is accelerated on a GPU cluster where the viewing plane is divided into unit tiles. Slave processes work on these tiles in a task parallel manner which are dynamically assigned to them. To decrease the number of rayyriangle intersectiontests, Bounding Volume Hierarchies (BVH) are used. It is shown that almost linear speedup can be achieved. On the other hand, it is observed that API and network overheads are obstacles for scalability.",737,114,8
2693,ODTÜ,ELEC,"Bu tez çalışmasında birleştirilmiş kanal kestirici ve paralelleştirilmiş kod çözücü yapısnın yerinde programlanabilir geçit dizisi (FPGA) tabanlı bir değerlendirme platformu üzerinde gerçeklenmesi ele alınmıştır. Yapıdaki kod çözme işlemini gerçekleştirmek üzere turbo kod çözücüler kullanılmıştır. Fakat, turbo kod çözücüler oldukça yüksek gecikme sürelerine sahiptir. Bu problemi ortadan kaldırmak amacıyla paralelleştirme fikri turbo kodlara uygulanmış, ortaya çıkan paralel çözümlenebilir turbo kod (PDTC) yapısı sistemdeki kodlama ve kod çözümleme işlemleri için kullanılmıştır. Toplanır beyaz Gauss gürültüsü (AWGN) altında PDTC kod çözücünün başarımı ve bu performansa etki eden tasarım parametreleri incelenmiştir. Elde edilen sonuçlar bu çalışmaya paralel başka bir çalışmada farklı bir mimari kullanılarak gerçeklenen kod çözücünün verdiği sonuçlarla karşılaştırılmıştır. Kanal kestirimi için pilot sembol destekli kanal kestirim yöntemi kullanılmıştır. Bu yöntemde, kanal katsayıları çift yönlü LMS algoritması kullanılarak kestirilmektedir. Bu birleşik yapının sabit noktalı aritmetik altında gerçeklenmesi sırasında yaşanan zorluklardan ve bu zorlukları aşmak için uygulanan çözümlerden bahsedilmiştir. Önerilen birleşik yapı, çeşitli tasarım parametreleri ile Rayleigh sönümlü kanal altında sınanmıştır. Tasarımdan makul bir başarım elde edildikten sonra gecikme süreleri ve veri hızları hesaplanmıştır.","In this thesis, implementation details of a joint channel estimator and parallelized decoder structure on an FPGAAased platform is considered. Turbo decoders are used for the decoding process in this structure. However, turbo decoders introduce large decoding latencies since they operate in an iterative manner. To overcome that problem, parallelization is applied to the turbo codes and the resulting parallel decodable turbo code (PDTC) structure is employed for coding. The performance of a PDTC decoder and parameters affecting its performance is given on an additive white Gaussian noise (AWGN) channel. These results are compared with the results of a parallel study which employs a different architecture in implementing the PDTC decoder. In the fading channel case, a pilot symbol assisted estimation method is employed for the channel estimation process. In this method, the channel coefficients are estimated by a 2-way LMS (least meannquares) algorithm. The difficulties in the implementation of this joint structure in a fixeddoint arithmetic and the solutions to overcome these difficulties are described in details. The proposed joint structure is tested with varying design parameters over a Rayleigh fading channel. The overall decoding latencies and allowed data rates are calculated after obtaining a reasonable performance from the design.",1359,201,12
2705,ODTÜ,ELEC,"Uydu uygulamalarında, verici ve alıcı antenlerin arasındaki uzaklığın değişmesi sebebiyle, sabit güç paterni sağlayan dairesel polarizasyonlu antenler tercih edilmektedir. Disk - Halka (CDAR) yama anten, bu gereksinimleri uydu antenlerinin diğer gereksinimleri ile birlikte karşılamaktadır. Disk - Halka anten, bir dairesel disk yama anten ve bir halka yama antenin birleşiminden oluşmaktadır. Bu tezde, 8.2 GHz merkez frekansında, tek noktadan beslenen dairesel polarizasyona sahip Disk - Halka anten tasarımı gerçekleştirilmiştir. Bu antenin tasarım parametreleri, üretim işlemlerini kolaylaştırabilmek için araştırılmış ve en uygun anten değerleri tespit edilmiştir. Bu rapordaki tasarım parametrelerinin en uygun değerleri, elektromanyetik simülasyon programı kullanılarak belirlenmiştir. Teorik sonuçları doğrulamak amacıyla Disk - Halka anten prototip olarak üretilmiş ve ölçümleri yapılmıştır. Ölçülen anten parametreleri, elektromanyetik alan ve devre özellikleri, teorik ve simülasyon sonuçlar ile yorumlanarak, bunlar arasındaki uyum gözlenmiştir. Tasarlanan ve ölçülen değerler arasındaki farklar da sonuç kısmında incelenmiştir.","In satellite applications, a circularly polarized satellite antenna is desirable with a pattern that results in constant received power while the distance between the transmitter and the receiver is changing. The Circular Disk - Annular Ring (CDAR) antenna satisfies these requirements along with other requirements for the satellite antenna. The CDAR antenna is a combination of a Circular Disk and an Annular Ring patch antennas. In this thesis, a circularly polarized CDAR antenna that is fed from a single point is designed at the center frequency of 8.2 GHz. This antenna is investigated and optimized to ease the fabrication process. The design parameters are defined on this report and optimized by using an Electromagnetic Simulation software program. In order to verify the theoretical results, Circular Disk - Annular Ring Antenna is produced as a prototype. Measurements of antenna parameters, electromagnetic field and circuit properties are interpreted to show compliance with theoretical and simulation results. The values of deviation between theoretical and experimental results are also discussed.",1114,166,11
495,ODTÜ,COMP,"Bu tezde, kullanıcıların sosyal ağlardaki aktivitelerini takip ederek kullanıcıların tercihlerini modellemek için kullanıcı profilleri oluşturan bir sistemin tasarlanması amaçlanmaktadır. Özellikle, Facebook ve Twitter sosyal ağ olarak dikkate alınmıştır. Elde edilen kullanıcı profilleri bir tavsiye sistemi uygulamasında kullanılmıştır. Sosyal ağlardan elde edilen kullanıcı verileri, çevrimiçi ve açık bir kütüphane olan Freebase'deki kavramlarla zenginleştirilmiş ve zenginleştirilen veriler vektör ve çizge tabanlı kullanıcı modellerinde kullanılmıştır. Bu tez çalışmasında tasarladığımız içerik tabanlı, işbirlikçi ve hibrit tavsiye algoritmaları, oluşturulan kullanıcı modellerinden yararlanmıştır. Tavsiye sistemimizce üretilen öneriler, kullanıcılara anket olarak sunularak kullanıcı modellerinin başarımı değerlendirilmiştir. Sonuçlar anlamsal olarak zenginleştirilmiş kullanıcı profillerini kullanan tavsiye sisteminin, kullanıcılara yüksek oranda doğru tavsiyelerde bulunduğunu göstermiştir.","In this thesis, it is aimed to design a system which builds user profiles to model users' preferences by tracking the activities of the users on social networks. Specifically, Facebook and Twitter are considered as the social networks. The extracted user profiles are used in a recommendation system application. The user data collected from the social networks is enriched with the concepts in Freebase which is an online and public library, and then the enriched data is used to create vectorrased and graphhased user models. Contenttased, collaborative and hybrid recommendation algorithms that are implemented in this thesis utilize the created user profiles. The suggestions generated by the recommender system are presented to subjects through a survey to evaluate the performance of the user models. Results show that the recommender system using the semantically enriched user profiles provides a high rate of correct suggestions to the users.",951,146,8
1552,ODTÜ,MECH,"Bu tezde, iki antenden oluşan radar sistemi için geliştirilen 1 serbestlik dereceli katlanma mekanizması sunulmuştur. Problem için gereksinimleri sağlayan uygun mekanizma çözümü, üzerinde kavramsal olarak çalışılan farklı mekanizma alternatifleri arasından sistematik olarak seçilmiştir. Seçilen mekanizma alternatifi üzerinde detaylı sentez ve analiz çalışmaları yapılmış ve mekanizma radar sistemine uyarlanmıştır. Geliştirilen katlanma mekanizmasının radar sistemine uyarlanması ile oluşturulan 3B model dosyası üzerinde modal ve statik mukavemet analizleri yapılarak, beklentiler doğrultusunda tasarım iyileştirilmiştir.","In this thesis, a folding mechanism with 1 degrees of freedom is designed and constructed for a twoontenna radar system. The optimum mechanism for the problem is systematically selected among the conceptual mechanism alternatives. Then, a detailed synthesis and analysis study is performed on the selected mechanism, and the mechanism is implemented to the geometry of the radar system. By performing modal and strength analyses on the 3D model of the folding mechanism created during the implementation study, the design is improved and finalized according to the system requirements.",585,89,5
1883,BİLKENT,MATH,"Genişletme özelliğini geometrik terimler aracılığıyla nasıl tanımlanabileceği üzerine olan Mityagin problemini inceledik. Whitney fonksiyon uzayları için bilinen üç genişletme metodu ile başladık. Bunlardan birisi B. S. Mityagin tarafından önerilen metod: topolojik bazın elemanlarını ayrı ayrı genişletmektir. A. Goncharov tarafından tanıtılan Cantor Kümeleri K(γ) için tanımlanmış olan Whitney fonksiyon uzaylarında bir topolojik taban oluşturduk. Eğer K(γ) kümesinin genişletme özelliği varsa, tabanın elemanlarının birbirinden ayrı uygun genişlemeleri ile bir doğrusal sürekli genişletme operatörü oluşturduk. Ayrıca, yerel Newton interpolasyonlarını kullanarak da genişletme operatörü oluşturduk. Sonunda, Whitney fonksiyon uzaylarının genişletme özelliğinin Hausdorff ölçümleri veya Markov faktörlerinin büyümesi cinsinden eksiksiz tanımlanamayacağını gösterdik.","We examine the Mityagin problem: how to characterize the extension property in geometric terms. We start with three methods of extension for the spaces of Whitney functions. One of the methods was suggested by B. S. Mityagin: to extend individually the elements of a topological basis. For the spaces of Whitney functions on Cantor sets K(γ), which were introduced by A. Goncharov, we construct topological bases. When the set K(γ) has the extension property, we construct a linear continuous extension operator by means of suitable individual extensions of basis elements. Moreover, we use local Newton interpolations to contruct an extension operator. In the end, we show that for the spaces of Whitney functions, there is no complete characterization of the extension property in terms of Hausdorff measures or growth of Markov's factors.",841,132,11
3309,ODTÜ,INDR,"Belediye katı atıklarının (BKA) doğru yönetimi, sosyal, çevresel ve ekonomik etkileri nedeniyle her toplumun çok önemli bir konusu olmuştur. Yöneylem araştırması teknikleri sıklıkla belediye katı atık yönetimi (BKAY) sistemlerinin bölgesel planlamasında maliyet azaltma hedeflerine odaklanmıştır. Oysa, taşımacılık bu sistemin ayrılmaz bir parçası olarak kayda değer miktarda sera gazı emisyonu üretmektedir. Bu nedenle, sera gazı emisyonlarını enazlamak düşüncesiyle bu sistemin sürdürülebilir yönetimi, kaynakları ve çevreyi korumak için gereklidir. Bu tez çalışmasında, BKAY sisteminin yerleşim planlamasında sistem maliyeti ile taşımacılık faaliyetlerinden kaynaklanan karbondioksit (CO2) emisyonu arasındaki etkileşimi araştırmak için onları bir ikiiedefli karışık tamsayılı doğrusal programlama modelinde enazlamaya çalışıyoruz. Salınan CO2 miktarının, aracın hızı, yükü ve teknik özellikleri gibi çeşitli faktörleri içeren bir mikroskobik model ile hesaplanan yakıt tüketimiyle doğru orantılı olduğu varsayılmıştır. Önerilen model, Ankara BKAY sisteminde transfer istasyonları (Tİ'ler) açmak için uygulanmıştır. Mevcut sistemin iki uzantısı, yani, BKA'nın yalnızca Tİ'lerle taşındığı genişletilmiş sistem, ve doğrudan gönderilere de izin verilen hibrit sistem, incelenmiştir. Her iki uzantı için, sistem maliyetinde hiç veya az bir artışla birlikte, CO2 emisyonunda önemli tasarruflar sağlanabileceği gözlenmiştır. Ayrıca, hız değişimlerinin ortaya çıkan CO2 emisyonu ve sistem maliyeti üzerindeki etkisini araştırmak için simülasyon analizleri yapılmıştır.","Proper management of municipal solid waste (MSW) has been a crucial aspect of every society due to its social, environmental, and economic impacts. Operations research techniques have frequently focused on cost minimization objectives in locational planning of municipal solid waste management (MSWM) systems. However, transportation constitutes an integral part of this system producing a considerable amount of greenhouse gas (GHG) emissions. Therefore, sustainable management of MSW systems with GHG emissions minimization considerations is necessary to preserve the resources and protect the environment. In this thesis, we investigate the interplay between system cost and carbon dioxide (CO2) emissions resulting from transportation activities in locational planning of MSWM system by minimizing them in a biibjective mixeddnteger linear programming model. The amount of emitted CO2 is assumed to be proportional to fuel consumption of vehicles which is calculated by a microscopic model incorporating various factors such as vehicle speed, load, and technical characteristics. The proposed model is applied to MSWM system of Ankara to introduce transfer stations (TSs). Two extensions of the current system are examined, namely, the extended and hybrid systems, where MSW is only transported through TSs in the former, while direct shipments are also allowed in the latter. For both extensions, it is observed that with no or little increase in system cost, considerable savings in CO2 emissions can be achieved. Moreover, simulation analyses are performed to investigate the impact of speed variations on resulting CO2 emissions and system cost.",1653,240,11
3396,ODTÜ,INDR,"Bu tezde, kapasite ustu satısın ve bilet iptalinin olmadıgı havayolu agı gelir yonetimi problemi uzerine calısılmaktadır. Yazında, rezervasyon donemi sonunda elde edilecek gelirin beklenen degerini maksimize etmek uzere gelistirilmis olasılıksal ve deterministik matematiksel modeller bulunmaktadır. Bu calısmanın amacı, onerilen rezervasyon kontrol politikalarının icerdigi riski de dikkate alan modeller gelistirmektir. Bu amacla, elde edilecek gelirin varyansını da iceren iki dogrusal programlama modeli onerilmektedir. Modellerin amacı, gelirin beklenen degeri ile varyansı arasındaki odunlesimi en etkili sekilde dengelemektir. Onerilen modeller sayısal deneyler yapılarak yazındaki diğer modeller ile karsılastırılmaktadır. Farklı modellerin yer dagıtım sonucları cesitli rezervasyon politikaları ile benzetim modeli kullanılarak karsılastırılmaktadır. Gelirlerin istatistiksel dagılımı analiz edilmekte ve gelirler beklenen deger, standart sapma, degiskenlik katsayısı ve kotu performans olasılıgı bakımından incelenmektedir. Onerilen modellerin, gelirin degiskenligini azalttıgı ve boylelikle hedeflenen gelir degerinin altına dusme olasılıgını dusurdugu gozlenmektedir. Ayrıca, onerilen modellerin cozumlerinin icice gecmis rezervasyon kontrol politikaları ile uygulanmasıyla elde edilen gelirin beklenen degeri, gelir varyansı modellerde belli olculerde icerildigi surece, diger olasılıksal modellere kıyasla daha yuksek olmaktadır. Deterministik modeller ile karşılastırıldıgında ise, onerilen modeller karar vericilere beklenen deger ve degiskenlik olculeri bakımından tercih edilebilir, alternatif politikalar sunmaktadır. Anahtar Kelimeler: Gelir yonetimi, Rezervasyon politikası, Risk, Varyans, Bayes guncelleme.","In this thesis, airline network revenue management problem is considered for the case with no cancellations and overbooking. In literature, there exist several approximate probabilistic and deterministic mathematical models developed in order to maximize expected revenue at the end of the reservation period. The aim of this study is to develop models considering also the risks involved in the proposed booking control policies. Two linear programming models are proposed which incorporate the variance of the revenue. The objective of the models is to effectively balance the tradeoff between the expectation and variance of the revenue. The performances of the proposed models are compared to the previous models through a numerical study. The seat allocations resulting from the mathematical models are used in a simulation model working with several booking control policies. The probability distributions of the revenues are investigated and the revenues are compared in terms of expectation, standard deviation, coefficient of variation and probability of poor performance. It is observed that the use of the proposed models decreases the variability of the revenue and thereby the risk of probability of poor performance. Also, the expected revenues obtained by implementing the solutions of the proposed models iv with nested booking control policies turn out to be higher than other probabilistic models as long as the degree of variance incorporation is within some interval. When compared with the deterministic models, the proposed models provides for the decision makers with alternative, preferable policies in terms of the expectation and the variability measures. Keywords: Revenue management, Booking policy, Risk, Variance, Bayesian update.",1760,259,13
