university,konu,tr,en
Boğaziçi Üniversitesi,Elektrik ve Elektronik Mühendisliği = Electrical and Electronics Engineering,"Yeniden yapılandırılabilir akıllı yüzeyin (RIS) düşük karmaşıklık ve güç gereksinimleri nedeniyle kablosuz iletişim sistemlerinin performansını önemli ölçüde artırabileceği görülmektedir. Küçük, yapılandırılabilir, pasif öğelerden oluşan RIS'ler, sinyali belirli bir yönde yansıtmak, yükseltmek, zayıflatmak ve genel iletişim performansını iyileştirmek için ek sinyal bileşenleri eklemek üzere programlanabilir. RIS'ler, kapasite, kapsam, konumlandırma, güvenlik ve sürdürülebilirlik iyileştirmeleri dahil olmak üzere farklı amaçlar için kullanılabilir. Bu tez çalışmasında, RIS'in kapsam geliştirme ve fiziksel katman güvenliği (PLS) kullanım durumları incelenmiştir. Kapsam geliştirme için tek kullanıcılı ve iki kullanıcılı senaryolar ele alınmıştır. Tek kullanıcı senaryosunda, optimizasyon için gerekli yineleme sayısını azaltmak için Konvolüsyonel Sinir Ağları (CNN) kullanan bir RIS optimizasyon yöntemi önerilmiştir. Sonuçlar, önerilen CNN modelinin performansta hafif bir düşüş karşılığında yapılandırma için gerekli adım sayısını önemli ölçüde azalttığını göstermektedir. İki kullanıcılı senaryoda, hem kapsam geliştirme hem de güvenlik kullanım durumları incelenmiştir. Kapsam iyileştirme için, RIS buna göre yapılandırılarak kullanıcılar arasındaki RIS kazanç dağılımının ihtiyaca göre yönetilebileceği gösterilmiştir. Güvenlik kullanım durumu için, vericinin (Alice), kullanıcının (Bob) ve dinleyicinin (Eve) bir iç mekan ortamındayken PLS sağlamaya yönelik RIS'in ölçüme dayalı karakterizasyonu sunulmuştur. Ayrıca, ölçüm sonuçları simülasyon sonuçları ile doğrulanmıştır. Son olarak, Eve'in PLS'deki hakimiyetini önlemek ve gizlilik kapasitesinde hafif bir azalma karşılığında Bob'a daha fazla RIS kazancı sağlamak için bir eşikleme yöntemi önerilmiştir.","Recent research has shown that a reconfigurable intelligent surface (RIS), which is an attractive technology due to its low complexity and power requirements, can considerably improve the performance of wireless communication systems. RIS composed of small, reconfigurable, passive elements can be programmed to reflect the signal in a particular direction, amplify or attenuate it, or even introduce additional signal components to improve the overall communication performance. RIS can be utilized for different purposes including enhancements to the coverage, positioning, capacity, security, and sustainability. In this thesis, coverage enhancement and the physical layer security (PLS) use cases of RIS are investigated. For the coverage enhancement, single-user and two-user scenarios are discussed. In the single-user scenario, a RIS optimization method using Convolutional Neural Networks (CNN) is proposed to reduce the number of iterations required for optimization. The results show that the proposed CNN model significantly decreases the number of steps required for the configuration by causing a slight degradation in the performance. In the two-user scenario, both coverage enhancement and security use cases are investigated. For coverage enhancement, it is shown that the RIS gain distribution between the users can be managed with respect to the needs by configuring the RIS accordingly. For the security use case, measurement-based characterization of RIS for providing physical layer security, where the transmitter (Alice), the intended user (Bob), and the eavesdropper (Eve) are deployed in an indoor environment is presented. Also, the measurement results are verified with the simulation results. Finally, a thresholding method is proposed to prevent Eve's dominance in PLS and provide more RIS gain to Bob in return for a slight reduction in secrecy capacity."
Boğaziçi Üniversitesi,Elektrik ve Elektronik Mühendisliği = Electrical and Electronics Engineering,"Bu tezin amacı, adaptif bir zaman aralığı stratejisi uygulayarak ağır yük taşıyan araç konvoylarında yakıt verimliliğini artırmayı amaçlayan bir yaklaşım sunmaktır. Optimizasyon tasarımı, temel terimler olarak dizel motorun yakıt tüketiminin ve hava direncinin doğrusal olmayan modellerini içermektedir. Bu unsurlar genel maliyet fonksiyonuna, adaptif bir zaman aralığı stratejisi hesaplamak için entegre edilip doğrusal olmayan bir model öngörülü kontrolör tasarımında kullanılır. Temel odak noktası, zaman aralığını ayarlayarak yakıt tüketimini en aza indirmektir ve bu durum hava direnci katsayısını da etkilemektedir. Ancak, zaman aralığını ve hava direnci katsayısını azaltmak her zaman en verimli yakıt strateji olmayabilir. Bazı senaryolarda, minimum zaman aralığına uymak aşırı kontrol çabasına neden olabilir, bu da aracın motorunu verimsiz yakıt haritası bölgesinde çalıştırmasıyla daha yüksek yakıt tüketimine yol açar. Önerilen dinamik strateji, potansiyel hava direnci azaltma avantajlarını optimize etmek için belirli sınırlar içinde araçlar arası mesafeyi değiştirmeye olanak tanırken, motorun yakıt haritasını da dikkate alır. Kontrol tasarımının etkinliğini değerlendirmek ve beklenen sonuçları doğrulamak için kapsamlı kapalı çevrim simülasyonlar yapılmıştır. Bir referans kamyon modeli kullanılmış olup yukarı ve aşağı eğimli çeşitli yol topografyası koşulları dikkate alınmıştır. Simülasyon sonuçları, adaptif zaman aralığı stratejisinin farklı senaryolarda ağır yük taşıyan kamyonların yakıt tüketimini azaltmada etkinliğini vurgulamaktadır. Öncü araçla karşılaştırıldığında, yakıt tüketimi %8'e kadar azaltılmış ve sabit zaman aralığı yaklaşımına kıyasla %3'e varan azalmalar gözlemlenmiştir.","This thesis presents an approach for enhancing fuel efficiency in heavy-duty vehicle platooning through the implementation of an adaptive spacing strategy. The optimization design incorporates two crucial components, namely the nonlinear fuel consumption model of a diesel engine and the nonlinear air drag model. By integrating these elements into the overall cost function, a nonlinear model predictive controller is devised to calculate an adaptive time headway strategy. The primary focus is minimizing fuel consumption by adjusting the time headway which also affects the air drag coefficient. However, simply reducing the time headway and the air drag coefficient may not always be the most fuel-efficient strategy. In some scenarios, keeping up to the minimum set time headway can lead to excessive control effort, resulting in higher fuel consumption because the vehicle has to operate its engine within the inefficient fuel map region. The proposed dynamic strategy allows modifying the intervehicular distance within certain boundaries in order to optimize the potential benefits of aerodynamic drag reduction while respecting the engine's fuel map. To assess the effectiveness of the control design and validate the expected outcomes, extensive closed-loop simulations are conducted. A benchmark truck model is utilized, and various road topography conditions involving uphill and downhill slopes are considered. The simulation results underscore the efficacy of the adaptive time headway strategy in reducing fuel consumption for heavy-duty trucks across different scenarios. When compared to the lead vehicle, fuel consumption is reduced by up to 8%, and compared to a constant time headway approach, reductions of up to 3% are observed."
Boğaziçi Üniversitesi,Elektrik ve Elektronik Mühendisliği = Electrical and Electronics Engineering,"Önemli bir CPS uygulaması olarak V2X ağlarının gecikme süresi ve enerji verimliliği gereksinimlerine ek olarak kendine has güvenlik ortamı bulunur. Güvenli V2X uygulamalarına karşı, gizli dinleme ve yanıltma saldırıları olmak üzere iki kritik saldırı türü vardır. Bu tezde, bu saldırıları havadaki yanıltıcılar, yerde konumlu yanıltıcılar ve gizli dinleyicilerin ortaklaşa entegre edildiği yeni bir sistem modelinde değerlendiriyoruz. Gizli dinleyici saldırılarına karşı olarak, McEliece kriptosistem tabanlı ve röle destekli metodolojiyle FEC kodlarını kullanarak saldırganı yanıltmak için bilgi verilerine bir hata vektörü eklenir. Sonuçlara göre, röleler ve gizli dinleyici arasındaki önemli ölçüde daha gürültülü kanalların bilgi güvenliğini artırır. Ek olarak, zaman bilgisine yönelik yanıltıcı saldırılarının uydu konumlandırma sinyalleri üzerindeki etkileri incelenmiştir. Bu amaçla, yer konumlu yanıltıcılara karşı farklı performanslara ve karmaşıklık seviyelerine sahip sözde mesafe tabanlı iki yanıltıcı saldırı algılama algoritması önerilmiştir. Bu algoritmaların en iyi sezme eşiklerini bulmak için Pareto cepheleri çizilir ve sonrasında karar ağacı tabanlı bir sezme yaklaşımı analiz edilir. Ayrıca bu algoritmalar, hareketlilik ve atmosferik gibi ek hatalara maruz kalan havadaki yanıltıcılara karşı test edilir. Son olarak, yanıltıcı tespit oranlarını iyileştirmek ve yanlış alarm oranlarını azaltmak için bir karar birleştirme modülünü entegre edilerek yukarı seviye bir hibrit karar metodolojisi uygulanır. Bu yaklaşımla, karar birleştirme modülü, önerilen algoritmanın ayrı aryı sonuçlarını birleştirir ve yanıltıcı tespiti performansını geliştirir. Özetle, bu tez, yeni bir sistem modelinde güvenli iletim şemaları ve algılama algoritmaları sağlayarak V2X ağlarında gizli dinleme ve yanıltma saldırılarına karşı kapsamlı stratejiler önermektedir.","As a significant CPS application, V2X networks have their own specific security atmosphere in addition to their latency and energy efficiency requirements. There are two critical attack types against secure V2X deployments, which are eavesdropping and spoofing attacks. In this thesis, we evaluate these attacks in a novel system model, where aerial spoofers, ground-located spoofers, and eavesdroppers are jointly integrated. Against eavesdropper attacks, an error vector is added to the information data to falsify the attackers using FEC codes with respect to and relay-aided McEliece cryptosystem-based methodology. The results show that significantly noisier channels between relays and the eavesdropper enhance information security. Additionally, the impacts of time spoofing attacks on satellite positioning signals are studied. For this purpose, two pseudorange-based spoofing detection algorithms with different performances and complexity levels are proposed to mitigate ground-located spoofers. In order to find the best detection thresholds of these algorithms, Pareto fronts are plotted, and then a decision tree-based detection approach is analyzed. These algorithms are also tested against novel aerial spoofers, which suffer additional mobility and atmospheric errors. Finally, a high-level hybrid decision methodology is applied to improve spoofing detection rates and reduce false alarm rates by integrating a decision fusion module. With this approach, the decision fusion module combines individual outcomes of the proposed algorithm and improves spoofing decision performance. In summary, this thesis proposes extensive strategies against eavesdropper and spoofing attacks in V2X networks by providing secure transmission schemes and detection algorithms in a novel system model."
Boğaziçi Üniversitesi,Elektrik ve Elektronik Mühendisliği = Electrical and Electronics Engineering,"Bilgiye ulaşmak kolaylaştıkça bu yolda karşılaşılan tehditlerle de daha fazla karşılaşılır oldu. Bilgiye ulaşılan bu yolların yeterince güvenilir olmadığı farkedilince çeşitli önlemler alınmaya başlandı. Bu önlemlerin en kullanışlı olanlarından biri olarak saldırı tespit sistemi gösterilebilir. Saldırı tespit sistemleri, ağın kapsamlı bir şekilde analiz edilmesini sağlar. Bu sayede olası tehditler mümkün olan en hızlı şekilde tespit edilir ve gereken önlemler alınabilir. Öte yandan, ağ trafiğini sınıflandırmak sadece tehditler için önem arz etmemektedir. Genel anlamda ağ hakkında bilgi edinmek için de önemlidir. Bahsi geçen durumlar için üretici ağlardan yararlanmak son dönemlerin en populer yöntemlerinden biri haline gelmiştir. Bu çalışmada, derin öğrenme metotlarından faydalanılarak özkodlayıcı modelleri ile ağ trafiği incelenmesi gerçekleştirilmiştir. Önerilen yordamda ağ trafiği incelenmesi iki aşamadan oluşmaktadır. İlk aşamada eğitim verisindeki sınıfların doğru bir şekilde sınıflandırılması hedeflenmektedir. İkinci aşama ise bilinmeyen sınıfların tespitine yöneliktir. Bunun için ise Uç Değerler İstatistiği kullanılmıştır. Bu matematiksel yaklaşım sayesinde bilinen ve bilinmeyen sınıfların ayrımı başarı ile gerçekleştirilmiştir. Kullanılan veriler iki farklı başlık altında değerlendirilebilir. Bunlardan ilki ağ saldırı çeşitlerinden oluşurken diğeri popüler sosyal medya trafiklerinden oluşmaktadır. Performans değerlendirmeleri göz önünde bulundurulduğunda, önerilen yordamın bilinen sınıfların sınıflandırılması ve bilinmeyen sınıfların tespitinde iyi sonuç gösterdiği görülmektedir.","As accessing information has become easier, the encountered threats along the way have become more frequent. When it was realized that these ways of accessing information were not sufficiently reliable, various prevention techniques were implemented. One of the most useful of these measures is the intrusion detection systems. The Intrusion Detection Systems provide a comprehensive analysis of the network. This way, potential threats can be rapidly detected as quickly as possible and the necessary measures can be taken. On the other hand, classifying network traffic is not only important for identifying threats but it is also crucial for gaining insight into the network's overall behaviour. Utilizing generative networks for these purposes has become one of the most popular methods in recent times. In this study, deep learning methods are employed to analyze network traffic by using autoencoder models. In the proposed method, network traffic analysis consists of two stages. The first stage aims to correctly classify the classes in the training data. The second stage focuses on detecting unknown classes which is achieved through the application of Extreme Value Theory. Thanks to this mathematical approach, successful separation of known and unknown classes is achieved. The utilized data can be evaluated under two different headings. The first one consists of network attack types while the second comprises popular social media traffics. According to the performance evaluation metrics, the proposed procedure demonstrates satisfactory results in both the classification of known classes and the detection of unknown classes."
Boğaziçi Üniversitesi,Elektrik ve Elektronik Mühendisliği = Electrical and Electronics Engineering,"Dağıtılmış depolama sistemleri (DDS'ler) için işbirlikçi onarım planı üzerine kapsamlı bir çalışma sunuldu. Bu çalışma baz istasyon (BI) destegini kullanarak, kabul edilebilir bölge kavramı konsepti ile optimizasyon problemi formulasyonunu kapsamaktadir. Bulgular, depolama boyutu-onarım bant genişliği maliyet dengelemesini optimize eden daha geniş bir kabul edilebilir bölgeyi ortaya cikardi. Ayrıca, dinamik bir DSS ortam modeli tanıtıldı. Sayısal analiz, BS destekli işbirlikçi şemanın geleneksel yöntemlerden üstün olduğunu vurguladı. Ayrıca, düşük yoğunluklu çift parite kontrolu (LDPC) kod tasarımının optimize edilmesi için dekodlama eşiği, ortalama onarım bant genişliği ve kod oranı arasındaki etkileşime iliskin derinlemesine bir analiz yapıldı. İki önerilen onarım protokolünun ( rasgele erişim onarım ve ideal onarım protokolleri) bu etkileşim üzerindeki etkilerine vurgu yapıldı. Rasgele erişim onarım protokolü için ve minimum ortalama onarım bant genişliğini elde etmek için kontrol düğümü derece dağılımını belirleme yöntemi önerildi. Sayısal analiz ile ideal onarım protokolünün üstünlüğü gösterildi. Ayrıca, daha fazla onarım bant genişliği iyileştirmesi potansiyeline dikkat çekilerek, teorik bulgular doğrulandı. Son olarak, LDPC kodlu verilere sahip bir DSS'de durdurma setlerinin belirlenmesi ve ortadan kaldırılması araştırıldı. Ayrıca, tek düğüm onarımı için gerekli olan bant genişliğindeki potansiyel azalmalar gösterilerek, başarısız olan bir depolama birimi için gerekli olan onarım bant genişliğini belirleme için açgözlü bir algoritma önerildi.","An exhaustive study on a cooperative repair scheme for distributed storage systems (DSSs) utilizing base station (BS) assistance was presented, involving the concept of an admissible region and optimization problem formulation. Findings revealed a broader admissible region, optimizing the storage size-repair bandwidth cost tradeoff. Moreover, a dynamic DSS environment model was introduced. The numerical analysis highlighted the superiority of the BS-assisted cooperative scheme over traditional approaches. Furthermore, an in-depth analysis was made concerning the interplay among the decoding threshold, average repair bandwidth, and code rate, crucial for optimizing low-density parity-check (LDPC) code design for a DSS. The influences of two proposed repair protocols - the random access repair protocol and the ideal repair protocol - on these relationships were emphasized. For random access repair protocol, a method for determining the check node degree distribution $\rho (x)$ to achieve the minimum average repair bandwidth was proposed. Using numerical analysis, ideal repair protocol's superiority was demonstrated. Moreover, the theoretical findings were verified, emphasizing the potential for further repair bandwidth improvements. Lastly, the identification and elimination of stopping sets in a DSS with LDPC-encoded data were explored. Additionally, a greedy algorithm for determining the repair bandwidth required for a failed storage unit was suggested, indicating potential reductions in the bandwidth needed for single-node repair."
Boğaziçi Üniversitesi,Elektrik ve Elektronik Mühendisliği = Electrical and Electronics Engineering,"Bu çalışma, çeşitli analog-dijital dönüştürücülerin şematik düzeyde tasarımı ve radyasyon analizi üzerinedir. Bu bağlamda paralel karşılaştırıcı (flash), ardışık yaklaşım (SAR) ve sigma-delta tipi olmak üzere üç farklı mimaride analog-dijital dönüştürücüler tasarlanıp geçici ve kalıcı radyasyon etkisi altında test edilmiştir. Paralel karşılaştırıcı tipi dönüştürücü, analog devreler için bir modelleme dili olan Verilog-A ile tasarlanırken ardışık yaklaşım ve sigma-delta tipi dönüştürücüler 65nm CMOS teknolojisinde transistörler ile tasarlanmıştır. Tasarlanan dönüştürücüler devrede geçici etki yaratan SET tipi ve kalıcı etki yaratan TID tipi radyasyon etkileri altında incelenmiştir. Tasarlanan paralel karşılaştırıcı tipi dönüştürücü yalnızca TID etkisi altında incelenmiş olup bu etkinin yarattığı sonuçlar sunulmuştur. Ardışık yaklaşım tipi için ise birbirleriyle karşılaştırma yapabilmek adına iki farklı kapasitif dijital-analog dönüştürücü topolojisi kullanılarak tasarımlar yapılmıştır. Bu ardışık yaklaşım tipi analog-dijital dönüştürücüler ayrı ayrı TID ve SET etkileri altında incelenip elde edilen sonuçlar açıklanmıştır. Analog-dijital dönüştürücülerin SET simülasyonlarının sonucunda, incelenen iki analog-dijital dönüştürücünün radyasyon performansları karşılaştırılıp dijital-analog dönüştürücülerin hassas düğümleri belirlenmiştir. Sigma-delta dönüştürücü kısmında ise birinci dereceden bir modülatör tasarlanarak TID ve SET etkileri altında incelenmiştir. Sunulan sonuçların yanı sıra modülatör içerisindeki entegratörün hassas düğümleri belirlenmiş ve çeşitli çıkarımlar yapılmıştır.","This study is on the schematic level design of various ADCs and their radiation analysis. In this context, ADCs with three different architectures, which are flash ADC, SAR ADC, and sigma-delta ADC, are designed and tested under temporary and permanent radiation effects. The flash ADC is designed in Verilog-A, which is a modeling language for analog circuits, whereas SAR ADC and sigma-delta modulator are designed by utilizing transistors in 65nm CMOS technology. The designed ADCs are examined under the SET effect, which causes temporary effects on the circuit, and the TID effect, which causes permanent effects. The designed flash ADC is examined only under the effect of TID, and the results of this effect are presented. For the SAR ADC, designs are made using two different capacitive DAC topologies to be able to compare with each other. These SAR ADCs are examined under the effects of TID and SET separately, and the results are explained. As a result of SET simulations of ADCs, the radiation performances of the designed ADCs are compared, and the sensitive nodes of the DACs are determined. In the sigma-delta ADC part, a first-order modulator is designed and investigated under the effects of TID and SET. In addition to the presented results, the sensitive nodes of the integrator are determined, and various inferences are made."
Boğaziçi Üniversitesi,Elektrik ve Elektronik Mühendisliği = Electrical and Electronics Engineering,"Bu tezde, kodlayıcı olarak bir Evrişimli Sinir Ağı (CNN) ve kod çözücü olarak Tekrarlayan Sinir Ağından (RNN) oluşan tanım oluşturma yapısı yeniden ziyaret edilerek, farklı görüntü özellik çıkarıcılarının, farklı RNN hücrelerinin, farklı kelime gömme türlerinin ve artık bağlantıların kullanımının etkileri karşılaştırıp değerlendirildi. Tanım oluşturma araştırma alanında oldukça popüler olan ``Show, Attend and Tell"" modelinde, RNN hücreleri arasına artık bağlantılar eklendi, ek olarak hem kodlayıcı hem de kod çözücü üzerinde değişiklikler yapılarak, modelin tanım oluşturma görevindeki performansı iyileştirildi. Ayrıca, önceden eğitilmiş 3 farklı kelime gömme içeren modeller eğitildi ve bunların faydaları araştırıldı. En iyi modelde, baz olarak alınan modele kıyasla 34 BLEU-4 puanı ve 15 SPICE puanı gelişme elde edildi. Ayrıca, en yüksek performans gösteren model, uzamsal alanda temsil edilen görüntüler yerine, frekans alanında temsil edilen görüntülerle eğitildi, etkileri araştırıldı ve bu yaklaşımın, modelin performansını artıramayacağı sonucuna varıldı. Deneylerin sonuçları, önerilen değişikliklerin etkinliğini göstermekte ve artık bağlantıların potansiyeline ilişkin içgörü sağlamaktadır.","In this thesis, the image captioning structure consisting of a Convolutional Neural Network (CNN) as the encoder and a Recurrent Neural Network (RNN) as the decoder is visited by comparing and evaluating the effects of different image feature extractors, different RNN cells, different types of word embeddings, and the involvement of residual connections between the RNN cells. The famous ``Show, Attend and Tell"" model is modified by adding residual connections between the RNN cells and adding other modifications on both the encoder and the decoder side, which improved the performance of the model on the image captioning task. Furthermore, models were trained by implementing 3 different pre-trained word embeddings and their benefits were explored. With the best model, 34 BLEU-4 points and 15 SPICE points improvement were achieved compared with the base model. The effects of training our best model with the images transformed into the frequency domain rather than the images represented in the spatial domain are investigated and it is concluded that this approach cannot enhance the performance of the model. The results of the experiments demonstrate the effectiveness of the proposed modifications and provide insights into the potential of residual connections."
Boğaziçi Üniversitesi,Elektrik ve Elektronik Mühendisliği = Electrical and Electronics Engineering,"Teknoloji her geçen gün geliştikçe elektronik sistemlerin yönetmesi gereken veri miktarı da doğru orantılı bir şekilde artmaktadır. Özellikle gömülü sistemlerde, alanı verimli kullanma zorunluluğu depolama birimi olarak kullanılan flash belleklerin belli bir boyutu geçmesine izin vermemektedir. Flash belleklerin üzerine inşa edildiği teknolojinin belli bir kullanım ömrünün olması bu teknolojilerin en efektif bir şekilde kullanımını zorunlu hale getirmiştir. Bu probleme çözüm olarak geliştirilen algoritma flash çeviri katmanıdır (FTL). Yıllar boyunca farklı FTL algoritmaları önerilmiş ve bu algoritmalar birçok avantajla beraber bazı dezavantajlara da yol açmıştır. Bu tezin amacı daha önce önerilen kompleks algoritmalardan farklı olarak çok daha basit ve implement edilebilir aynı zamanda yüksek başarı gösteren bir FTL algoritması sunmaktır. Okuma ve yazma işlemleri için hedef sayfa adresi direkt olarak eşleme tablosundan bulununmakta ve operasyon gerçekleştirilir. Yazma operasyonunda ise hedef sayfa adresi rastgele sayı üreticisinden gelen değer ile belirlenir. Eğer bu flah adresine daha önceden veri yazılmışsa bu adresteki veri bir sonraki boş flash adresine taşınır ve yazılacak veri rastegele sayı üreticinden gelen sayfa adresine yazılır. Bu yöntemle sayfa yazma işlemi hızlı ve efektif olarak gerçekleştirilmektedir. Algoritma FPGA üzerinde implement edilmiş ve bilgisayar üzerinde tasarlanan bir test yazılımı ile UART üzerinden test edilmiştir. Test uygulamasının sonuçları göstermiştir ki tasarlanan algoritma flash bellek sayfalarını düzenli bir dağılımla kullanmış ve başarı oranı %98 olmuştur. Ayrıca bu algoritmanın kullanılması için sadece bir flash bellek sayfasının ayrılması yetmiştir. Böylelikle bu çalışma diğer algoritmaların aksine flash bellekte alan kaybına sebep olmamıştır.","As technology develops day by day, the amount of data that electronic systems need to manage is increasing in direct proportion. Especially in embedded systems, the necessity to use space efficiently does not allow flash memories used as storage units to exceed a certain size. The fact that the technology on which flash memories are built has a certain lifetime has made it necessary to use these technologies in the most effective way. The algorithm developed as a solution to this problem is the flash translation layer (FTL). Different FTL algorithms have been proposed over the years, and these algorithms have led to some disadvantages along with many advantages. The aim of this thesis is to present a much simpler and implementable FTL algorithm, which is different from the complex algorithms proposed before, and which also shows high success. For read and write operations, the target page address is found directly from the mapping table and the operation is performed. In the write operation, the target page address is determined by the value from the random number generator. If data has been written to this flash address before, the data at this address is moved to the next free flash address and the data to be written is written to the page address from the random number generator. With this method, page writing is carried out quickly and effectively. The algorithm was implemented on the FPGA and tested over UART with test software designed on the computer. The results of the test application showed that the designed algorithm used flash memory pages with a regular distribution and the success rate was 98%. In addition, only one flash memory page sacrifice was sufficient to use this algorithm. Thus, this study did not cause space loss in flash memory, unlike other algorithms."
Boğaziçi Üniversitesi,Elektrik ve Elektronik Mühendisliği = Electrical and Electronics Engineering,"Konuşma süresi çok kısa olduğunda metin-bağımsız konuşmacı doğrulamanın başarısı büyük ölçüde düşmektedir. Bu tezde, çok kısa ifadelerle konuşmacı do\u{g}rulamadaki ciddi performans düşüşünü telafi etmeyi amaçlayan bazı yöntemler önerilmektedir. İlk olarak, çok kısa konuşma ifadelerinde mevcut olan sınırlı konuşmacı bilgisini geliştirmek için büyük ölçekli konuşmacı veri kümelerinden gelen ek bilgilerden yararlanmaya çalışan yöntemler önerilmektedir. İkinci olarak, kısa konuşma ifadeleri sorunu, konuşmanın fonetik içeriği açısından daha spesifik bir şekilde ele alınmaktadır. Doğrulama ifadeleri arasındaki fonetik uyumsuzluğun bir analizi ve konuşmacı doğrulamasında fonetik uyumsuzluğun farkında olan bir arka uç skorlama modülünün deneyleri gerçekleştirilmiştir. Genel olarak konuşmacı doğrulamasına yönelik, ancak çok kısa süreli koşullara uygulanabilecek katkılar da sunulmuştur. Arka uç puanlama modülü eğitimi için yeni bir kayıp fonksiyonu önerilmiştir. Önerilen kayıp fonksiyonu, çok kısa süreli senaryo da dahil olmak üzere tüm durumlarda referans temel kayıp fonksiyonundan daha iyi performans göstermiştir. Son olarak, konuşmacı doğrulamada kullanılan ayrıştırıcı arka uç skorlarması için yeni bir denetimsiz alan uyarlaması önerilmiştir. Önerilen uyarlama yöntemi, tüm durumlarda alan dışı arka uç puanlama modelinin hedef alandaki performansını iyileştirmiştir. Önerilen yöntemin temel uyarlama yöntemlerine kıyasla göreceli iyileşmesi, kısa süreli koşullarda en yüksektir.","The accuracy of the text-independent speaker verification suffers greatly when the speech duration is very short. In this thesis, some methods are proposed aiming to compensate for the drastic performance degradation in speaker verification with very short utterances. Firstly, methods that try to leverage the additional information from large-scale speaker datasets are proposed in order to enhance the limited speaker information that is present in the very short speech utterances. Secondly, the problem of short utterances is tackled in a more specific way in terms of the phonetic content of the speech. An analysis of phonetic mismatch between verification utterances is performed, along with experiments of a back-end scoring module that is aware of the phonetic mismatch in speaker verification. Furthermore, contributions to the speaker verification in general, which might be applicable to the very short duration conditions are presented. A novel loss function for back-end scoring module training is introduced. The proposed loss function outperformed the baseline loss function in all cases, including very short duration scenario. Lastly, a novel unsupervised domain adaptation of the discriminative back-end scoring for speaker verification is proposed. The proposed adaptation method improved the performance of the out-of-domain back-end scoring model in the target domain in all cases. The relative improvement of the proposed method, compared to baseline adaptation methods, is highest in short duration conditions."
Boğaziçi Üniversitesi,Elektrik ve Elektronik Mühendisliği = Electrical and Electronics Engineering,"Baz istasyonu kurulumlarının sıklaşmasından dolayı kapsama alanı sınırlarına yakın kullanıcıların performasları şiddetli girişim yüzünden düşmektedir. Girişim sinyalinin istatistiksel karakteristiği baz istasyonu kurulumlarının çoktürel olması ve dikey olmayan çoklu erişim kullanılmasıyla karmaşıklaşmaktadır. Bu tezde, kullanıcı performansının istatistiksel karakteristiklerini açığa çıkarmak için rastgele geometri analizi yapılmaktadır. Kullanıcı tarafından algılanan girişim, farklı yayın gücü kapasitelerine sahip komşu baz istasyonlarının sinyallerini ve dikey olmayan çoklu erişim kullanılması durumda kullanıcının kendi baz istasyonunun da sinyalini içerir. Bu girişim sinyali altında dikey olmayan çoklu erişim kullanan çoktürel ağlar için mutlak oranlı frekans yeniden kullanımı ve yumuşak frekans yeniden kullanımı yöntemlerinin kapsama olasılıkları türetilmiştir. Rastgele geometri anailizinin kapasite türetimleri kullanılarak, mutlak oranlı frekans yeniden kullanımı ve boşa yakın alt-çerçeve yöntemleri için enerji verimliliğini en üst düzeye çıkaran parametre eniyileme problemleri modellenmiş ve çözümleri sunulmuştur. Kıyı kullanıcılarının performansını arttırmak için dikey olmayan ve dikey çoklu erişim yöntemlerinin beraber kullanıldığı bir melez çoklu erişim yöntemi önerilmiş ve bu yöntemin performansı uzlaşımsal dikey olmayan çoklu erişim yöntemi ile karşılaştırılmıştır. Yukarı yönlü dikey olmayan çoklu erişimde hücre içi girişimin engellenmesi için, kullanıcı yayın gücü limitleri düşünülerek kullanıcı sinyallerinin çözümlenme sırasının eniyilemesi problemi çözümüyle beraber sunulmuştur.","By the densification of the cellular networks, the performance of the users, who are close to coverage boundaries, significantly degrades due to severe interference. The statistical characteristics of the interfering signal gets complicated by heterogeneity of the base station deployment and employing non-orthogonal multiple access (NOMA). In this thesis, stochastic geometry analysis is presented to reveal the statistical characteristics of the user performance. The interference experienced by the user includes the signals coming from the neighbor base stations with different transmit power capabilities and also from user's own serving base station for NOMA. Coverage probabilities of strict fractional frequency reuse (FFR) and soft frequency reuse (SFR) techniques are derived for NOMA-based heterogeneous network to indicate their performance under such interference. Parameter optimization problems for strict FFR and almost blank sub-frame (ABS) are modelled for maximization of energy efficiency by the capacity derivations of stochastic geometry analysis. A hybrid multiple access method, where NOMA and orthogonal multiple access (OMA) jointly deployed for improving edge user performance, is proposed and compared with conventional NOMA. For uplink NOMA, a decode order optimization problem is presented with its solution for avoidance of intra-cell interference under the user transmit power constraints."
