university,konu,tr,en
Boğaziçi Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"Dünya çapında on milyondan fazla kişiyi etkileyen en yaygın ikinci nörodejeneratif hastalık olan Parkinson hastalığı (PH), biyolojik ve çevresel faktörlerden etkilenir. Nöroinflamasyon, oksidatif hasar, mitokondri, protein birikimi ve nöron alt sistemleri arasındaki geri besleme ilişkileri tarafından kontrol edilen karmaşık etkileşimler beynin yapıtaşlarını oluşturur. Bazı yaşam tarzı unsurları PH riskini azaltırken, kafa darbesi riski artırır. Travmaya bağlı nöroinflamasyon kısa dönemde gözlenen en belirgin sonuçtur. Beynin karmaşık yapısı, uzun vadede çeşitli değişkenlerin etkilenmesine sebep olur. Bu çalışmada, beyin hasarının PH gelişimi üzerindeki uzun vadeli etkilerini incelemek için, dopamin üreten nöronların bulunduğu beyin bölgesinin sistem dinamiği modeli kurulmuştur. Normal yaşlanma dinamikleri elde edildikten sonra, bireylerin PH benzeri davranışlar sergileyip sergilemediği darbe senaryoları ile incelenmiştir. Sonrasında, sağlıklı beslenme ve egzersiz gibi yaşam tarzı faktörleri ve/veya genetik çeşitlilik unsurları, normal ve PH-yatkın kişi senaryoları üzerinde test edilmiştir. Beyinle ilgili değişkenlerin ölçülmesi ve gözlemlenmesi araştırmanın temel zorluklarıdır. Yalnızca ölüm sonrası analiz nöropatolojik tanıya izin vermektedir. Böylece, otopsi raporları ve hayvan deneylerinden elde edilen nitel ve nicel veriler kullanılarak modelin yapısal ve davranışsal geçerliliği test edilmiştir. Senaryo koşumlarında, çeşitli iç ve dış faktörlerin etkileri gözlemlenmiştir. Araştırmanın amacı, dış etkenlerle etkileşimde ilgili beyin dinamiklerinin kapsamlı şekilde anlaşılmasını sağlamak ve PH tedavi/önleme stratejileri için etkili mekanizmaları belirlemektir. Bu çalışma, saha verilerinden ve ampirik çalışmalardan elde edilecek bulguları içerecek şekilde geliştirilmeye açıktır.","Parkinson's disease (PD), the second most common neurodegenerative disorder affecting over ten million people worldwide, is a multifactorial disease influenced by several biological and environmental factors. Complex interactions controlled by feedback relationships between neuroinflammation, oxidative damage, mitochondria, protein accumulation, and neuron sub-systems are at the center of the brain. While some lifestyle elements reduce vulnerability, head trauma raises the risk for PD. Trauma-induced neuroinflammation is the most prominent short-term consequence, and due to the intricate structure of the brain, multiple variables are affected in the long-term. To study those impacts on potential PD progression, we constructed an individual-level system dynamics model of a specific brain region where dopamine-producing neurons reside. After obtaining the normal aging dynamics, various brain injury scenarios are investigated to see whether healthy individuals would exhibit PD-like behaviors. Then, possible genetic variation and/or lifestyle factors such as healthy diet and exercise are tested on both healthy and PD-prone people. The difficulties in monitoring and quantifying brain-related variables are the primary challenges for this research because only post-mortem analysis allows for neuropathological diagnosis. The model is structurally and behaviorally validated using the qualitative and quantitative knowledge of autopsy reports and animal experiments. In scenario runs, we observed the impact of several external and internal factors. The research aims to provide a comprehensive understanding of relevant brain dynamics in interaction with external factors and identify effective mechanisms for treatment and prevention strategies for PD. This work is open to development by including discoveries from field data and empirical studies."
Boğaziçi Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"Bu araştırmada, rüzgar enerjisi tahmini amacıyla grid tabanlı Sayısal Hava Tahmini (NWP) modellerinin alternatif temsilleri önerilmiştir. Rüzgar hızı, enerji üretimi için ana etkendir. Bununla birlikte, rüzgar yönü, rüzgarın dinamik yapısından kaynaklanan doğrusal olmayan etkilere de sahiptir. Geleneksel gösterimlerle rüzgar yönünün sürekli ve döngüsel davranışı öğrenme modelleri tarafından kavranmaz. Bu sorunları ele almak için, NWP modelleri üzerinde Yönlü Gradyanların Histogramı (HOG) tabanlı Standart ve Uyarlanabilir yöntemler önerilmiştir. Kırk yedi rüzgar santrali üzerinde yapılan deneyler, Standart HOG dönüşümünün farklı konumlardan çoklu NWP modellerinin özniteliklerine entegrasyonunun lineer öğrenme modellerinde üstün performans sağladığını göstermektedir. Buna ek olarak, ağaç tabanlı topluluk öğrenme yöntemlerine dayalı Uyarlanabilir HOG dönüşümü önerilmiştir. Birleştirilmiş dönüşümlerdeki deneylerin sonuçlarına göre, lineer öğrenme yöntemleri, özniteliklerle rüzgar gücü tahmininde ağaç tabanlı öğrenme modellerine göre önemli ölçüde iyi performans göstermektedir. Bu sonuç, rüzgar yönünün döngüselliğinden kaynaklanan doğrusal olmamanın, lineer öğrenme methotlarına uygun bir şekilde temsil edildiğini göstermektedir.","In this research, alternative representations of the grid based Numerical Weather Prediction (NWP) models are proposed for wind power forecasting purposes. Wind speed is the major indicator for the power generation. However, wind direction has nonlinear effects coming from the wind's dynamic nature. With the traditional repre- sentations, the continuous and cyclic behavior of the wind direction is not perceived by the learners. To address these problems, Standard and Supervised transformation methods based on the Histogram of Oriented Gradients (HOG) of the NWP models are proposed. Our experiments on forty-seven wind farms show that the Standard HOG transformation on the naive features of multiple NWP models from distinct locations provides superior performance in linear learners. Additionally, Supervised HOG trans- formation is proposed with the utilization of tree based clustering methods. According to the results of the experiments with combined representations, linear learning meth- ods outperform the tree based learners in wind power forecasting. This result indicates that the nonlinearity deriving from the wind direction's circular behavior is represented in as suitable form for the linear learners."
Boğaziçi Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,Tahmin zorluğu sebebiyle sıra bağımlı hazırlık süresi taktik seviye üretim planlamada sıklıkla çalışılan bir konudur. Hazırlık sürelerine bağlı kapasite kaybına denk gelen bir dönemdeki sıra bağımlı hazırlık süresini tahmin etmek için üretim çizelgesinin bilinmesi gerekmektedir. Çok dönemli bir taktik plan için minimum kapasite kayıplı çizelgeyi ve parti büyüklüklerini eş zamanlı olarak belirlemek literatür için ana zorluktur. Bu çalışmanın amacı daha isabetli bir kapasite kaybı tahmini ile üretim miktarlarını ve envanter değerlerini belirleyen bir taktik üretim planlama modeli ortaya koymaktır. Taktik modelde üretim miksleri oluşturabilmek için üretim miktarları eşit büyüklükteki gruplara ayrılmıştır. Üretim miksleri hangi ürünlerin ve hangi miktarlarda üretildiklerini dikkate alarak sıra bağımlı hazırlık sürelerini tahmin etmede kullanılmaktadır. Bir küme rastgele üretilmiş üretim miksine ait en iyi hazırlık sürelerini belirlemek için bir çizelgeleme modeli kullanılmıştır ve hesaplama karmaşıklığı sebebiyle kalan miksleri tahmin etmek için makine öğrenmesi modelleri kullanılmıştır. Bu çalışmada ortaya konulan tahmin metodolojisi bir temel ve bir basit tahminleme metodolojisi ile sıra bağımlı hazırlık süresine bağlı toplam kapasite kaybı tahmin doğruluğu üzerinden karşılaştırılmıştır.,"Tactical production planning with sequence-dependent setup times is a frequently studied topic in literature. Production schedule needs to be known to determine the total sequence-dependent setup time required in a period, which accounts for the capacity loss due to setup operations. Determining the schedule with minimum capacity loss and lot sizes for a multi-period tactical plan simultaneously is the main challenge in literature. This study aims to introduce a tactical production planning model to determine production amount and inventory levels with more accurate capacity loss estimation due to sequence-dependent setup times. Production amounts in tactical model are discretized into equally sized buckets to generate production mixes. Production mixes are used to estimate the sequence-dependent setup times by taking which products are produced and the amounts they are produced in to account. A scheduling model is used to determine the optimal setup times for a set of randomly generated production mixes and machine learning methods are used to estimate for the rest of the production mixes due to computational complexity. The estimation methodology introduced in this study is compared with a baseline and a basic estimation model based on the accuracy of estimating the total capacity loss due to sequence-dependent setup times."
Boğaziçi Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"Günümüzün küreselleşen dünyasında tedarik zincirleri de küresel nitelik taşımak-tadır. Coğrafi olarak ayrılmış tedarik zincirleri yerine, dünyada küresel tek bir tedarik zincirin varlığından söz etmek daha doğru olacaktır. Bu durum nedeniyle, coğrafi olarak uzak konumlarda gerçekleşen aksaklıklar bile işletmeler üzerinde küresel seviyede etki gösterebilir. İşin bu doğası, tedarik zinciri risk yönetiminin (TZRY) önemini her zamankinden daha fazla artırıyor. Üretim tesisleri, riskleri etkili ve kârlı bir şekilde ölçmek ve yönetmek için isabetli araçlara ihtiyaç duyar. Bu çalışmada, tedarik zinciri riskinin hassas bir şekilde ölçülebilmesi ve buna göre risk yönetim politikalarının geliştirilebilmesi için hammadde ihtiyaç planlaması (MRP) tipi üretim planlamasına iyileştirmeler önerilmektedir. Öncelikle, tedarik zinciri aksaklıklarının tanımlamalarını yapıyoruz, kategorize ediyoruz ve bu belirsizliklere karşı kullanılan tamponları, MRP optimizasyon modeline dahil ediyoruz. Bu yeni model ve ertelenen siparişler cinsinden tanımlanan bir risk fonksiyonu ile, tampon yönetimi biçiminde bir TZRY çerçevesi çizmeye çalıştık. Daha sonra geliştirilen modelin performansı, simülasyon deneyleriyle gözlendi ve elde edilen veriler üzerinde istatistiksel analiz gerçekleştirildi. Tedarikçi güvenlik termin süresinin en etkili tampon olarak keşfedilmesinin yanı sıra tamponların tedarik zinciri riski ve firma kârlılığı üzerindeki etkilerine dair pek çok bulgu elde edildi.","In today's globalized world, supply chains have global characteristics as well. Instead of geographically separated supply chains, there exists a global single supply chain in the world. Because of this circumstance, disruptions even at geographically distant locations can have severe impacts on all businesses globally. This nature of business increases the importance of supply chain risk management (SCRM) more than ever. Manufacturing plants require accurate tools to measure and manage risks effectively and profitably. In this study, an enhancement to Material Requirements Planning (MRP) type production planning is proposed such that supply chain risk can be measured precisely and risk management policies can be developed accordingly. Initially, supply chain disruptions are defined and categorized and buffers used against these uncertainties are introduced to the MRP optimization model. With this new model and a risk function defined in terms of backlogs, an SCRM framework in the form of buffer management is proposed. Afterwards, the performance of the model with different settings is observed with simulation experiments and the statistical analysis is conducted on the data. Although the most significant buffering policy was found to be the supplier lead times, many findings were discovered on the effects of buffers on the supply chain (SC) risk and the profitability of the business."
Boğaziçi Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"Azınlıklar yalnız kalma korkusuyla toplum içinde sessiz kalabilirler. Sessizlik sarmalı teorisine göre azınlık grupları toplumdaki sayılarının olduğundan düşük olduğunu sanma eğilimindededir. Bu da onları fikirlerini daha az ifade etmeye iter ve diğer azınlıklar fikirlerini olduğundan daha az destekleniyor gibi hissettirir ve azınlıklar sessizlik sarmalına kapılabilirler. Ancak benzerlerle bir olarak bu sarmaldan çıkabilirler. Bu benzerlik arayışı literatürde ``homofili'' olarak anılır. Homofili varken, insanlar karşıt görüşlülerle ilişkilerini sonlandırır veya benzer düşünen insanlarla yeni bağlar kurar. Bu dinamik ilişki ağına, homofili yönelimli (H-O) ağlar denir. İnsanları etmen ve aralarındaki ilişkileri bağlantı olarak temsil ettiğimiz etmen-tabanlı modelleme yaklaşımı ile H-O ağlarındaki azınlık görüşünün ifade dinamiklerini araştırıyoruz. Etmenlerin karşıt görüşlülerle ilişkisini sonlandırdığı ancak herhangi birine bağlandığı bir durumda, azınlıklar ilk etapta beklentilerini düşürerek ifade olasılıklarını arttırır ve bu da çoğunluk üyelerinin algılarını çarpıtarak azınlığın çoğunluğu ezebilmesini sağlar. Tüm etmenler benzerleriyle bağlantı kurduğunda, yankı odaları yaratır ancak herkes fikrini ifade edebilirler. Sonra modele üç farklı insanı temsil eden farklı etmenler ekliyoruz: fikirlerini her zaman ifade eden kararlı azınlıklar, sosyal çevrelerini değiştirmeyen ancak ifade tercihlerini değiştirebilen muhafazakar insanlar ve değişmeyen sosyalliğinde fikirlerini her zaman dile getiren azınlıklar olan dirençli insanlar. Azınlıkların sosyal çevrelerine olan bağlılıkları, H-O ağlarındaki ifadelerini sabote eder ama yankı odalarını azaltır. Kararlı etmenler ve dirençli etmenler, statik ağlarda azınlık ifadesini artırırlar. H-O ağlarında, azınlık ifadesi zaten maksimumdadır, bu yüzden onu artıramazlar, ancak dirençli etmenler toplumlardaki ayrışmayı da azaltabilirler.","Minorities may remain silent for fear of social isolation. According to the spiral of silence theory, minority groups underestimate their numbers in society. This underestimation leads minorities to speak up less and other minorities to feel less supported, so minorities get caught in a spiral of silence. They can break out of this spiral by uniting with each other. People seek similarity in their relationships, and this is referred to as homophily in the literature. Under homophily, people can end their relationships with different people and establish new relationships with like-minded people. These dynamic networks are called homophily-oriented (H-O) networks. We investigate the expression dynamics of the minority opinion in H-O networks using the agent-based modeling approach, where we represent people as agents and the relationships between them as links. In a case where agents end their relationships with the opposing side but build relationships with anyone, we found that the minority can oppress the majority by distorting the perceptions of majority members because minorities increase their opinion expression probability by lowering their expectations in the first place. When agents connect directly with like-minded agents; they create echo chambers, and both majorities and minorities can be fully expressive. We then introduce new agent types into the model, representing three types of people: hardcore agents are always expressive minorities, loyal agents do not change their social circle but their expression decisions, and valiant agents are both expressive and loyal minorities. Minorities' loyalty to their social environment sabotages their expression in H-O networks but reduces echo chambers. Hardcore agents and valiant agents increase minority expression in static networks; in H-O networks, minority expression is already at its maximum, so they cannot increase it but valiant agents can decrease segregation in societies."
Boğaziçi Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"E¸sleme sayısı m ile, maksimum derecesi d ile sınırlı bir ¸cizgenin kenar sayısının maksimum de˘geri ve bu ¸cizgenin yapısı halihazırda saptanmı¸stır [2]. Buna ba˘glı olarak, belirli alt¸cizgelerin yasaklanmı¸s oldu˘gu durumlarda bu ¸cizgelerin kenar sayısı yeni bir problem olarak ortaya ¸cıkmı¸stır. Ahanjideh, Ekim, ve Yıldız [3] ¨u¸cgen-yoksun ¸cizgeler ¨ust¨une ¸calı¸smı¸s, d ≥ m ve d < m iken d ≤ 6 ya da Z(d) ≤ m < 2d oldu˘gu durumları ¸c¨ozm¨u¸st¨ur. Buradaki Z(d) de˘geri de yakla¸sık olarak 5d/4'e denk gelmektedir. Buna ek olarak a¸cık kalan durumlardaki kenar sayısı en ¸cok ¸cizgeler i¸cin bir yapı ¨onermi¸slerdir. Biz de onların ¨onerdi˘gi yapıyı kullanarak, kenar sayısı en ¸cok ¸cizgeleri in¸sa etmek i¸cin bir tamsayılı programlama yakla¸sımı ortaya koyuyoruz. Problem form¨ulasyonumuz olduk¸ca simetrik oldu˘gu i¸cin simetri kırma y¨ontemlerine y¨oneliyoruz. Bu ama¸cla orbital dallanma ve ama¸c sarsımı y¨ontemlerini kullanıyoruz. Buna ek olarak olurlu b¨olgeyi ¨ust limit bazlı par¸calara ayıran ve yinelemeli olarak bu b¨ol¨umlerde ¸calı¸san kesin yinelemeli bir metod ¨oneriyoruz. Orbital dallanma ve yinelemeli metodun birle¸simini kullanarak, ¸c¨oz¨ulen durumları m > d durumu i¸cin d < 7'den d < 11 ¸cıkartıyoruz. Bunu yaparken [3]'te sunulan hipotezlerin yeni durumlar i¸cin de sa˘glandı˘gını g¨osterip, onları g¨u¸clendiriyoruz.","The maximum number of edges in a graph with matching number m and maximum degree d has been determined in [1], and a structure for an extremal graph has been provided in [2]. Then, finding the edge count of an extremal graph with forbidden subgraphs emerged as a new problem. Ahanjideh, Ekim, and Yıldız [3] worked on triangle-free graphs and solved the cases for d ≥ m and for d < m with either d ≤ 6 or Z(d) ≤ m < 2d, where Z(d) is approximately 5d/4. They also provided a structure for an extremal graph for the rest. Using the structure provided, we develop an integer programming formulation for constructing an extremal graph. The formulation is highly symmetric. We use our implementation of orbital branching and objective perturbation to reduce symmetry. We also propose an exact iterative algorithm that partitions the feasible region based on upper bounds and works iteratively on a limited space. Using a combination of the orbital branching and iterative approaches, we expand the solution into d < 11 instead of d < 7 for m > d and show that conjectures proposed in [3] hold, thus strengthening them."
Boğaziçi Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"Kargo gelir yönetiminin en temel amacı kapasite ve talep tahmini ve bu tahminleri kullanarak rezervasyon kontrolü olarak anlatılabilir. Kargo gelir yönetimi problemi, yolcu gelir yönetimi probleminden birçok faktörde farklılık gösterir. Bunlar kargo kapasitesinin belirsizliği, yönetim operasyonları ve kargo rezervasyon davranışları olarak özetlenebilir. Bu faktörler kargo gelir yönetimi problemine ilave zorluk katmaktadır ve geleneksel gelir yönetimi çözümlerini yetersiz kılmaktadır. Bu sebeple, kargo gelir yönetimi modelleri ayrıca geliştirilmelidir. Bu tezin hedefleri kargo gelir yönetimi süreçlerini tartışmak ve spot piyasası için alokasyon modeli geliştirmek olarak özetlenebilir. Bu tezde, bir spot alokasyonu optimizasyon modeli geliştirilir. Bu model rezervasyon kontrolü için gerekli görülen durumlarda tekrar ¸çözülüp beklenen talebin kargo kapasitesine alokasyonunu gerçekleştirmektedir. Performans testleri için örnek test havaalanı ağı, farklı senaryolar ve performans metrikleri oluşturulup test ortamında geliştirilen model ile sektörde yaygınca kullanılan bir sezgisel yöntem olan ""ilk gelen ilk alır"" karşılaştırması için simülasyon çalışması yapılır. Simülasyon sonucunda elde ettiğimiz %95 güven aralığındaki t-testi istatistiklerine göre, geliştirilen optimizasyon modeli sezgisel yönteme göre 27 test senaryosunun 26'sında daha iyi sonuç vermektedir.","The focus of Air Cargo Revenue Management (ACRM) is to best estimate cargo capacity, forecast future demand, and take accept or reject decisions on the bookings accordingly. ACRM is a different problem than passenger revenue management due to uncertainty of cargo capacity, business, operations, and cargo booking behavior. These factors add additional complexity to a problem and make traditional revenue management approaches inadequate. Certain additional models need to be developed to solve the ACRM problem. The purposes of this thesis are to discuss the processes of air cargo revenue management and develop a spot allocation model. In the thesis, we develop a spot allocation optimization model. In necessary booking control conditions, this model is solved repetitively to decide on allocating expected demand to cargo capacity. A simulation study is performed after the optimization model to compare the results of our optimization model with a commonly used heuristic, First-Come First-Served, under defined scenarios and other test problem settings. Finally, we conclude that our model performed better than 26 out of 27 scenarios according to t-test statistics with a 95% confidence level."
Boğaziçi Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"Tedarik zinciri koordinasyonu üzerine geniş bir literatür bulunmaktadır ve bu sistemleri koordine etmek için çok sayıda yöntem vardır. Bu sistemlerde üretim, kalite veya satış çalışmaları ile ilişkili çeşitli maliyetler olabilir ve bu tür sistemlere farklı yaklaşımlar ve uzantılar entegre edilebilir. Ürün paketleme, tedarik zinciri üyelerinin pazarı genişletmek için kullanabilecekleri yaygın uygulamalardan biridir. Çalışmamız, pazarlama aktivitelerini dahil ederek tedarik zinciri koordinasyonunu ve ürün gruplandırmasını birleştirmektedir. Uygulama geliştiricileri (AD'ler) ürün fiyatına ve pazarlama aktiviteleri harcamalarına karar verirken dağıtım platformu (DP), geliştiricilerin ürünlerini paket olarak sunup sunmayacağına ve onlardan alacağı komisyon oranına karar vermektedir. Bu tez, üreticilerin pazarlama aktiviteleriyle talebi artırma seçeneğine sahip olduğu durumlarda, dağıtım platformunun en uygun gruplama stratejisini geliştirmesi konusunda literatüre katkıda bulunmaktadır. Dağıtım platformunun hangi durumlarda paket oluşturma yaklaşımını uyguladığı, dağıtım platformu paket seçeneği sunduğunda uygulama geliştiricilerin fiyatlarını nasıl belirlediği ve paket oluşturmanın tedarik zinciri üyeleri üzerindeki etkileri ele almaya ̧calıştığımız sorulardan sadece birkaç tanesidir. Bu çalışma sonucunda, dağıtım platformunun ürün paketleme konusundaki en uygun stratejisinin, ürün geli ştiricilerin belirleyeceği fiyata bağlı olduğu gösterilmiştir. İkinci olarak, ürün geliştiricilerin optimum fiyatlandırma kararları, komisyon oranında bir kısıtlama olduğunda platformun paketleme seçeneğinin olup olmamasına bağlı olabilir. Üçüncüsü, paketleme seçeneğinin mevcudiyeti dağıtım platformuna her zaman fayda sağlarken, model özelliklerine bağlı olarak uygulama geliştiricilere fayda veya zarar verebileceği gösterilmiştir. Ayrıca, toplam tedarik zinciri gelirinin, merkezi olmayan tedarik zincirine kıyasla merkezi tedarik zincirinde daha yüksek olduğu bulunmuştur.","The literature on supply chain coordination is extensive, and there are numerous methods for coordinating these systems. There may be various types of associated costs in these systems related to production, quality, or sales effort, and various approaches and extensions may be integrated to such systems. Product bundling is one of the common practices that supply chain members can use to expand the market. Our study combines supply chain coordination and product bundling by incorporating marketing effort. While application developers (ADs) decide on price and marketing effort, the distribution platform (DP) decides whether to bundle developers' products and the commission rate he will charge them. This thesis adds to the literature on optimal platform bundling strategy when producers have the option to increase demand with marketing efforts. When the distribution platform implements the bundling approach, how application developers set their prices when the distribution platform offers a bundle option, and the effects of bundling on supply chain members are just a few of the questions we try to address. As a result of this study, it is shown that DP's optimal strategy on product bundling is dependent on the price ADs would announce. Secondly, ADs optimal pricing decisions may depend on the presence of bundling option provided to DP when there is a constraint on commission rate. Thirdly, it is shown that while the existence of the bundling option always benefits the distribution platform, it might benefit or harm application developers depending on the model settings. We also find that the total supply chain revenue is higher in the centralized supply chain compared to the decentralized supply chain."
Boğaziçi Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"Bu tezde, etmen-tabanlı simülasyon modellerini incelemek için gelişmiş bir prosedür tasarlanmıştır. Bu prosedürde, değişken seçimi ve uyarlanabilir örnekleme tekniklerinden faydalanan bir meta-modelleme yöntemi kullanılmıştır. Prosedürün amacı, özgün etmen-tabanlı simülasyon modelini taklit edip çıktılarını doğru bir şekilde tahmin edebilecek bir makine öğrenmesi modeli oluşturmaktır. Tasarlanan prosedür, meta-model değişkenlerine ait önem değerlerinin hesaplanması sayesinde, etmen-tabanlı model parametrelerinin çıktı üzerindeki etkilerinin analiz edilebilmesini de sağlar. Meta-modelin oluşturulmasında Rastsal Orman algoritması kullanılmıştır. Meta-modeli eğitmekte kullanılacak yüksek kaliteli veri setinin oluşturulması için uyarlanabilir örnekleme yönteminden faydalanılmıştır. Boyutsallığın yarattığı sorunları önlemek ve meta-modelin odağını çıktı açısından önemli değişkenler üzerinde tutmak amacıyla değişken eleme yöntemi uygulanmıştır. Önerilen prosedür, performans değerlendirmesi için, karmaşık bir etmen-tabanlı simülasyon modeli üzerinde uygulanmıştır. Uygulama için, olasılıksal doğası ve geniş parametre yelpazesi göz önünde bulundurularak, sosyo-dinamik sistemleri analiz eden güncel bir etmen-tabanlı simülasyon modeli seçilmiştir. Ayrıca tasarlanan prosedürün performansı, literatürde daha önce önerilen meta-modelleme yöntemleriyle karşılaştırmalı olarak değerlendirilmiştir. Çalışmada hem öngörülen çıktı değerlerinin hem de yapılan değişken seçimlerinin doğruluğu detaylı bir şekilde analiz edilmiştir. Deney ve analizler, önerilen prosedürün orijinal simülasyon modeline ait çıktıları doğru ve verimli bir şekilde tahmin ederken daha önce önerilmiş meta-modelleme yöntemine göre daha doğru sonuçlar ürettiğini göstermiştir.","In this thesis, an advanced procedure is constructed to investigate agent-based simulation models. A meta-modeling approach, that utilizes adaptive sampling and feature elimination methods is used in the proposed procedure. The procedure aims to build a machine learning model that replicates the input-output relationships of the original agent-based simulation model and accurately predicts the output of interest. Thanks to feature importance measurements, the proposed procedure also enables researchers to analyse the relationships between the agent-based simulation model parameters and the output of interest. The Random Forest algorithm is used for building the meta-model. The adaptive sampling method is utilized to create a high-quality data set to train the meta-model. The feature elimination process is applied to enable meta-model to prevent the curse of dimensionality and keep the focus on important features regarding the output of interest. The proposed procedure is applied to a complex agent-based meta-model to evaluate its performance. A recent agent-based simulation model, that is analyzing socio-dynamic systems, is selected for application considering its probabilistic nature and wide range of parameters. Moreover, previously proposed meta-modeling approaches in the literature are reviewed and performance comparisons are assessed with the proposed procedure. Both the accuracy of output predictions and the validation of feature elimination decisions are analysed in detail. The conducted experiments and analysis showed that the proposed advanced procedure estimates the output of the original simulation model in an accurate and efficient way, and it outperformed the previously proposed meta-modeling approach in terms of accuracy."
Boğaziçi Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"Hematolojik bir hastalık olan nötropeni, kandaki nötrofillerin düşük seviyeli olmasıdır ki bu hastalık vücudu enfeksiyonlara karşı açık ve savunmasız bırakır. Nötropeninin bir türü olan döngüsel nötropeni ise kan nötrofil seviyelerinde gözlemlenen salınımlarla tarif edilir. Döngüsel nötropeni çoğunlukla rG–CSF ile yani rekombinant granülosit koloni uyarıcı faktör olarak bilinen bir sitokinin vücuda enjekte edilmesi ile tedavi edilir. Tedavi prosedürü maliyetli olduğu için kusursuz bir enjeksiyon programı gereklidir. Ancak tedaviyi kusursuzlaştırmak üzere yapılan klinik deneyler, kemik iliği ve kandan sık sık numune alınmasını gerektirir. Hastaya zarar verebileceğinden numunelerin sık alınmasına izin verilemez. Bu nedenle, tedavi deneylerini gerçekleştirmek için modelleme çalışması yapmak bir zorunluluktur. Bu zorunluluğa uygun olarak bu tezde kapsamlı bir dinamik döngüsel nötropeni modeli kurulur. İnsan fizyolojisi dinamik karmaşıklık açısından zengin olduğundan sistem dinamiği temel metodoloji olarak seçilir. İlk olarak sağlıklı bir insanın nötrofil üretiminin düzenleyici yapılarını temsil eden bir model kurulur. Modelin geçerliliği sınandıktan sonra döngüsel nötropeni hastasının nötrofil dinamikleri, model yapısı değiştirilmeden sadece parametre değerleri değiştirilerek elde edilir. Döngüsel nötropeninin literatürde en çok bahsedilen nedeni nötrofil üretim eksikliğidir ve çalışmamız bunu doğrulamaktadır. Simülasyon sonuçlarımıza göre döngüsel nötropeni hastalarında apoptotik nötrofillerin temizlenmesi normalden daha uzun sürer ve apoptotik nötrofiller G–CSF'nin hem üretimini hem de etkilerini baskılarlar. Patojenlerle gerçekleştirdiğimiz deneylere göre salınım davranışı nötrofil–GCSF–patojen sisteminin bir özelliğidir ve bu özellik sağlıklı bir insan için de geçerlidir. Tezin bu sonuçları aşırı aktif bağışıklık sistemine sahip hastalarda gözlenen periyodik semptomlara bir ışık tutabilir. Son olarak tezde rG– CSF enjeksiyonlarıyla deneyler gerçekleştirilir.","Neutropenia is a hematological disorder that is defined as having a low level of neutrophils in the bloodstream. Low levels of absolute neutrophil counts leave the body defenseless against and vulnerable to infections. Cyclic neutropenia is a type of neutropenia that is described as the oscillations observed in the level of blood neutrophils. The disorder is mostly treated with a cytokine named recombinant granulocyte colony–stimulating factor, rG–CSF, which is administered via injection. A delicate injection schedule is called for because the treatment procedure is costly. However, treatment experiments on an actual patient require frequent sampling from bone marrow and blood, which simply cannot be allowed as it can be detrimental to the health of the patient. Therefore, modeling is a must to carry out treatment experiments. Accordingly, the main motivation in this thesis is to construct a comprehensive dynamic model of cyclic neutropenia. As human physiology is rich in dynamic complexities, system dynamics is selected as the primary methodology. We first construct a model that represents the regulatory structures of neutrophil production for a healthy person. After validating the model, the neutrophil dynamics of a cyclic neutropenia patient is obtained by simply changing the parameter values, but without changing the model structure. Neutrophil production deficiency is the most mentioned cause of cyclic neutropenia in the literature, which is also confirmed in our study. According to our simulation results, the clearance of the apoptotic neutrophils of CN patients takes longer than normal and apoptotic neutrophils can suppress both the production and effects of G– CSF. As a result of experiments with pathogens, we claim that the oscillatory behavior is a characteristic of the neutrophil–GCSF–pathogen system even for a healthy person. This may shed some light on the periodic symptoms observed in patients with diseases caused by an overactive immune system. We experiment with rG–CSF injections too."
