university,konu,tr,en
Boğaziçi Üniversitesi,Fizik ve Fizik Mühendisliği = Physics and Physics Engineering,"Günümüzde, de Sitter uzayında skaler alanlar ve iki nokta fonksiyonları kozmolojideki en aktif çalışma alanlarından biridir. Daha yüksek dereceli tensör alanlar yerine skaler alanları çalışmanın arkasında önemli motivasyonlar yatmaktadır. Örneğin, de Sitter'de düzgün çalışan tutarlı bir skaler alan teorisi, de Sitter uzayında daha yüksek dereceli tensör alanlarının inşasının yolunu açabilir. Öte yandan, gözlemsel olarak da özellikle kütlesiz skaler alanlar, Kozmik Dalga Arka Plan Işınımını açıklamaya en iyi adaylardandır. Bu nedenlerle, tezimizde, esas olarak kütlesiz skaler alanlar ve onlara karşılık gelen iki nokta fonksiyonları üzerine odaklandık. Çünkü kütlesiz iki nokta fonksiyonları kütleli olanlardan farklı davranışlara sahiptirler; özel olarak ele alınmalı ve alternatif yaklaşımlar hesaba katılmalıdır. Temsil teorisi açısından spin-0 ve m=0 parçacıklar Discrete Seriye takabül ederler ve Principle ve Complementary serilerden ayrı özel olarak değerlendirilmelidir. Bu konudaki öncü çalışmalar daha çok biricik vakum durumunun eksikliğine ve de Sitter simetrisinin kırılmasına odaklanmıştır fakat bu problemler sınır koşullarının eksik anlaşılmasından kaynaklanıyor olabilir. Örneğin, bazı son çalışmalar da kütlesiz alanlarla ilgili daha kapsayıcı bir anlayış sunmaya çalışır. Tüm bunlardan ilham alarak, (Allen, 1985)'teki integrallerden de yararlanarak iki nokta fonksiyonlarının sınır koşullarını ve tekillik yapılarını anlamaya çalıştık. En nihayetinde, tekillik noktalarının beklentilerimizle uyuştuğunu fakat sınır koşullarının iki nokta fonksiyonundaki 4 serbest parametreden sadece 3 tanesini belirleyebildiğini gördük. Söz konusu serbest parametrenin makul koşullar altında sıfır seçilebileceğinden bahsettik. Ek olarak da literatürde ilgimizi çeken ve bu probleme farklı bakış açıları getiren iki farklı çalışmayı özetledik ve elde ettikleri sonuçları karşılaştırdık.","Scalar field theories in de Sitter space, as a special case of Quantum Field Theory in Curved spacetime, are currently popular research areas in physics. Scalar field theory is worth studying for several reasons among all the tensor field theories in de Sitter. For example, a well-established scalar field theory in de Sitter might pave the way for the construction of higher rank tensor fields in de Sitter, or massless scalar fields might explain the homogeneity of the Cosmic Wave Background with the inflation era of the universe. Hence, we mainly focused on massless scalar two-point functions because they exhibit different properties than massive ones; therefore, they require alternative approaches. From the representation theory perspective, in 4D de Sitter, among spin-0 particles m=0 belongs to Discrete Series, which requires special attention different from Principle and Complementary Series. While earlier works emphasize the lack of a unique vacuum and breaking of de Sitter symmetry as the main problems of massless two-point functions, these may be connected to an inadequate analysis of the boundary conditions. The recent ideas suggest more promising treatments for discrete series two-point functions \cite{takyon,shift-invariant}. The boundary conditions cannot completely constrain the form of the solution because of the lack of a preferred vacuum, while it is well defined for the massive case as the Bunch-Davies vacuum. Here we follow a Fourier Transformation procedure of two-point functions to address the boundary conditions for the massless Wightman Function and its singularities. Finally, we are left with one free parameter that denotes an overall constant contribution which can be set to zero. The form of singularities, on the other hand, coincides with the Minkowskian type singularities in the incident point limit. Additionally, we summarized two-contemporary studies and discussed their results."
Boğaziçi Üniversitesi,Fizik ve Fizik Mühendisliği = Physics and Physics Engineering,"Optik cımbız, ışık ve madde arasındaki momentum alışverişi tarafından üretilen optik kuvvetleri kullanarak atom ve moleküller, organeller, proteinler, ve hücreler dahil olmak üzere çok çeşitli sayıda parçaçığı tuzağa düşürmek ve manipüle etmek için kullanılan güçlü bir araç olmuştur. Kovuk-içi optik tuzaklama tanıtıldığından beri mikroskopik nesnelerin düşük sayısal açıklı lens kulllanırak düşük ışık şiddetinde üç boyult tuzaklanması için yeni araştırma fırsatları oluşmuştur. Optik yakalama optik elemanlarını bir fiber kovuk-içine konulmasını ve optik geribildirim radyasyon kuvvelerini tanışmıştır. İki farklı konfigürasyonu vardır: tek ışın ve çift kiriş ışın konfigürasyonları. İlki zaten önerilmiş ve uygulanmıştır, bu çalışmanın odağı ikinci konfigürasyondur. Bu çalışma, çift kiriş kovuk içi optik cımbızların tasarımını, uygulanmasını ve deneylerini göstermektedir. Tek ışın kavuk içi optik cımbızlarının yakalayamadığı $\SI{1.98}{\micro\meter}$-çaplı polistiren parçacıklarının üç boyutlu yakalanması sunulmuştur. Parçaçık üstündeki toplam ortalama ışık gücü 885 μW olarak ölçülmekte, bu da 21.2 μW μm^−2 in ortalama ışık yoğunluğuna karşılık gelmektedir. Ters korelasyonlu çift kiriş ışınlar, tuzaktaki parçacığın üstündeki ortalama ışık şiddetini azaltmaktadır; böylece ışığa duyarlı biyolojik maddelerin tuzaklanmasına olanak sağlamaktadır. Bu optik cımbızlar için yeni ve heyecan verici uygulamaların önünü açmaktadır.","Optical tweezers are a powerful tool that utilizes optical forces generated by the exchange of momentum between light and matter to trap and manipulate a wide range of particles, including atoms and molecules, organelles, proteins,and cells. Since intracavity optical trapping was introduced, a new research opportunity opened for three-dimensional optical trapping of microscopic objects using a low nu- merical aperture lens at low laser intensity. This method has introduced the placing of the trapping optics within a fiber laser ring cavity and the forces of optical feed- back radiation. There are two possible configurations for intracavity optical trapping: single-beam and counter-propagating beam configurations. The former has already been proposed and implemented, while the latter still needs to be discussed in detail: the focus of this work lies on counter-propagating beam configuration. This work demonstrates the design, implementation, and experimentation of counter-propagating optical tweezers. It presents 3D trapping of 1.98 μm-diameter polystyrene particles, which single-beam intracavity traps were incapable of perform- ing. The total average power on the sample was measured to be 885 μW, which corre- sponds to an average intensity of 21.2 μW μm^−2. The inversely correlated counter-propagating beams reduce the average intensity on the particle in the trap; hence, they enable the trapping of light-sensitive biological matter. This paves the way for new and exciting applications for optical tweezers."
Boğaziçi Üniversitesi,Fizik ve Fizik Mühendisliği = Physics and Physics Engineering,"Bu tezde akustik ve optik fononlar için sicimlerin veya optik fononlar için n-boyutlu sistemlerin basit harmonik hareketlerini inceleyeceğiz. Akustik modlar için sadece bozonik basit harmonik hareketleri, optik modlar için ise hem bozonik hem fermiyonik basit harmonik hareketleri üzerinde durduk. Optik modlar için her iki durumda da problemin tek bir titreşime indirgendiğine şahit olduk. Optik fermiyonik sistemler için, negatif sıcaklıklarla karşı karşıya kaldık. Her iki durumda da T → 0 veya T → ∞ için doğru sınır değerlerini elde ettik. Akustik modlar için Mellin transformları, Euler'e ait bir toplam formül ve iki diğer analitik metod kullanarak fonksiyona ait diğer termodinamik büyüklükleri hesapladık. Bu durumda da T → 0 veya T → ∞ için doğru sınır değerlerini elde ettik.","In this thesis, we have studied the coupled simple harmonic oscillator physics of one-dimensional strings, for acoustical phonons, and n-dimensional physics for the optical case (for arbitrary n). For the acoustical modes, we have calculated only the Bosonic Simple Harmonic Oscillator (BSHO), for the optical mode, we have included both BSHO and Fermionic Simple Harmonic Oscillator (FSHO). For the optical modes, for both BSHO's and FSHO's, we have found that the problem is reduced to the physics of a single oscillator with a partial vibration frequency. For the FSHO's in the optical cases, we have encountered the presence of negative temperatures for all n. In both cases, we have discovered the presence of correct asymptotical behavior as T → 0 and T → ∞. In the acoustical case, we have used Mellin Transform and a summation formula due to Euler to calculate the partition function and the thermodynamical properties thereof. Again we have obtained the correct asymptotical behavior as T → 0 and T → ∞. We note that whenever possible, we have included more than one method of calculation and obtained similar results"
Boğaziçi Üniversitesi,Fizik ve Fizik Mühendisliği = Physics and Physics Engineering,"Birçok ülke küresel iklim değişikliğinin sonuçlarına farklı derecelerde maruz kalmaktadır ve bu ülkelerin etkilenebilirlikleri sosyoekonomik ve çevresel faktörlere göre değişmektedir. Bireyler, toplumlar ve ülkeler iklim değişikliğinin etkilerinin farkında olmalıdır. Tehlikelere ne kadar maruz kaldıklarının, etkilenebilirlik düzeylerinin ve ne yapılması gerektiğinin bilinmesi ve anlaşılması, temel yaşamsal faaliyetlerin devamı için kritik önem taşımaktadır. Gelecekte bir ülkenin iklim değişikliğinden ne kadar etkileneceğinin veya hangi yaşamı destekleyen sektörlerinin ne kadar zarar göreceğinin doğru tahmin edilmesi, ülkelerin önlem alabilmesi açısından büyük önem taşımaktadır. Bu nedenle bu çalışmada, ülkelerin iklim değişikliğine karşı etkilenebilirliklerini tahmin etmek için Notre Dame Küresel Uyum İnisiyatifi (ND-KUİ) Ülke İndisi verileri kullanılmıştır. ND-KUİ ülkelerin iklim bozulmalarından ne kadar etkilenebilir olduğunu gösteren açık kaynaklı bir indistir. Bu indisin verileri, 1995'ten 2020'ye kadar 26 yıllık bir dönemde 182 ülke için etkilenebilirlik puanlarını ve gıda, su, sağlık, ekosistem hizmetleri, insan yaşam alanı ve altyapı olmak üzere yaşamı destekleyen altı alanı içermektedir. Uzun kısa süreli bellek (LSTM) ağ tabanlı model yedi ülkenin 2021'den 2026'ya kadar olan altı yıllık verilerini tahmin etmek için oluşturulmuştur. Bu ülkeler Türkiye, Avustralya, Almanya, Portekiz, Sudan, Gürcistan ve Kırgistan'dır. Sonuçlar, modelin 2021 yılı için Sudan hariç tüm ülkelerin etkilenebilirlik puanlarında artış, 2021 sonrasında ise Almanya ve Avustralya'da hafif bir düşüş, Türkiye, Portekiz ve Kırgızistan'da düşüş öngördüğünü göstermiştir. Model tüm yıllar için Sudan'da düşüş, Gürcistan'da ise artış öngörmüştür. Modelin başarısı 2010'dan 2020'ye kadar olan veriler kullanılarak test edilmiştir. Zaman serisi tahmini zor olsa da tahmin edilen değerler gerçek değerlere yakındır. Başka hiçbir çalışma ülkelerin gelecek yıllardaki iklim değişikliğine karşı etkilenebilirliklerini tahmin etmediği için bu çalışma yenidir.","Many countries are subject to the consequences of global climate change at varying degrees, and their vulnerability varies according to socioeconomic and environmental factors. Individuals, societies, and countries must be aware of the effects of climate change. Knowledge and understanding of how exposed they are to hazards, their level of vulnerability, and what must be done are critical for the continuation of basic vital activities. Accurately predicting how much a country will be affected by climate change in the future or which life-supporting sectors will suffer is crucial for countries to take precautions. Therefore, in this study, The Notre Dame Global Adaptation Initiative (ND-GAIN) Country Index's data is used for predicting countries' vulnerability to climate change. It's an open-source index that displays how vulnerable a nation is to climate disruptions. The data for this index includes scores for vulnerability and six areas that support life, including food, water, health, ecosystem services, human habitat, and infrastructure, for 182 nations during a 26-year period from 1995 to 2020. Long short-term memory (LSTM) network-based model is built to predict seven countries' six years of data from 2021 to 2026. These countries are Turkey, Australia, Germany, Portugal, Sudan, Georgia, and Kyrgyzstan. The results showed that the model predicts an increase in the vulnerability scores of all countries except Sudan for 2021, a slight decrease in Germany and Australia, and a decrease in Turkey, Portugal, and Kyrgyzstan after 2021. The model predicts a decrease in Sudan and an increase in Georgia for all years. The model's successes are tested using data from 2010 to 2020. Although time series forecasting is challenging, forecasted values are close to actual values. This study is novel since no other studies have predicted countries' future years' vulnerability to climate change."
Boğaziçi Üniversitesi,Fizik ve Fizik Mühendisliği = Physics and Physics Engineering,"(3,4,1) multiplet'in N = 4 süper-konformal mekaniği, ölçeklenebilir efektif Coulomb kuiver mekaniğini tanımlar. (Yalnızca) M/G bölüm uzayında bu formülasyona eşdeğer hale gelen HKT (burulmalı Hyperkähler manifoldu) ayarlı sigma-model reformülasyonu vardır; burada M, bu ayarlı modelin HKT hedef-uzayıdır, ve G ise M'nin (ayarlanan) izometri grubudur. Bu, daha önce keşfedilmemiş yeni bir süperkonformal mekanik model sınıfını açığa çıkarmaktadır. N=0,1,2 süpersimetrik analoglarını da sistematik olarak inceledik. Bu ayarlı sigma modelleri, ayarlanmadan önce sadece ölçekleme simetrisine sahiptir ve ayarlanmadan sonra (süper)konformal simetrisi edinir. Bu sonuçları, Lagrangian'ın süper-konformal değişmezliğinden geometrik kısıtlamalar elde ederek ve ek kısıtlamalar sağlayan Noether yükleri tarafından sağlananan süper-konformal cebiri kontrol ederek elde ettik. N=2,4 ayarlı sigma modellerinde, pre-kuantum Hilbert uzayı için diferansiyel geometrik tanım elde ettik, ve çalışmamızın saf AdS2/CFT1 ikiliğine uygulamalarını tartıştık. Klasik elektromanyetizmada noktasal dyonların iyi bilinen bir öz-dual formülasyonu vardır. Dirac'ın orjinal monopoller teorisinden yola çıkarak, BPS nokta dyonlarının N=2,d=4 düşük enerji efektif aksiyona çiftlenmesini tarif etmek için özellikle kullanışlı olan bir öz-dual reformülasyon elde ettik. Bu sayede Denef'in BPS bağlı durumlarının çekirdek-hale tasvirine ulaştık, fakat Higgs fazına yaklaştıkça bağlı durum yarıçapı küçüldüğünde kullanışlı olabilecek belirli genellemeler bulduk. N=2 BPS (bağlı) durumları için bu iki formülasyonun, ve bunların diğer çeşitli yüzlerinin, kuiver (kuantum) mekaniği sayesinde nasıl birleşik bir görünüm elde ettiğini açıkladık.","N=4 superconformal mechanics of the (3,4,1) multiplet describes the scaling limit of the effective Coulomb quiver mechanics. There is an equivalent hyperKähler with torsion (HKT) gauged sigma model (4,4,0) reformulation which becomes equivalent to the original (3,4,1) formulation (only) on the quotient space M/G where M is the HKT target space of the gauged model and G is the group of (gauged) isometries of M. This opens a genuinely new class of superconformal mechanical models not explored before. We systematically study N=0,1,2 supersymmetric analogs as well. These gauged sigma models are only scale invariant before gauging, and become (super)conformally invariant after gauging. We obtain these results by explicitly checking the superconformal invariance of the Lagrangian which gives the conformal geometry constraints and by checking the superconformal algebra satisfied by the Noether charges which provide additional constraints. For the N =2,4 gauged sigma models, we obtain a differential geometric description for the prequantum Hilbert space, and discuss the applications of our work to the pure AdS2/CFT1 duality. There is a well-known self-dual formulation of point dyons in classical electromagnetism. Starting from Dirac's original theory of monopoles, we obtain a particularly useful self-dual reformulation, and employ it to describe the coupling of BPS point dyons to N=2,d=4 low energy effective actions which in particular recovers Denef's core-halo description for BPS bound states but also allows for certain generalizations when the bound state radius becomes small as one approaches to the Higgs phase. We explain how these two descriptions for N=2 BPS (bound) states, as well as various other faces of them, obtain a unified view in the context of quiver (quantum) mechanics."
Boğaziçi Üniversitesi,Fizik ve Fizik Mühendisliği = Physics and Physics Engineering,"Bu çalışma biyolojik gözlemlerin matematiksel olarak modellenmesiyle ve bu modellenlerin nümerik çözümlerini içerir. Çalışmamızda yeni damar oluşumunu, hücre içi kalsiyum iyonu konsantrasyonunu, yürüyen dalga çözümlerini ve sitozol elastisitesini beraber inceledik. Hastalıklardaki hücre içi iletişimi anlamak onlara doğru şekilde müdehale etmek için önemlidir. Bu nedenle sistemlerin sıklıkla kullanmayı tercih ettiği ikincil elçi sinyallerini ve onların mekanizmalarla olan etkileşimini doğru kavramak, sistemin vereceği tepkinin daha iyi anlaşılabilir olmasını sağlar. Bu çalışmada, tümörün büyümesini sağlayan bir mekanizma olan anjiojenezin, hücre içi ikincil bir elçi olan kalsiyum iyonu ile olan etkileşimini inceledik. Bu nedenle anjiojenezin ve kalsiyumun homeostazının önemli elemanlarını içeren matematiksel bir modeli daha önce kullanılmış elemanları kullanarak simüle ettik. Simülasyonlarımızda iki ve çoklu hücre senaryoları geliştirip, farklı anjiojenik uyarıcı alımına ait dağılımlarda sistemimizin verdiği sonuçları inceledik. Anjiojenez hücrenin belirli bir yönde ilerlemesini gerektirdiği için, sitozolik jelasyon-solusyon mekanizmasını yine literatürde kullanılan bir başka modelden esinlenerek simüle ettik ve yürüyen dalga konfigurasyonunda dalganın hangi koşullarda bir yöne sahip olduğunu inceledik.","This study includes mathematical modeling of biological observations and numerical solutions of these models. Our study focused on different phenomenons, including; vessel formation, intracellular calcium ion concentration, traveling wave solutions, and cytosol elasticity. Understanding signaling in diseases is essential for a proper response. For this reason, understanding the secondary messenger signaling that mechanisms often prefer to use and their interaction with the mechanisms enables the system's response to be better understood. This study examined the interaction of angiogenesis, a mechanism that contributes to tumor growth, and cytosolic calcium ion, an intracellular secondary messenger. Therefore, we simulated a mathematical model involving essential angiogenesis and calcium homeostasis elements using previously used models. In our simulations, we developed two and multiple cell scenarios and examined the results of our system in distributions of different angiogenic stimulus uptake. Since angiogenesis requires the cell to move in a specific direction, we simulated the cytosolic gelation-solution mechanism, inspired by another model used in the literature. We examined the condition under which the wave direction persists in the traveling wave configuration."
Boğaziçi Üniversitesi,Fizik ve Fizik Mühendisliği = Physics and Physics Engineering,"Bu tezde rafine topolojik sicim teorisi büyüklüklerinin kompakt Calabi-Yau geometrileri üzerindeki hesaplamalarının iki farklı yolu, lokal P^2 geometrisi örneği üzerinde incelenmektedir. Bu hesaplama yollarından biri büyük N ikiliğini ve rafine Chern-Simons teorisi hesaplamalarını kullanmak (Aganagic and Shakirov), diğeri ise yeni bir verteks tanımlamaktır (Iqbal, Kozçaz). Bu tezde tanımlanan bu yeni verteksin aslında diğer yöntemle ilişkili olduğu ve rafine Chern-Simons teorisi hesaplamalarından nasıl türetilebileceğinin gösterimi yer almaktadır. Bu tezde topolojik sicim teorisi, büyük N ikiliği, düğüm değişmezleri ve Chern-Simons teorisi üzerine kısa bir özetin yanı sıra, hem rafine hem de rafine olmayan versiyon için topolojik verteks yöntemi ve topolojik verteksin Chern-Simons teorisi kullanılarak türetilmesi yer almaktadır.","In this thesis, the approaches for calculating refined topological string amplitudes on compact Calabi-Yaus for the case local P^2 are investigated. One approach is making use of large N duality and refined Chern-Simons theory (Aganagic and Shakirov) and the other is defining another vertex (Iqbal, Kozçaz). It turns out that this new vertex can be obtained from refined Chern-Simons theory using properties of Macdonald and Schur functions, in this thesis we outline the way of this derivation. Aside from a brief review of topological strings, large N duality and knot invariants that can be calculated using Chern-Simons theory, a review of topological vertex formalism and its derivation using Chern-Simons theory, both in the refined and unrefined case is included."
Boğaziçi Üniversitesi,Fizik ve Fizik Mühendisliği = Physics and Physics Engineering,"Optik frekans tarakları, zaman-frekans metrolojisi başta olmak üzere, pek çok alanda devrim sağlamış ve yeni uygulamaların yolunu açmıştır. Bu tezde, optik frekans taraklarının fikir aşamasından başlayıp uygulamaya kadar giden yolunu resmetmeye çalıştım. Bu amaçla, bir sayısal simülasyon yazılımı geliştirilmiş ve bedava kullanıma sunulmuştur. Kullanılan yöntemler ayrıntılı şekilde anlatılmıştır. Bu yazılım, bunlarla sınırlı olmamakla birlikte, femtosaniye fiber lazer ve yükselteç sistemlerinin, supercontinuum üretiminin ve Raman lazerlerinin simülasyonu ve tasarımı için kullanılabilmek-tedir. Bu tezdeki femtosaniye lazerlerin ve yükselteçlerin tasarımında da kullanılan, yeni bir algoritmik tasarım yöntemi gösterilmiştir. Bu yöntem, yeni lazer rejimlerinin keşfedilmesinin yolunu açabilir. Optik frekans taraklarının zaman-frekans metroloji uygulamaları üzerine çalışmalar yapılmıştır. Dayanıklı, taşınabilir ve kararlılaştırılmış, düşük gürültülü bir Yb-fiber optik frekans tarağı geliştirilmiş, iyot-stabilize bir Nd:YAG lazerinin ve iki-kip-stabilize bir HeNe lazerinin frekanslarının ölçümünde kullanılmıştır. Optik frekans taraklarıyla ultra-düşük faz gürültülü RF-MW sinyallerin üretilmesi konusunda da çalışmalar yapılmıştır. Yüksek-harmonik kip-kilitleme ve tekrar frekansı katlama ile, frekansları 78.125 MHz'ten 10 GHz'e kadar değişen, ultra-düşük faz gürül-tülü sinyaller üretilmiştir. Otomatik olarak kip-kilitlenebilen bir femtosaniye fiber lazer de geliştirilmiştir. Son olaraksa, bildiğim kadarıyla dünyada ilk kez, pasif kip-kilitlemeli femtosaniye lazer tabanlı bir atomik frekans standardı geliştirilmiştir. Geliştirilen Rb frekans standardı, ticari Rb frekans standartlarına benzer performans sağlarken, yüksek ofset frekanslarında onlardan çok daha düşük faz gürültüsüne sahiptir.","Optical frequency combs are very versatile tools, which revolutionized many areas, and enabled novel applications, especially in time-frequency metrology. In this thesis, I tried to convey a complete picture of the road that goes from conception through design to applications of optical frequency combs. To this end, implementation details of a free, publicly-available numerical pulse propagation simulation software, which can be used for, but not limited to, simulating and designing complete femtosecond laser and amplifier systems, supercontinuum generation, and Raman lasers, is presented. An algorithmic design methodology, which was used for designing all of the femtosecond lasers and fiber amplifiers presented in this thesis, is introduced, which might pave the way to discovery of new laser pulse evolution regimes. Several optical frequency combs were developed and utilized in time-frequency metrology applications. A fully-stabilized, robust, and transportable low-noise Yb-fiber optical frequency comb was developed and used for absolute frequency measurements of iodine-stabilized Nd:YAG and two-mode stabilized HeNe lasers. Studies were conducted on generating RF-MW signals with ultra-low phase noise by utilizing optical frequency combs. High-harmonic mode-locking and repetition-rate multiplication methods were used to generate ultra-low phase noise RF-MW signals with frequencies ranging from 78.125 MHz to 10 GHz. A femtosecond fiber laser that can be automatically mode-locked was also developed during these studies. Finally, an atomic frequency standard based on a passively mode-locked femtosecond laser was developed, for the first time to the best of my knowledge. Resulting Rb atomic frequency standard was demonstrated to perform at a similar level to the commercial Rb atomic frequency standards, with much better phase noise at high frequency offsets."
Boğaziçi Üniversitesi,Fizik ve Fizik Mühendisliği = Physics and Physics Engineering,"Fiziksel bir niceliği temsil eden bir fonksiyon, incelenmekte olan fiziksel sistem hakkında pertürbatif veya pertürbatif olmayan bilgiler içeren tekilliklere sahiptir. Bununla birlikte resurgence teorisi bize bu tedirgin ve tedirgin olmayan kısımların yakından bağlantılı olduğunu ve bunlardan birinin diğerini elde etmek için kullanımının mümkün olduğunu söyler. Bu tezde, integral temsillerinde formüle edilen fonksiyonlara odaklanarak bu iki fikri birleştiriyoruz. Spesifik olarak, öncelikle kuantum mekaniğindeki yarı-klasik açılım ve elektromanyetik arkaplanında çift üretim problemi ile ilgili iki farklı örneği ele alarak, Schwinger'in integral temsilinde ifade ettiğimiz kuantum eylemine odaklanacağız. Fiziksel sistem hakkındaki pertürbatif ve pertürbatif olmayan bilginin Tr U(t)'nin tekilliklerinde saklı~olduğunu göstereceğiz. Pertürbatif olmayan kısmı elde etme yöntemimiz, ıraksak pertürbasyon serilerini üstesinden gelmek için kullanılan Borel yöntemine çok benzemektedir. Borel yönteminin aksine, Tr U(t)'nin tekilliklerini doğrudan araştırarak ve iƐ reçetesini kullanarak, üniterliğin ihlal edildiği fiziksel sistemlerde Borel belirsizliği sorununun önüne geçebileceğiz. Daha sonra dikkatimizi relativistik olmayan kuantum mekaniğindeki renormalon problemine çevireceğiz. Renormalon ıraksamasının, eğilmiş bir 1D 𝛿-potansiyeliyle pertürbe edilmiş 2D 𝛿-potansiyelinden oluşan bir arka plan potansiyeline sahip bir saçılma probleminde var olduğunu gösterdikten sonra, ıraksak serilerin toplamında ortaya çıkan Borel belirsizliğinin yine iƐ, reçetesinin dikkatli bir şekilde uygulanmasıyla önelenebileceğini ve renormalon sebebiyle ortaya çıkan pertürbatif olmayan katkıların nedensellik koşulunu sağladıkların iddia edeceğiz.","A function that representing a physical quantity has singularities which contain perturbative or non-perturbative information about the physical system under investigation. Moreover, the theory of resurgence tells us that these perturbative and non-perturbative parts are intimately connected and it is possible to use one of them to obtain the other one. In this thesis, we combine these two ideas with a focus on the functions formulated in integral representations. Specifically, first considering two different examples on the semi-classical expansion in quantum mechanics and the pair production problem in electromagnetic backgrounds, we will concentrate on the quantum action which we express in the Schwinger's integral representation. We will show that the perturbative and non-perturbative information about the physical system is hidden in singularities of the propagator Tr U(t). The way we obtain the non-perturbative one is very similar to the Borel method which is used to handle the divergent perturbation series. Contrary to the Borel method, by probing the singularities of Tr U(t) directly and using the iƐ prescription, we will be able to prevent the Borel ambiguity problem in the physical cases that it leads to the violation of the unitarity. Later, we will turn our attention to the renormalon problem in non-relativistic quantum mechanics. After presenting the existence of the renormalon divergence in a scattering problem with a background potential consisting of 2D 𝛿-potential perturbed with a tilted 1D 𝛿-potential, we will argue that the Borel ambiguity in the summation of the divergent series can be prevented again by a careful application of the iƐ prescription and the resulting non-perturbative contribution due to the renormalon obeys the causality condition."
Boğaziçi Üniversitesi,Fizik ve Fizik Mühendisliği = Physics and Physics Engineering,Bu tezde Belinski ve Zakharov tarafından geliştirilen genel görelilikte ters saçılım metodu çalışılacaktır. Solitonların fiziksel doğası yorumlanacak ve solitonlar ile Weyl sınıfı çözümler arasındaki bağlantı açıklanacaktır. Einstein denklemlerinin tek kaynaklı ve çift kaynaklı çözümleri Belinski-Zakharov metodu ile üretilecektir. Tek kompakt obje ve ikili kompakt objenin olay ufku görselleştirilecektir. Yüzeyler üç boyutlu Öklidyen uzaya ve üç boyutlu hiperbolik uzaya yarı-uzay modeli ve Poincare top modeli ile yerleştirilecektir.,"In this thesis, the Inverse Scattering Method of Belinski and Zakharov is studied in the context of general relativity. The physical interpretation of solitons is established, as well as the connection between solitons and Weyl Class solutions. The single-source and double-source solutions of Einstein's equations are generated by the Belinski-Zakharov method. The event horizons of single compact objects and binary compact objects are illustrated. The surfaces are isometrically embedded into Euclidean three-space, hyperbolic three-space by the half-space model, and hyperbolic three-space by the Poincare ball model."
