university,konu,tr,en
Boğaziçi Üniversitesi,Matematik = Mathematics,"Bu tezde Littlewod-Richardson katsayılarının grup representasyonları, simetrik fonksiyonlar ve Schubert döngüsü teorilerindeki yeriyle birlikte bu katsayıları hesaplamak için kullanılan honeycombs, Berenstein Zelevinky üçgenleri ve hive gibi güncel metodlar incelenecektir. Bunlarla birlikte klasik bir method olan Littlewood-Richardson tabloları kısaca tanıtılacak ve bu tablolar üzerinde Littlewood-Richardson katsayılarının sıfır olmadığı durumlar için dominans sıralmaya göre bir alt sınır bulan yeni bir algoritma sunulacaktır.","This thesis discusses the latest methods for calculating Littlewood-Richardson coefficients along with their role in the theory of group representations, symmetric functions, and Schubert varieties of Grassmanians. The methods prescribed here are constructed through honeycombs, Berenstein Zelevinky triangles, and hives. The classical approach, which uses Littlewood-Richardson tableaux, is also covered brieflysince it allows us to introduce a new algorithm that efficiently calculates a lower bound for non-zero Littlewood-Richardson coefficients."
Boğaziçi Üniversitesi,Matematik = Mathematics,"Hesaplamalı karmaşıklık teorisi hesapların yapılabilmesi için gerekli olan asga\-ri kaynak miktarını inceler, ve bunların arasında en çok zaman ve hafıza kaynakları incelenir. 1961'de Landauer enerji harcamanın hesaplama yapmak için gerekli olup olmadığını inceledi, ve hangi durumlarda ne kadar enerji harcanması gerektiğini konusun\-da Landauer bedeli ola\-rak bilinen hesabı öne sürdü. Landauer'den sonra Fredkin, Toffoli, ve Bennett enerji harcamadan çalışan bilgisayarların yapılabileceğini teorik olarak gösterdi, fakat bunun için yeterli kaynak olması gerekiyor. Bu makalede belirlenim\-ci sonlu durumlu makinelerinin ve girdisini sadece bir kere okuyabilen makinelerin enerji harcamak zorunda olduğu kanıtlanmış, ve bu modeller harcadıkları enerji yönünden incelenmiştir.","Computational complexity theory investigates the minimum amount of resources needed to perform a computation, and time and space complexity are the most popular of such measures. Landauer has shown that energy, just like time and space, is a resource, and quantified the amount of energy needed and when. We use Landauer's findings to naturally formulate the energy complexity of deterministic finite automata and machines with a single access to their input, and investigate it through the lens of computational complexity theory."
Boğaziçi Üniversitesi,Matematik = Mathematics,"Fq, q elemanlı sonlu cisim olsun. Yüksek dereceli indirgenemez polinomların inşası, kodlama teorisi ve kriptografi gibi birçok alanda uygulaması olan, sonlu cisim aritmetiğinin ana problemlerinden biridir. Genellikle bu inşalar için, rasyonel dönüşümleri kullanan, özyinelemeli metodlar tercih edilir. Özel olarak bu çalışmada, ikinci dereceden dönüşümleri kullanarak elde edilen yöntemlerle ilgileneceğiz. Bunu yapmak için, önce ikinci dereceden rasyonel dönüşümleri, karşılık gelen sonlu cisimler üzerinde fonksiyon cisimleri genişlemesindeki, dallanan yerlerin davranışlarına göre sınıflandırıp, normalleştireceğiz. Daha sonra Galois teori ve grup teoriden bazı temel gözlemleri kullanarak bu inşaları inceleyeceğiz. Bu yaklaşım, özyinelemeli yapıları daha iyi anlamaya yardımcı olurken, çeşitli genellemeleri veriyor. Ayrıca, başlangıç polinomu üzerine koyulması gereken koşulları belirlememizi sağlıyor.","Let q be a prime power and Fq be the finite field with q elements. The explicit constructions of irreducible polynomials over Fq of high degree is one of the main problems in the arithmetic of finite fields which has many applications in several areas such as coding theory and cryptography. In general, some recursive methods are preferred to do these constructions using rational transformations. In particular, we are interested in methods that are obtained by using quadratic transformations. For doing this, we will first classify and normalize the rational transformations of degree 2 using the behaviour of the ramified places in the corresponding rational function field extensions over the finite field Fq. Then we will investigate the constructions using Galois theory and some basic observations in group theory. This approach helps to better understand the iterative constructions and gives various generalizations of them. It also enables to determine the requirements put on the initial polynomials."
Boğaziçi Üniversitesi,Matematik = Mathematics,"Hamilton Monte Carlo (HMC) yöntemi, Öklidyen olmayan bir geometrinin ters-çözüm problemlerine uygulanmasıdır; Hamilton dinamiğine dayanan olasılıksal bir örnekleme yöntemidir. HMC algoritmasının temel avantajlarından biri, diğer Monte Carlo Markov Zinciri yöntemlerine göre daha yüksek bir kabul oranı sahip ve bağımsız örnekler çizmesidir. Daha yüksek bir kabul oranının nasıl elde edildiğini anlamak için, simplektik geometri ışığında HMC metodunu inceledim. Hamilton dinamiği, dejenere olmayan ve kapalı bir diferansiyel 2-forma (simplektik form) sahip olan faz uzayında (kotanjant demeti) tanımlanır. Hamilton fonksiyonu, gözlemlenen data ile tahmini data arasındaki fark toplamına ve genelleştirilmiş momentumun karesine karşılık gelir ve faz uzayında tanımlıdır. Simplektik formun dejenere olmama özelliğini kullanarak, Hamilton fonksiyonunun vektör alanının integral eğrileri boyunca değişmez olduğu bir vektör alanı bulunabilir. Hamilton fonksiyonunun değişmezliği, ayrıntılı denge özelliğini sağlamak için kabul-red testi uyguladığımız yüksek kabul oranı ile sonuçlanır. Tezimde, önce simplektik geometrideki bazı temel kavramları ve teoremleri tanımlayacağız, ardından simplektik geometri ile HMC arasındaki ilişkiyi yani Hamilton dinamiğini anlatacağım. Son olarak, bir 2D tomografi problemi için HMC algoritmasının uygulanışını göstereceğim ve ayar parametrelerini analiz edeceğim.","Hamiltonian Monte Carlo (HMC) method is an application of a non-Euclidean geometry to an inverse problem. HMC is a probabilistic sampling method with the basis of Hamiltonian dynamics. One of the main advantages of HMC algorithm is to draw independent samples from the model space with a higher acceptance rate than other Markov Chain Monte Carlo (MCMC) methods. In order to understand how higher acceptance rate is achieved, I have studied HMC in the light of symplectic geometry. Hamiltonian dynamics is defined on the phase space (cotangent bundle), which has a natural symplectic structure, i.e. a differential two-form which is non-degenerate and closed. Hamiltonian function is defined on the phase space, which corresponds to the sum of misfit and the square of the generalized momentum. By using the non-degeneracy property of symplectic form, a vector field can be found in which Hamiltonian function is invariant along the integral curves of the vector field. The invariance of the Hamiltonian function results in high acceptance rate, where we apply accept-reject test to satisfy detailed-balance property. In this thesis, we define some basic concepts and theorems in symplectic geometry, then describe the relation between symplectic geometry and HMC, namely Hamiltonian dynamics. Lastly, we show an implementation for HMC algorithm to a 2D-tomography problem and analyze the tune parameters for application of HMC."
Boğaziçi Üniversitesi,Matematik = Mathematics,"G ve H sonlu gruplar ve k değişmeli bir halka olsun. Burnside grubu B(G,H), sonlu (G,H) ikili kümeler kategorisinin Grothendieck grubudur. Sonlu grupların ikili küme kategorisi kC, nesneleri sonlu gruplar olan ve morfizm kümeleri kB(G,H) grupları tarafından verilen kategoridir. İkili küme izleci, kC kategorisinden k-Mod kategorisine k-doğrusal bir izleçtir. Örneğin p-grubunun iç permutasyon modüllerinin Dade grubunun hesaplanması veya p-grubunun Burnside halkasının birim grubunun bulunması gibi dikkate değer sonuçlar, ikili küme izleci teorisi kullanılarak yapılmıştır. İkili küme izleçleri kategorisinde halka nesneleri dikkate alındığında, Green ikili küme izleci adlandırılan daha gelişmiş bir yapı elde edilir. Serge Bouc, sonlu bir grup G için dilim Burnside halkasını ve bölüm Burnside halkasını tanıttı. Ayrıca Bouc bu iki halkanın bir Green ikili küme izlecinin doğal bir yapısına sahip olduğunu dahi gösterdi. Çalışmamızda, Robert Boltje ve Olcay Coşkun tarafından yazılan fiberli ikili küme izleçleri makalesinin yaklaşımını kullanarak bölüm Burnside halkası üzerinde basit modülleri sınıflandırdık.","Let G and H be finite groups and k be a commutative unitary ring. The Burnside group B(G,H) is the Grothendieck group of the category of finite (G,H)-bisets. The biset category kC of finite groups is the category defined over finite groups, whose morphism sets are given by the kB(G,H) groups. A biset functor defined on kC, with values in k-Mod is a k-linear functor from kC to the category of k-Mod. The remarkable results as the evaluation of the Dade group of endopermutation modules of a p-group and finding the unit group of the Burnside ring of a p-group are done using the theory of biset functors. Looking for ring objects in the category of biset functors one gets a more sophisticated structure, which is called a Green Biset Functor. Serge Bouc introduced the slice Burnside ring and the section Burnside ring for a finite group G. He also showed that these two rings have a natural structure of a Green Biset Functor. In our work we classify simple modules over the section Burnside ring of G using the approach of the paper Fibered Biset Functors by Robert Boltje and Olcay Coşkun."
Boğaziçi Üniversitesi,Matematik = Mathematics,"Kovaryans tahmini birçok farklı alanda çalışılan bir konudur. Bu konudaki bazı problemlerde, doğaları gereği, çok boyutlu uzay-zamansal veriler incelenmektedir. Ayrıca, bazı senaryolarda gerçek kovaryans matrisinin başka kovaryans matrislerinin Kronecker çarpımları temelli gösterimler şeklinde yazılabileceği beklenmektedir. Özellikle rüzgar hızınin incelendiği çalışmalarda gerçek kovaryans matrisinin uzaysal ve zamansal Kronecker çarpanları olduğu varsayılarak çalışmalar yürütülmüştür. Bu tezde kovaryans matrisi tahmini için geliştirilmiş Kronecker çarpımı temelli modeller incelenmektedir. Ayrıca Kronecker çarpımı bazlı yeni bir model tanımlanmış ve deney sonuçlarıyla kullanılabilirliği desteklenmiştir.","Covariance estimation is a widely studied topic. Due to the nature of many problems, high-dimensional Spatio-temporal scenarios are considered frequently. In some cases, the true covariance matrices are also expected to have a Kronecker product-based representation. Especially in wind speed analysis, the true covariance matrix can be assumed to have spatial and temporal Kronecker factors. This thesis studies Kronecker product-based covariance estimation models. Also, a new Kronecker product-based method is proposed with experimentation results showing its performance."
Boğaziçi Üniversitesi,Matematik = Mathematics,"Bu çalışma üç matematik öğretmen eğitimcisinin geometrik dönüşümler konusundaki uzman bilgisini incelenmiştir. Bu amaçla, matematik öğretmen eğitimcilerinin geometrik dönüşümlerin tanımları ve özellikleri hakkındaki matematiksel bilgileri ve konu ile ilgili düşünme biçimlerine ve öğrencilerin anlamalarını geliştirmeye ve öğrencilerin zorluklarını aşmaya yönelik öğretim stratejilerine ilişkin pedagojik alan bilgileri incelenmiştir. Bu çalışmada nitel araştırma deseni kullanılmıştır ve matematik öğretmenlerinin uzmanlık bilgisi (MTSK) modeli çerçeve olarak kullanılmıştır. Matematik öğretmen eğitimcilerin bu konuyu nasıl kavramlaştırdıklarını anlamak amacıyla, katılımcılarla yaklaşık bir saat süren görüşmeler yapılmıştır. Sonuçlar, tüm katılımcıların geometrik dönüşümleri hareket ve fonksiyon olarak iki şekilde tanımladığını gösterdi. Matematik öğretmen eğitimcileri geometrik dönüşümlerin hareket anlayışının okul müfredatlarında görüldüğüne dikkat çekti. Diğer yandan, geometrik dönüşümleri APOS teorisini kullanarak açıkladılar. Hareket anlayışının eylem düzeyinde olduğu ve fonksiyon anlayışının hem süreç düzeyinde hem de nesne düzeyinde olabileceği bulgulandı. Sonuçlar öğrencilerin düzlemin geometrik dönüşümlerin tanım kümesi olduğunu kavramsallaştırmaları için farklı uzaylardaki fonksiyonlarla çalışmaya alışmaları gerektiğini gösterdi. Sonuçlar, matematik eğitimcilerinin bakış açısından, yansımanın öğrenciler için en kolay ve dönmenin en zor dönüşüm olduğunu göstermiştir. Bu nedenle, matematik eğitimcileri, dönüşümleri yansıma ile öğretmeye başlamanın iyi bir başlangıç olabileceğini savunmaktadırlar.","In this study, three mathematics teacher educators'(MTEs) specialised knowledge for geometric transformations was explored. In this regard, MTEs' mathematical knowledge about geometric transformations including the definitions and properties and their' pedagogical content knowledge regarding the thinking ways of students about geometric transformations, the teaching strategies to develop students' understandings and to overcome students' difficulties were examined. Data were collected qualitatively in one-hour long structured interviews. Results showed that all participants defined geometric transformations in two ways: namely, as a motion and as a function. MTEs pointed that motion conception of geometric transformations is seen in school curricula; while, the function understanding is mostly delayed until the university level. MTEs also defined geometric transformations by using APOS theory in which they considered motion understanding at the action level, and function understanding both at the process level and the object level. Results further pointed to what MTEs consider as important in terms of the difficulties learners might possibly have and what strategies might be useful to overcome them. Particularly, results indicated that MTEs consider learners' need to get used to studying with different functions in different spaces as well as their understanding of plane, R^2, as important to conceptualize the domain and the range of geometric transformations as the whole plane. In addition, Results further showed that MTEs consider that reflection is the easiest transformation for the learners and rotation is the hardest one. Thus, they recommend that it might be a good strategy to start teaching transformations with reflection."
Boğaziçi Üniversitesi,Matematik = Mathematics,"Bu çalışmanın amacı öğretmen adaylarının çarpma ve bölmeye ilişkin alan bilgilerini incelemektir. Çalışma, 2021-2022 akademik yılının Bahar döneminde, Türkiye'de yer alan beş farklı üniversitede gerçekleştirilmiştir. Çalışmaya ilköğretim matematik, fen bilgisi, ortaöğretim matematik, kimya ve fizik öğretmenliği programlarında öğrenim gören toplam 111 üniversite son sınıf öğrencisi katılmıştır. Verileri toplamak için araştırmacı tarafından hazırlanan on beş maddelik bir ölçme aracı kullanılmıştır. Ölçme aracındaki maddeler geliştirilmeden önce ilgili literatür ışığında çarpma ve bölmeyi çarpımsal olarak anlamanın bileşeni olan üç gösterge belirlenmiştir. Toplanan veri, öğretmen adaylarının her bir maddedeki performanslarını incelemek için betimsel istatistiklerle analiz edilmiştir. Elde edilen sonuçlar, öğretmen adaylarının çarpma ve bölme problemlerinde nicelikleri belirlemede ve niceliklerin birimlerini saptamada güçlük yaşadıklarını ortaya koymuştur. Sonuçlar ayrıca, öğretmen adaylarının özellikle eşit gruplar içeren problem durumları için çizdikleri model temsillerini çarpımsal olarak açıklayamadıklarını göstermiştir. Çarpımsal problem durumlarının anlaşılmasına ilişkin sonuçlar, öğretmen adaylarının çarpma ve bölme problemleri tasarlayabilmelerine rağmen ilgili problemler için gerekli olan çarpımsal açıklamaları yapamadıklarını göstermiştir. Ek olarak sonuçlar, öğretmen adaylarının problemlerdeki nicelikler arasındaki çarpımsal ilişkiyi açıklamada başarılı olmadıklarını ortaya koymuştur. Ayrıca, öğretmen adaylarının işlemsel şekilde açıklama yapma eğiliminde oldukları belirlenmiştir.","The aim of the current study was to investigate preservice teachers' content knowledge on multiplication and division. The study was conducted in five universities in Turkey, during the Spring semester of 2021-2022 academic year. A total of 111 senior university students from middle school mathematics, middle school science, secondary school mathematics, chemistry, and physics education programs participated in the study. The instrument including fifteen items developed by the researcher was used as a data collection source. Before the items on the instrument were developed, three indicators of understanding of multiplication and division multiplicatively were determined in light of the literature. Data were analyzed descriptively to examine preservice teachers' performances on each item. Results regarding understanding of a quantity revealed that preservice teachers experienced difficulties in specifying the quantities and determining the referents of the quantities, especially of the intensive quantities in multiplication and division problems. Also, results related figural representation indicated that preservice teachers were not able to multiplicatively explain the pictorial figures they drew in equal groups problem situations especially. Similarly, results regarding understanding of multiplicative problem situations showed that although preservice teachers were able to construct multiplication or division problems, they were not able to provide multiplicative explanations requiring for related problems. Results also suggested that preservice teachers were not successful at explaining multiplicative relationship between the quantities in the problems. It was also concluded that they were inclined to make explanations in a procedural way."
Boğaziçi Üniversitesi,Matematik = Mathematics,"Bir evrensel T teorisinin model eşi, T'nin varlıksal kapalı modellerinin teorisinin aksiyomlarından oluşur. Bu tezde teorilerin model eşlenebilirliği kavramı incelenmiştir. Bazı iyi bilinen teorilerin model eşi örnekleri sunulup ardından model eşi olmayan teorilerden örnekler verilmiştir. Bu tezin ana odak noktası ""Kompaktlık Argümanı"" olarak adlandırdığımız bir tekniğin üzerinde durmaktır. Kompaktlık Argümanı, bir teorinin model eşi olmadığını kanıtlamak için kullanılır. Kompaktlık Argümanını kullanarak model eşi olmadığı kanıtladığımız teoriler şunlardır: gruplar teorisi, halkalar teorisi, çizge teorisinden iki örnek, iki değişmeli otomorfizmalı cisimler teorisi ve otomorfizmalı yoğun lineer sıralama teorisi. Kanıtların daha anlaşılır olmasını sağlamak için kanıtları destekleyen orjinal diyagramlar inşa edilmiştir.","Model companion of a universal theory T is the axiomatization of the existentially closed models of T. This thesis studies the concept of model companionability of theories. We present examples of model companions of certain well known theories. We then give examples of theories without model companions. The main focus of this thesis is to elaborate a technique, which we call ""the Compactness Argument"". Compactness Argument is used to prove that the model companion of a theory does not exist. We apply Compactness Argument to prove that the following theories do not have model companions: the theory of groups, the theory of rings, two examples of the theory of graphs, the theory of fields with two commuting automorphisms, and the theory of dense linear orders with an automorphism. Several proofs are illustrated by original diagrams to provide a better understanding to the reader."
Boğaziçi Üniversitesi,Matematik = Mathematics,"Bu çalışmanın amacı lise öğrencilerinin uzamsal ve niceliksel Kartezyen koordinat sistemlerini oluşturmadaki muhakemelerini, grafik üzerindeki bir noktanın ve bir fonksiyonun çıktılarını anlamlandırma biçimlerini, uzamsal ve niceliksel koordinat sistemlerinde grafikler hakkındaki muhakemelerini incelemektir. Araştırma 2021-22 eğitim öğretim yılı bahar döneminin sonuna doğru İstanbul'da özel bir lisede gerçekleştirilmiştir. Katılımcılar, farklı fonksiyon türlerini ve bu fonksiyonların koordinat sistemindeki grafiklerini öğrenmiş, farklı sınıf seviyelerinden olan 229 lise öğrencisinden oluşmaktadır. Dokuz açık uçlu sorudan oluşan ölçme aracı literatüre dayalı olarak araştırmacı tarafından geliştirilmiştir. Veriler literatürde bu alandaki teorik çerçevelere göre kategorilere ayrılarak betimsel istatistiklerle analiz edilmiştir. Analizin sonuçları öğrencilerin bir noktanın konumunu belirlemede ve nicelikleri koordine etmede eksenleri, nicelikleri orijinden yatay ve dikey yönlü uzaklıklar olarak temsil etmek için kullanılan bir referans çerçevesi olarak anlamlandırmada ciddi zorluklar yaşadıklarını göstermiştir. Ek olarak öğrencilerin önemli bir kısmının x ve y-koordinatlarını ve bir fonksiyonun çıktısını grafik üzerinde bir nokta olarak gördüklerini ve bu nedenle noktayı anlamlandırmada çarpımsal nesne açısından normatif olmayan anlamlar taşıdıklarını göstermiştir. Ayrıca fonksiyon ve fonksiyon notasyonuna dair yaşanılan zorlukların öğrencilerin noktalara ilişkin muhakemesinde sorun oluşturduğu tespit edilmiştir. Bununla bağlantılı olarak, sonuçlar öğrencilerin grafiği her iki niceliğin birlikte/ilişkili değişimini ifade eden ve çarpımsal nesnenin bu değişim sonucu koordinat sisteminde bıraktığı bir iz olarak görmede zorlandıklarına işaret etmiştir. Öğrenciler ya niceliklerin brüt değişimine odaklanarak bunu temsil eden ezberlenmiş bir grafik çizdiler, ayrık noktalardan oluşan grafik çizdiler, grafiğin çizilen belirli noktalar arasında nasıl davrandığını tasavvur edemediler ya da zamanı ikincil bir değişken olarak alan iki ayrı grafik çizdiler.","The aim of this study was to investigate high school students' reasoning of spatial and quantitative Cartesian coordinate systems, their meanings of a point on a graph, outputs of a function and graphing within spatial and quantitative coordinate systems. The study was conducted at a private high school in Istanbul towards the end of Spring semester in 2021-22 academic year. Participants consisted of 229 high school students from different grade levels who learned different kinds of functions and graphing in Cartesian coordinate system. The instrument with nine open ended questions was developed by the researcher based on the literature. Data were categorized by coded analysis and descriptively analyzed mainly according to framework for reasoning about graphs in spatial and quantitative Cartesian coordinate system and framework for representing a multiplicative object in the context of graphing. Analysis of the results showed that students had critical difficulty in conceiving axes as frame of reference to represent quantities as horizontal and vertical directed distances from origin in describing location of a point and coordinating quantities. Additionally, results showed that significant number of student students viewed x and y-coordinates and output of a function as a point on a graph hence carried non-normative meanings for point in terms of multiplicative object. Besides, students' difficulties with function and function notation found to be an issue in their reasoning about points. Relatedly, results regarding graphing in Cartesian coordinate system pointed to students' difficulties in envisioning a graph as an emergent trace of multiplicative object representing changes in two quantities simultaneously. Students either focused on gross variation of the quantities and sketched a memorized graph, sketched a discrete graph, could not envision how the graph behaves between landmark points or sketched two separate graphs considering time as a secondary variable."
