university,konu,tr,en
Koç Üniversitesi,Matematik = Mathematics,"Bu tezde, reel kontak 3-manifoldları calışıyoruz. Bir 3-manifold; sabit kümesi boş küme ya da bir boyutlu bir altmanifold olan, oryantasyonu koruyan bir involüsyonu olduğunda, reel 3-manifold olarak adlandırılır. Bir reel 3-manifold; reel yapıya göre antisimetrik kontak yapı taşıdığında reel kontak 3-manifold olarak adlandırılır. Her reel 3-manifoldun standart reel 3 boyutlu küreden ahenkli cerrahi adlı bir operasyonla elde edildiğini gösteriyoruz ve bu süreci betimliyoruz. Daha sonra, reel kontak yapıyı cerrahi sonrası manifolda yayabilmek i\c{c}in ahenkli kontak cerrahi operasyonunu tanımlıyoruz. Ardından her reel 3-manifolda reel kontak bir yapı atanabileceğini ahenkli kontak cerrahi yardımı ile kanıtlıyoruz. Farklı tiplerde ahenkli kontak cerrahi şemaları üretmek için iki ayrı algoritma tanımlayıp örnekler üzerinde yaptığımız inşaayı algoritmik olarak gösteriyoruz. Son olarak belirli kontak yapıların aynı zamanda reel kontak olduğunu ahenkli kontak cerrahi ile elde ederek gösteriyoruz.","In this thesis, we study real contact 3-manifolds. A real 3-manifold is a smooth 3-manifold equipped with an orientation preserving involution with empty or 1-dimensional fixed point set. By a real contact manifold we mean a real manifold with an anti-symmetric contact structure. We prove that every real 3-manifold can be obtained from the standard real 3-sphere via equivariant surgeries and we give equivariant surgery descriptions for arbitrary real 3-manifolds. Then we define equivariant contact surgeries which allow one to extend the real contact structure to the surgered manifold. Via equivariant contact surgeries, we show that any real manifold admits a real contact structure. We give examples to illustrate how our algorithms for finding an equivariant (contact) surgery diagram work. We determine that certain contact structures are real, obtaining them via equivariant contact surgeries."
Koç Üniversitesi,Matematik = Mathematics,"Ters problemler, bir sistemi gözlemleyerek elde edilen ölçümlerden bir etkinin nedenselliğini belirlemeyi içerir. Ters problemlerde gerçek dünya uygulamaları olan çeşitli konular vardır ve dalga görüntüleme bunlardan biridir ve tıbbi görüntüleme, sismik görüntüleme, sonar görüntüleme ve daha fazlası dahil olmak üzere bilim alanlarının çeşitli alanlarında uygulamalar bulur. Seyrek geri oluşturma yöntemleri genellikle bu tür görüntüleme ve ters problemleri çözmek için kullanılır. Bu yöntemlerin amacı, bilinmeyenin ve ölçüm matrisinin belirli koşulları sağladığı durumlarda, bilinmeyeni eksik belirlenmiş bir doğrusal ölçüm sistemi setinden geri elde etmektir. Özellikle, bilinmeyenin yeterince seyrek olması ve ölçüm matrisinin belli şartları sağlaması gerekmektedir. Gerçek dünya uygulamalarında, bu koşullar nadiren tamamen sağlanır, bu da bu algoritmaların yeniden yapılandırma kalitesinin azalmasına neden olur. Bu tip gerçekçi durumlarda CS yöntemlerinin başarısız olduğu durumları ele alma amacıyla literatürde farklı yaklaşımlar tartışılmıştır ve ""bant dışı tutma"" da bunlardan biri olarak kabul edilebilir. Dizisel görüntüleme problemlerinin bağlamında, bu bant, sahnedeki nesneler arasındaki minimum ayrım ile yakından ilgili bir değere karşılık gelir. Daha sonra, bu minimum ayrım bilgisi, sistemin uyumsuzluk özelliklerini iyileştirmek için kullanılabilir, bu da yeniden yapılandırma kalitesini artırır. Bu tezde, tek bir global band yerine her bir nesne için değişken bir bandın kullanılmasını öneriyoruz. Bu yaklaşım, farklı algoritmalarla birleştirildiğinde, özellikle sahne nispeten daha az seyrek bölgeler içerdiğinde, bunların yeniden yapılandırma kalitesini artırabilir. Ayrıca, bu bantların sahnedeki her nesne için nasıl tahmin edileceği ve uygulamasının teorik gerekçeleri incelenmiştir. Ayrıca, çeşitli bilinen yöntemler için değişken bant yaklaşımının uygulamaları tartışılmıştır.","Inverse problems involve determining the causality of an effect from measurements obtained by observing the system. There are various topics in inverse problems with real-world applications, and wave imaging is one of them and finds applications in various fields of science, such as medical imaging, seismic imaging, sonar imaging, and more. Sparse reconstruction methods are commonly employed to solve such imaging and inverse problems. The objective of these methods is to recover the unknown from an under-determined system of linear measurements where the unknown and the measurement matrix need to satisfy certain conditions for successful reconstruction. In particular, the unknown should be sparse enough, and the measurement matrix should exhibit incoherence. In the real world, these conditions are rarely fully met, resulting in reduced reconstruction quality by these algorithms. Different approaches are discussed in the literature to address scenarios where CS methods fail under such realistic settings, and band exclusion can be considered as one of them. In the context of the array imaging problems, this band corresponds to a value that is closely related to the minimum separation between objects in the scene. This minimum separation information can then be utilized to improve the incoherence properties of the system, thus enhancing reconstruction quality. In this thesis, we propose using a variable band for each object in the scene instead of a single global band. This approach, embedded into different algorithms, can enhance their reconstruction quality, particularly when the scene contains relatively less sparse regions. We also discuss how to estimate these bands for each object in the scene and give theoretical justifications for their use. We then discuss implementations of the variable band approach for various known methods."
Koç Üniversitesi,Matematik = Mathematics,"Grothendieck, cebirsel geometri alanındaki kohomoloji teorileri için evrensel bir çerçeve sunan Tannakacı bir kategori olarak motifler kategorisini önerdi. Bu çalışmamızda motifleri Nori'nin tanımıyla ele alacağız. Birleşik Tate motifleri kategorisinin Hopf cebirinin, A ile gösterilen Aomoto polilogaritmaları cebirine izomorf olması bekleniyor. A cebirini Nori motiflerini ve Nori'nin diagram formalizmini kullanarak inşa etmeyi amaçlıyoruz.","Grothendieck proposed the category of motives as a Tannakian category, offering a universal framework for cohomology theories in the realm of algebraic geometry. In this study, we will consider motives in the sense of Nori. One expects the Hopf algebra of mixed Tate motives to be isomorphic to the bi-algebra A of Aomoto polylogarithms. We aim to construct A using Nori motives and Nori's diagram formalism."
Koç Üniversitesi,Matematik = Mathematics,"Bu tezde, ana amaç Green-Tao teoremini kanıtlamaktır. Bu teoremin kanıtında kullanılan bazı teknikler Szemerédi teoreminin ispatında kullanılmak üzere geliştirilmiştir. Bunun yanı sıra, Szemerédi teoremi Green-Tao teoremini kanıtlarken kullanılan bileşenlerden biridir. Bu nedenlerle Szemerédi teoremin en basit özel durumu olan Roth teoreminin iki kanıtına yer verilmiştir.","In this thesis, the ultimate aim is to give proof of the Green-Tao theorem. Some of the tools and techniques used in the proof of the Green-Tao theorem are developed to prove the Szemérédi theorem. Besides, the Szemerédi theorem is assumed to prove the Green-Tao theorem. Therefore, two proofs of the Roth theorem, the simplest special case of the Szemerédi theorem, are also discussed."
Koç Üniversitesi,Matematik = Mathematics,"Bu tez, birbirleriyle diffeomorfik olmayan ancak homeomorfik olan bir çift egzotik 4-boyutlu manifoldun varlığını incelemeyi amaçlamaktadır. İlk olarak, cebirsel topolojiyle ilgili birkaç açıklama yapılır, bunu takiben vektör demetleri ve karakteristik sınıfların tanıtımı gelir. Daha sonra, kapalı ve yönlendirilmiş bir 4-boyutlu manifoldunun ikinci kohomoloji grubu (veya Poincaré İkililiği aracılığıyla ikinci homoloji grubu) üzerinde tanımlanan bir ikili harita olan kesişme formunu tanıtırız. Ardından, belirsiz kesişim formlarının izomorfizmi için yeterli bir invariyan listesi ortaya koyarız, bu da Freedman teoreminin yardımıyla kapalı ve yönlendirilmiş 4-boyutlu manifoldların homeomorfizmini kanıtlamayı kolaylaştırır. İzleyen bölümde, belirli düzgün 4-boyutlu manifoldlar için bir difeomorfizm invariyanı olan Seiberg-Witten denklemlerini tanımlamak için gerekli kavramları sunarak başlarız. Son olarak, iki 4-boyutlu manifoldun inşasını gözden geçirir ve Freedman teoremi yardımıyla homeomorf olduklarını, ancak Seiberg-Witten invariyanları kullanarak difeomorf olmadıklarını gösteririz.","This thesis aims to review the existence of a pair of exotic 4-manifolds i.e. a pair of 4-manifolds that are homeomorphic but not diffeomorphic. First, we make a few remarks in algebraic topology, which is followed by introduction to vector bundles and characteristic classes. Next, we introduce the intersection form, a bilinear map defined on the second cohomology group (or second homology group via Poincar\'e Duality) of a closed and oriented 4-manifold. Then, we lay out a sufficient list of invariants for isomorphism of indefinite intersection forms, which eases to prove homeomorphism of closed and oriented 4-manifolds with the help of Freedman's theorem. In the following chapter, we start by presenting necessary concepts in order to define Seiberg-Witten equations, whose solution space modded out by an action turns out to be a diffeomorphism invariant for certain smooth 4-manifolds. Finally, we review the construction of two 4-manifolds, and show that they are homeomorphic by Freedman's theorem but not diffeomorphic using their Seiberg-Witten invariants."
Koç Üniversitesi,Matematik = Mathematics,"Bu tezde, manifoldlar için Morse teorisi ve kulp ayrışımları incelenecektir. 4-manifoldlara ve onlarla ilgili olan kulp hamleleri ve Kirby Kalkülüsü gibi konulara ihtimam gösterilecektir. Ayrıca, düğüm teorisi ve dört boyutlu manifold teorisi arasındaki ilişkinin temel noktalarının da üzerinden geçilecektir. Asıl gayemiz, Akbulut tarafından bulunan bir egzotika sonucunu sunmaktır: S2'ye homoptopik eşdeğer olan egzotik, sınırlı 4-manifoldlar vardır. Orijinal ispat sunulmayacaktır. Bunun yerine, büyük oranda daha güncel yaklaşımlar takip edilecektir. Spesifik olarak, Piccirillo tarafından Tech Topology Summer School'da verilen dersler ve Singularities and Low-Dimensional Topology Winter School, Alfred Renyi Institute of Mathematic dersleri takip edilecektir.","In this thesis, we will be reviewing morse theory and handle decompositions for manifolds while paying special attention to 4-manifolds and related notions such as handles moves and Kirby Calculus. We will also review the fundamentals of the relationship of knot theory and dimension four. The main objective will be to present an exotica result: There are exotic 4-manifolds with boundary that are homotopy equivalent to S2, this result is due to Akbulut. I will not be presenting the original proof. Instead, we will be mainly following a different approach. In particular, I will be also following the lectures delivered by Piccirilo at Tech Topology Summer School and the lectures delivered at Singularities and Low-Dimensional Topology Winter School, Alfred Renyi Institute of Mathematics."
Koç Üniversitesi,Matematik = Mathematics,"Bu yüksek lisans tezinde, [0, π] aralığındaki bir boyutlu Chafee-Infante kısmi diferansiyel denklemi üzerine bir çalışma yürütülmektedir. Bu iyi çalışılmış denklemin, madde taşınması ve parçacık difüzyonu gibi çeşitli fiziksel süreçlerde uygulamaları vardır. Çalışmamız dört bölümden oluşmaktadır. Temel matematiksel kavramları tanıttıktan sonra, araştırma özellikle tek boyutlu durum üzerinde yoğunlaşarak, gerekli matematiksel temeli oluşturmak için Sobolev uzaylarına detaylı bir şekilde girişle başlamaktadır. Bunu, tek boyutlu ısı denklemi üzerine detaylı bir inceleme izlemektedir. Bu bölümleri temel alarak, Chafee-Infante denkleminin özelliklerini kısmi diferansiyel denklemler teorisi açısından tartışıyoruz.","In this Master's thesis, we conduct a study of the one-dimensional Chafee-Infante partial differential equation on the interval [0, π]. This well-studied equation has applications in various physical processes, such as mass transport and particle diffusion. Our work consists of four parts. After introducing essential mathematical concepts, investigation begins with a deep dive into Sobolev spaces, focusing particularly on the one-dimensional case, to establish the necessary mathematical foundation. This is followed by a detailed examination of the one-dimensional heat equation. Building upon these sections, we discuss the properties of the Chafee-Infante equation from the viewpoint of the theory of partial differential equations."
Koç Üniversitesi,Matematik = Mathematics,"Bir matrisin kararlılık yarıçapı, matrisin 2-normu açısından karmaşık düzlemin kapalı sağ yarısında bir özdeğer içeren en yakın matrise olan uzaklığıdır. Aynı zamanda, ilgili sürekli-zamanlı lineer kontrol sisteminin asimptotik olarak kararsız sistemler kümesine olan uzaklığına denk gelir ve tekil değer optimizasyonu problemi olarak tanımlanabilir. Bu tezde, temel ilgi alanımız büyük ölçekli karmaşık kararlılık yarıçapı problemleridir. İlk bölümde asıl problemleri düzgün alt uzaylara yansıtıp daha küçük ölçekli problemler elde etme üzerine kurulu, tekil değer optimizasyon karakterizasyonu üzerinde etki eden bir alt uzay yöntemini öneriyoruz. Her iterasyonda kontrol sisteminin durum uzayı küçük bir alt uzayla sınırlanıyor ve orijinalinden çok daha küçük bir tekil değer optimizasyonu problemi elde ediliyor. Sonuç olarak, seviye kümesi yöntemleri aracılığıyla sayısal olarak çözülen ve kuadratik hızda yakınsayan bir algoritma elde ediyoruz. Mevcut Boyd-Balakrishnan ve Bruinsma-Steinbuch algoritmalarının bu amaç için nasıl değiştirilebileceğini açıklıyoruz. Her iterasyonda indirgenmiş tekil değer optimizasyonu problemi çözüldükten sonra sınırlanmış alt uzayı, indirgenmiş problemi optimize eden değerde, indirgenmiş problem ile asıl problem arasında Hermit interpolasyon özelliklerinin korunması şartı ile belirli orijinal problem tekil vektörlerini içerecek şekilde genişletiyoruz. Bu alt uzay çerçevesinin süper-lineer hızda yakınsadığını teorik olarak kanıtlıyoruz. Kararlılık yarıçapını hesaplamak için önerilen alt uzay çerçevesinin önemli bir sorunu, yerel olarak yakınsaması. İkinci bölümde, birinci bölümde tanıtılan alt uzay yönteminin global optimum olmayan bir yerel optimuma yakınsama ihtimalini önlemek amacıyla, girdi matrisinin karmaşık düzleme en yakın özdeğerlerini başlangıç interpolasyon noktaları olarak kullanmayı öneriyoruz. Bu seçim, tekil değer optimizasyon probleminin global optimize değerlerinin büyük olasılıkla karmaşık düzleme yakın olan özdeğerlerin yakınında yer alması gözlemine dayanıyor. Bu özdeğerleri, yakın zamanda Aziz ve diğerleri tarafından büyük ölçekli doğrusal olmayan özdeğer problemleri için özel olarak geliştirilen türev interpolasyon alt uzay çerçevesini kullanarak hesaplıyoruz. Bu alt uzay yaklaşımında, orijinal büyük ölçekli ve küçük genelleştirilmiş özdeğer problemleri arasında interpolasyon özelliklerini sağlayan küçük bir genelleştirilmiş özdeğer problemine yol açan çift taraflı Petrov-Galerkin projeksiyonları kullanıyoruz. Küçük problemlerin tüm özdeğerleri QZ algoritması aracılığıyla kolayca hesaplanabiliyor. Daha sonra her iterasyonda tekrar projeksiyon alt uzaylarını küçük problemin karmaşık düzleme en yakın olan özdeğerleriyle orijinal problem arasında Hermite interpolasyon özelliklerini sağlayacak şekilde genişletiyoruz. Bu alt uzay yöntemi en azından kuadratik bir hızda yakınsıyor ve orijinal büyük ölçekli özdeğer problemini karmaşık düzleme yakın neredeyse aynı özdeğerlere sahip olan küçük bir özdeğer problemi ile yaklaşık olarak çözüyor. Son olarak tanımladığımız alt uzay yöntemlerini birleştirerek, büyük matrislerin kararlılık yarıçapını çoğu zaman iyi bir şekilde tahmin eden etkili bir yaklaşım elde ediyoruz ve çeşitli seyrek matrisler üzerinde kapsamlı sayısal deneylerle doğruluyoruz.","The stability radius of a matrix is the distance from the matrix to a nearest matrix with an eigenvalue on the closed right half of the complex plane with respect to the matrix 2-norm. It also corresponds to a distance from the associated continuous-time linear control system to the set of systems that are not asymptotically stable, and can be posed as a singular value optimization problem.In this thesis, our primary interest is the large-scale complex stability-radii problems. In the first part, we propose a subspace framework for the complex stability radius of a large matrix. The subspace framework operates on the singular value optimization characterization. In particular, the state space of the control system is restricted to a small subspace at every iteration. The resulting singular value optimization problem is much smaller than the original one. As a result, it can be solved numerically by means of level-set methods that converge quickly at a quadratic rate. We describe how the existing Boyd-Balakrishnan and Bruinsma-Steinbuch algorithms can be modified for this purpose. After solving such a reduced singular value optimization problem at every iteration, we expand the restriction subspace by including certain singular vectors of the original problem so as to ensure the Hermite interpolation properties between the reduced and original problem at the optimizer of the reduced problem. We formally argue why this subspace framework converges at a super-linear rate. One important issue with the subspace framework proposed for estimating the stability radius is that it converges locally. In the second part, to avoid convergence to a local optimizer that is not a global optimizer, we propose to use the eigenvalues of the matrix closest to the imaginary axis as the initial interpolation points for the subspace framework introduced in the first part. This initialization is motivated by the observation that the global optimizers of the singular value optimization problem are very likely to be located near the imaginary parts of the eigenvalues closest to the imaginary axis. We estimate these eigenvalues by employing another derivative interpolating subspace framework recently tailored for large-scale nonlinear eigenvalue problems by Aziz et al. In this subspace approach for eigenvalue problems, two-sided Petrov-Galerkin projections are employed leading to a small generalized eigenvalue problem such that interpolation properties hold between the original large-scale and small generalized eigenvalue problems. All of the eigenvalues of the small problem can be computed at ease for instance by means of the QZ algorithm. Then, again the projection subspaces are expanded at every iteration so that Hermite interpolation properties hold between the original and the small problem at the eigenvalues of the small problem closest to the imaginary axis. This framework is guaranteed to converge at least quadratically, which means that the original large-scale eigenvalue problem is approximated by a small eigenvalue problem with nearly the same eigenvalues near the imaginary axis. Putting these ingredients together, we obtain an efficient approach that most often approximates the stability radius of large matrices well, which we confirm by numerical experiments on several sparse matrices."
Koç Üniversitesi,Matematik = Mathematics,"Cebiroidler, bir çokkatlının teğet lif demetini genelleyen matematiksel yapılardır. Bu sebeple, çokkatlılar üzerindeki diferansiyel geometrik yapıların genellemeleri için uygun matematiksel bir çerçeve olarak görülebilirler. Örneğin, metrik-afin geometri, teğet lif demetinin bir örneğini oluşturduğu Lie cebiroidleri üzerinde inşa edilebilir. Öte yandan, genelleştirilmiş geometri Courant cebiroidleri üzerinde yazılabilir. Diferansiyel geometrik yapılar, klasik alan kuramlarında temel bir rol oynadığından, bu cebiroidler fiziksel amaçlar için de önemlidir. Örneğin, genel görelilik kuramı metrik-afin geometrik kavramlar cinsinden açıklanabilirken; genelleştirilmiş geometri, bozonik sicim teorisinin çift alan kuramı formülasyonuyla yakından ilgilidir. Sicim ve M teorilerinde; metrik, yüksek-Courant ve konformal Courant gibi diğer pek çok cebiroid sıklıkla kullanılmaktadır. Bu yüzden, tüm bu cebiroidleri özel bir durum olarak içeren daha kapsamlı bir yapıyla ilgilenmek doğal bir tutumdur. Yerel öncü-Leibniz cebiroidleri ve daha özel olarak karşı-sıradeğiştiren hale getirilebilen öncü-Leibniz cebiroidleri, bu kapsamlı genelliktedir. Bu sebeple, tüm bu yapıların aynı anda çalışılabildiği bu cebiroidler üzerindeki diferansiyel geometri, oldukça önemlidir. Bu tezde, öncü-Leibniz cebiroidleri üzerindeki çeşitli diferansiyel geometrik yapılar çalışılmaktadır. En temel düzeyde, metrik-bağlantı geometrileri inşa edilmekte ve bu geometrilerin özellikleri incelenmektedir. Karşı-sıradeğiştiren hale getirilebilen öncü-Leibniz cebiroidleri üzerinde, uygun adını verdiğimiz bir bağlantı sınıfı için Bianchi ve Ricci özdeşlikleri, Cartan yapı denklemleri ve bir bağlantının burulma ve metriksel-olmama tensörleri cinsinden çözümlemesi gibi pek çok önemli ilişki kanıtlanmıştır. Ayrıca, öncü-Leibniz cebiroidleri üzerinde istatistiksel, Hessian, konformal, izdüşümsel ve Weyl yapıları öne sürülmüş ve bu yapılarla ilgili çokkatlı bağlamındakilere paralel bazı sonuçlar kanıtlanmıştır.","Algebroids are mathematical structures that generalize the tangent bundle of a manifold. Hence, they can be considered as an appropriate mathematical framework for generalizations of differential geometric structures on a manifold. For example, metric-affine geometry can be constructed on a Lie algebroid of which the tangent bundle constitutes an example. On the other hand, generalized geometry can be written on a Courant algebroid. As differential geometric structures play a fundamental role in classical field theories, these algebroids are also crucial for physical purposes. For instance, general relativity can be expressed in terms of metric-affine geometric structures, whereas generalized geometry is closely related to the double field theory formulation of bosonic string theory. There are other algebroid structures such as metric algebroids, higher-Courant algebroids that are widely used in string and M theories. It is then natural to seek for a comprehensive structure that includes all of these algebroids as special cases. Local pre-Leibniz algebroids, and in particular anti-commutable pre-Leibniz algebroids, are such general ones. Differential geometry on these algebroids is of great interest, as they create a chance to work with all of these individual structures at once. In this thesis, various differential geometric structures on pre-Leibniz algebroids are studied. At the fundamental level, metric-connection geometries are constructed, and their properties are examined. On anti-commutable pre-Leibniz algebroids, for a class of connections that we call admissible, many relations that hold in the usual differential geometry are proven. These include Bianchi and Ricci identities, Cartan structure equations and the decomposition of a connection in terms of its torsion and non-metricity. Moreover, we introduce statistical, Hessian, conformal, projective and Weyl structures on pre-Leibniz algebroids, and prove some results analogous to the manifold setting."
Koç Üniversitesi,Matematik = Mathematics,"Bu tez, Wiener uzayında kütle taşıma ve yoz pazarda riskten korunma portföyü problemlerini çalışmayı kapsamaktadır. Tezin ilk bölümünde, başlangıç ölçümünün logaritmik içbükey olduğu ve hedef ölçümünün bir pozitif yoğunluk fonksiyonuna sahip olduğu varsayımı altında, geri Monge potansiyelinin Sobolev düzenliliği tartışılmış ve bahsedilen potansiyelin ikinci mertebeden türeve sahip Sobolev uzayının elemanı olduğu gösterilmiştir. Bu sonuç dayanarak, geri Monge potansiyelinin Monge-Ampère denklemini çözdüğü gösterilmiştir. Ayrıca, logaritmik içbükey varsayımından daha zayıf bir varsayım altında, ileri Monge potansiyelinin Monge-Ampère denkleminin Alexandrov çözümü olduğu ispatlanmıştır. Tezin ikinci bölümünün hedefi, hisse bedelinin tekil oynaklık matrisine sahip bir stokastik diferansiyel denklem ile modellendiği pazarda riskten korunma portföyü bulmaktır. Bu çalışmanın temel matematik gereçleri martingal gösterim teoremi ve yakın zamanda ortaya atılan yoz yayılım sürecinin fonksiyonelleri için Malliavin kalkülüsüdür. Sözü geçen bu gelişmelerden, eşdeğer martingal ölçümü altında Itô-Clark türü gösterim teoremini ispatlamak için yararlanılmıştır. Sonuç olarak, riskten korunma portföyü bir denklem sisteminin çözümü olarak elde edilmiştir. Martingal gösteriminin özü olan izdüşüm fikri sayesinde tek çözüm bulunmuştur. Bulunan bu sonuç, getiri fonksiyonu hissenin zaman ufkundaki tüm değerlerine bağlı olan egzotik opsiyonlara uygulanmıştır.","The aim of the thesis is to study the optimal transport on an abstract Wiener space and the hedging portfolio for a degenerate market model. In the first part, we discuss the Sobolev regularity of Monge potentials under the assumption that the initial measure is log-concave and the target measure has a strictly positive density on an abstract Wiener space. We prove that backward Monge potential is an element of the second-order Sobolev space. The regularity result allows us to show that backward Monge potential solves Monge- Ampére equation. We also prove that forward potential solves Monge-Ampére equation in Alexandrov sense under a weaker assumption than log-concavity. The purpose of the second part of the thesis is to derive the hedging portfolio in a financial market where the prices are governed by a stochastic equation with a singular volatility matrix. The main mathematical tools of the study are the representation theorem with respect to a minimal martingale and Malliavin calculus for the functionals of a degenerate diffusion process, which have been established in recent studies. We use those developments to prove a version of the Itô-Clark type representation formula derived for these functionals under an equivalent martingale measure. Consequently, we derive the hedging portfolio as a solution to a system of linear equations. The uniqueness of the solution is achieved by a projection idea that lies at the core of the martingale representation. We apply our result to exotic options, whose value at maturity depends on the prices over the entire time horizon."
