university,konu,tr,en
Orta Doğu Teknik Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"ABSTRACT RANDOMIZED CONTROL LIMIT POLICIES FOR MARKOV DECISION PROCESSES WITH LINEAR CONSTRAINTS Fidan,Nihan M.S., Department of Industrial Engineering Supervisor: Assoc. Prof. Dr. Yasemin Serin July 2000, 73 pages In this study, we consider Markov Decision Processes (MDP's) with the objective of minimizing the expected average cost over an infinite horizon. We first state a set of sufficiency conditions under which a control limit policy is optimal. Secondly, we consider MDP's satisfying this set of conditions and show that with linear constraints, simple additional conditions are required to have similarly structured optimal policies. Keywords: Constrained Markov Decision Processes, control limit policies. m","oz DO?RUSAL KISITLAR ALTINDAKİ MARKOV KARAR SÜREÇLERİ İÇİN RASSAL KONTROL LİMİT POLİTİKALARI Fidan,Nihan Yüksek Lisans, Endüstri Mühendisliği Bölümü Tez Yöneticisi: Doç. Dr. Yasemin Serin Temmuz 2000, 73 sayfa Bu çalışmada, amacı sonsuz planlama ufkunda beklenen ortalama maliyeti en azlama olan Markov Karar Süreçleri ele alınmıştır. İlk olarak, kontrol limit politikalarının optimal olması için yeterli bir grup koşul verilmiş, daha sonra bu koşullan sağlayan Markov Karar Süreçleri ele alınmıştır. Doğrusal kısıtlar ile bu süreçlerin, basit ek koşullar altında benzer yapıda optimal politikalara sahip oldukları gösterilmiştir. Anahtar Kelimeler: Kısıtlı Markov Karar Süreçleri, kontrol limit politikaları. IV"
Orta Doğu Teknik Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"oz ÇOK KRİTER ALTINDA KABUL EDİLEBİLİR ALTERNATİFLERİ SEÇMEK İÇİN ETKİLEŞİMLİ BÎR YAKLAŞIM Ulu, Canan Yüksek Lisans Tezi, Endüstri Mühendisliği Bölümü Tez Yöneticisi : Prof. Dr. Murat Köksalan Şubat 2000, 114 sayfa Bu tezde, çok kriter altında belli sayıda alternatif seçme problemi incelenmiştir. Değerlendirilecek ve seçilecek alternatif sayısının çok olduğu durumlar hedeflenmiştir. Karar vericinin fayda fonksiyonunun doğrusal olduğu ve genel monoton olduğu durumlar için etkileşimli yöntemler geliştirilmiştir. Doğrusal fayda fonksiyonu olduğu durumda alternatifleri ""kabul"" ve ""red"" tercih kümelerine yerleştirmek için baskınlık bağıntısından ve ağırlık uzayı azaltılmasından yararlanılmıştır. Genel monoton olduğu durumda ise sadece baskınlık bağıntısından faydalanılmıştır. Her iki yöntem de ODTÜ Endüstri Mühendisliği Bölümü yüksek lisans programına alınacak lisansüstü öğrencilerin seçilmesi problemine uygulanmıştır. Yöntemlerin etkin ve kolay kullanılabilir oldukları gözlemlenmiştir Anahtar Kelimeler : Ayrık çok kriterli karar verme, bir alternatif kümesi seçilmesi. iv _jj","ABSTRACT AN INTERACTIVE APPROACH FOR SELECTING ACCEPTABLE ALTERNATIVES IN THE PRESENCE OF MULTIPLE CRITERIA Ulu, Canan M.S., Department of Industrial Engineering Supervisor ; Prof. Dr. Murat Köksalan February 2000, 1 14 pages The discrete multi criteria decision making problem considered in this thesis is selecting a number of acceptable alternatives when both the number of alternatives to be evaluated and to be accepted is large. Interactive procedures are developed for the cases when the underlying utility function of the DM is linear and general monotone. In the linear case, dominance relations and weight space reduction is utilized to place alternatives in ""acceptable"" and ""unacceptable"" preference sets whereas in the general monotone case the only tool utilized to place alternatives in those preference sets is dominance relations. Both procedures are implemented on the problem of selecting graduate students for the master's program at the Industrial Engineering Department, METU. The developed procedures are efficient and easy to use. Keywords : discrete multiple criteria decision making, choosing a set of alternatives. iii"
Orta Doğu Teknik Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"oz ÇOK AMAÇLI KARAR VERME: BİR ETKİLEŞİMLİ YAKLAŞIM VE ETKİN YÜZEYİN AYRIK NOKTALARLA TEMSİLİ Karasakal (Köktener), Esra Doktora, Endüstri Mühendisliği Bölümü Tez Yöneticisi: Prof. Dr. Murat Köksalan Mayıs 2000, 161 sayfa Bu tezde çözüm alanı kısıtlar ile tanımlanan (sürekli çözüm alanlı) çok amaçlı karar problemini ele aldık. Karar vericinin en çok tercih ettiği çözüme yakın bir çözüm bulmak için çözüm alanını daraltmaya dayanan etkileşimli bir yaklaşım geliştirdik. Bu yaklaşım, karar vericinin örtük genel bir monoton fayda fonksiyonuna sahip olduğunu varsaymaktadır. Yaklaşımımızda, karar vericinin olurlu bir çözümle etkin yüzeyin bir kısmını bastıran hipotetik bir çözümü (bölüm ideali) karşılaştırması istenmektedir. Olurlu çözüm bir bölüm idealine tercih edildiğinde, bastırılan etkin yüzeyin atılmasıyla çözüm alanı küçültülmektedir. Çözüm alanındaki bu küçültme birbirinden kopuk birçok bölgeden oluşan bir alanın oluşmasına neden olur. Küçültülmüş çözüm bölgesinin tanımlanmasını araştırıp yüksek ölçüde tercih edilen olurlu çözümleri vebölüm ideallerini bulmak için yöntemler geliştirdik. Bu fikirleri karar vericinin en çok tercih ettiği çözüme yaklaşan bir yaklaşımda birleştirdik. Ayrıca, etkin yüzeyi temsil eden bir çözümler altkümesi belirlemeye yönelik bir yaklaşım geliştirdik. Bu yaklaşımda, etkin yüzeyin şekline benzer bir fonksiyon kullandık. Bu fonksiyondan, çeşitli yönlerde etkin yüzeye, bu yüzeyi temsil edecek çözümler yansıttık. Metodu rassal olarak tanımlanan problemler üzerinde test ettik. Anahtar Kelimeler: Çok Amaçlı Karar Verme, Etkileşimli Yaklaşım, Genel Monoton Fayda Fonksiyonu, Etkin Yüzeyin Ayrık Temsili vı","ABSTRACT MULTIOBJECTIVE DECISION MAKING: AN INTERACTIVE APPROACH AND DISCRETE REPRESENTATION OF THE EFFICIENT FRONTIER Karasakal (Köktener), Esra Ph.D., Department of Industrial Engineering Supervisor: Prof. Dr. Murat Köksalan May 2000, 161 pages We consider the multiple criteria decision making problem where the solution space is defined by a set of constraints in this dissertation. We develop an interactive approach based on solution space reduction in order to find a highly preferred solution of the decision maker (DM). The approach assumes that the DM has an implicit general monotone utility function. The DM is required to compare a feasible solution with a hypothetical solution (partition ideal) that dominates a portion of the efficient frontier. Whenever the DM prefers a feasible solution to a partition ideal (PI), the solution space is reduced by eliminating the portion of the efficient frontier dominated by that PI. This reduction in the solution space leads to a reduced space made up of disconnected subregions. If the DM prefers the PI to the feasible solution, then a subregion is divided into smaller subregions. We investigate the iiiissues that arise in the representation of the reduced solution space. We develop procedures for generating highly preferred feasible solutions (incumbent solutions) and Pis. We incorporate these ideas into an approach that converges to the neighbourhood of the most preferred solution of the DM. We also develop an approach that seeks to find a representative discrete subset of the efficient frontier. This procedure fits a function that approximates the shape of the efficient frontier. Using the fitted function, we make projections onto the efficient frontier in different directions in order to obtain a representative subset of the efficient frontier. The procedure is tested on randomly generated problems. Keywords: Multiobjective Decision Making, Interactive Approach, General Monotone Utility Function, Discretization of the Efficient Frontier."
Orta Doğu Teknik Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"oz İKİ MAKİNELİ AKIŞ SİSTEMLERİNDE ÇİZELGELEME PROBLEMİNE İKİ KRİTERLİ BİR YAKLAŞIM Toktaş, Berkin Yüksek Lisans, Endüstri Mühendisliği Bölümü Tez Yöneticisi: Prof. Dr. Suna Kondakçı Ortak Tez Yöneticisi: Doç. Dr. Meral Azizoğlu Temmuz 2000, 66 sayfa Bıı çalışmada, iki makineli akış sistemlerinde iki kriterli bir çizelgeleme problemi ele alınmıştır. En büyük erken bitirme ve en büyük bitiş zamanı kriterlerine göre tüm verimli çözümlerin yaratılmasını amaçlayan bir dal-sınır algoritması Önerilmiştir. Algoritmanın verimliliğini artırmak amacıyla çeşitli üst ve alt sınırların önerildiği bu çalışmada, ayrıca optimal çözümlere alternatif çözümler üretmek içinbir sezgisel yöntem geliştirilmiştir. Deneysel sonuçlar, dal-smır algoritmasının 25 'e kadar iş içeren problemlere çözüm bulabildiğini ve sezgisel yöntemin optimale yakın çözümleri çok hızlı bir şekilde verebildiğini göstermiştir. Anahtar kelimeler: Çizelgeleme, Akış Sistemleri, Çoklu Kriterler, Dal-Sınır Algoritması. VI XC iteMÖĞRETÎM KURULU","ABSTRACT A BICRITERIA APPROACH TO THE TWO MACHINE FLOWSHOP SCHEDULING PROBLEM Toktaş, Berkin M.S., Department of Industrial Engineering Supervisor: Prof. Dr. Suna Kondakçı Co-Supervisor: Assoc. Prof. Dr. Meral Azizoğlu July 2000, 66 pages In this study, we address a bicriteria scheduling problem on two machine flowshops. We propose a branch-and-bound algorithm to generate all efficient solutions with respect to maximum earliness and makespan criteria. To enhance the efficieny of the algorithm, we propose several lower and upper bounding schemes. We also develop a heuristic algorithm to generate alternative solutions to the optimal ones. Our computational results show that the branch and bound algorithm 111is capable of solving problems with up to 25 jobs, and the heuristic procedure is able to produce solutions that are close to optimal very quickly. Keywords: Scheduling, Flowshop, Multi Criteria, Branch-and-Bound Algorithm. IV"
Orta Doğu Teknik Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"oz TÜRK İMALAT SANAYİİNDE ÜRÜN YENİLİĞİNİN DİNAMİKLERİ: BİR ELEKTRİKLİ EV EŞYALARI FİRMASI ÖRNEK OLAY ÇALIŞMASI ERGİN, Arif Özver Yüksek Lisans Tezi, Endüstri Ürünleri Tasarımı Bölümü Tez Danışmanı: Assoc. Prof. Dr. Gülay HASDOĞAN Yardımcı Tez Danışmam: Assist. Prof. Dr. Özlem ER Mart 2000, 180 sayfa Yenilikçi ürünler ve üretim yöntemleri firmaların rekabet güçlerini arttırmakta ve ülkelerin kalkınmalarında önemli rol oynamaktadır. Bugün gelişmiş olarak adlandırılan ülkelerin yenilikçi ürünler ve üretim yöntemleri geliştirmelerinin geçmişi Endüstri Devrimine kadar uzanırken Türkiye bu sürece ancak Yirminci Yüzyılın son çeyreğinde katılmıştır. Uzun yıllar rekabete karşı korunan Türk sanayisi, gerek ihracata yönelik sanayi ve teknoloji politikalarının benimsenmesi, gerekse Türkiye'nin dünya ile bütünleşme süreciyle birlikte ortaya çıkan uluslararası rekabet koşullan nedeniyle yenilikçi ürünler ve üretim yöntemleri geliştirmeye başlamıştır. Gelişmiş ve yeni sanayileşmekte olan ülkelerde,yenilikçi ürünler ve üretim yöntemleri konusunda yapılan tartışmaların önemli bir kısmı küçük yemliklerin mi yoksa büyük yeniliklerin mi daha önemli olduğu konusundadır. Özellikle son yıllarda yapılan araştırmalarda ortaya çıkan sonuçlar küçük yeniliklerin ve tasarım iyileştirmelerinin en az büyük yenilikler kadar önemli olduğunu ortaya koymuştur. Bu çalışmada yenilikçi ürünler ve ""EC VÛKSBKÖĞRETM *OJR ı j U : m^MMm^on kıyıyıüretim yöntemleri konusunda gerek Türkiye'de gerekse yurtdışında yapılan çalışmalar incelenmiş ve bir dizi varsayım ortaya atılmıştır. Bu varsayımlar daha sonra Türk imalat sanayiinde bir firma özelinde test edilmiştir. Araştırma sonucunda ulaşılan genel sonuçlar şunlardır: Tasarım özellikle küçük yenilikler içeren ürünlerin gelişiminde çok önemli bir yere sahiptir; yenilikçi ürünler fiyat dışı bir rekabet unsuru olarak gelişirken, yenilikçi üretim yöntemleri ürünlerin maliyetlerini indirmeye yönelik faaliyetler olarak ortaya çıkar; bir firmanın yenilikçi ürünler ortaya koyması özellikle fiyat dışı rekabet unsurlarına dayanan pazarlardaki başarısını arttırmaktadır; Türkiye'de özellikle son yılarda uygulanan teşvik politikaları firmaların yenilikçi ürünler ortaya koymalarını sağlamaktan çok, yenilik yapmaları için gerekli olan teknoloji ve bilgi altyapısını güçlendirmektedir. Anahtar kelimeler: Yenilikçi ürünler, yenilikçi üretim yöntemleri, ürün tasarımı, piyasa başarısı, ekonomik büyüme. vı","ABSTRACT DYNAMICS OF PRODUCT INNOVATION IN THE TURKISH MANUFACTURING INDUSTRY: THE CASE OF A MEDIUM-SIZED ELECTRICAL HOME APPLIANCE COMPANY ERGİN, Arif Özver M.Sc, Department of Industrial Design Supervisor: Assoc. Prof. Dr. Gülay HASDO?AN Co-Supervisor: Assist. Prof. Dr. Özlem ER March 2000, 180 pages Product and process innovations increase the competitive power of companies and play an important role in the growth of the countries. Even though the emergence of product and process innovations goes back to the Industrial Revolution in the developed countries, the Turkish industry joined the progress in the last quarter of the 20th Century. The Turkish industry, which was protected from international competition for a long time, started to introduce innovative products and processes with the implementation of export oriented industrial policies and the emergence of international competition as a result of the integration process of Turkey with the World Economy. In the developed and newly industrialised countries one of the most important debates about process and product innovations, continues on the question of whether incremental or radical innovations are more important. Recent research findings indicate that incremental innovations and design improvements are as iiiimportant as radical innovations. In this thesis, both Turkish and foreign studies on product and process innovations were investigated and a set of hypotheses were proposed. Later, these hypotheses were checked with a critical example in the Turkish manufacturing industry. Main conclusions of the research are: Design has a significant role especially in the development of incremental product innovations; product innovations emerge as non-price competition factors, whereas process innovations aim at decreasing the cost of the products; introduction of innovative products increases the success of a company especially in markets where competition mainly relies on non-price factors; current Turkish industrial policies do not sustain Turkish companies to develop innovative products and processes but they mainly support their technological infrastructure and knowledge basis which are necessary for the introduction of product and process innovations. Keywords: Product innovations, process innovations, product design, market success, economic growth. IV"
Orta Doğu Teknik Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"oz ÇOK ÜRÜNLÜ RASSAL ÜRETİM ENVANTER SİSTEMLERİNDE SABİT ÇEVRİM ZAMANLI POLİTİKALAR İÇİN KESİKLİ ZAMANLI YARIM DOĞUM VE ÖLÜM MODELİ Kocabıyıkoğlu, Ayşe Yüksek Lisans, Endüstri Mühendisliği Bölümü Tez Yöneticisi: Assoc. Prof. Dr. Refik Güllü Ortak Tez Yöneticisi: Prof. Dr. Nesim Erkip Haziran 2000, 135 sayfa Bu çalışmada, çok ürünlerin tek bir kaynakta üretildiği, üretim taleplerinin rassal olduğu bir üretim/envanter sistemi ele alınmaktadır. Karşılık verilemeyen talepler sonradan karşılanır. Mantıklı ve gerçekçi bir üretim politikası elde etmek için, sıra ile gelen sabit çevrim zamanlı bir yaklaşım teklif edilmektedir. Her üretim döneminde, herhangi bir ürünün üretimi için sabit bir aralık vardır ve istenen üretim miktarına karar vermek için belirli bir düzeye kadar ısmarlama politikası izlenir. Bu problem için karar verilmesigereken değişkenler, üretim dönemi uzunluğu, dönemin nasıl bölüneceği (her ürüne ne kadar zaman ayrılacağı), ve ısmarlama düzeyleridir. Amaç, beklenen toplam maliyet, yani beklenen hazırlık, stokta tutma ve sonradan karşılama maliyetlerinin toplamıdır. Problemi, sınırlayıcı sıra ile gelen sabit zamanlı politikayla bile çözmek zordur. Amacımız, ısmarlama ve envanter düzeyi arasındaki farkın modelini, kesikli zamanlı bir kuyruk sistemindeki iş sayısına benzeterek yaklaşık olarak ortaya koymaktır. Bu yöntemle pek çok perfromans değeri ve en iyi ısmarlama düzeyleri (üretim dönemi uzunluğu ve dönemin nasıl bölüneceği verildiğinde), matris geometrik metodunun asil matrisi yardımıyla, bulunabilmektedir. Anahtar Kelimeler: Kapasite Planlaması, Envanter Kontrolü, Olasılıklı Modeller, Olasılıklı Ekonomik Kafile Büyüklüğü Belirleme Problemi VI tC YÜKSEKÖĞRETİM KURULU «HCÛMAFTASVON MERKEZ*","ABSTRACT A DISCRETE TIME QUASI BIRTH AND DEATH MODEL OF FIXED CYCLE TIME POLICIES FOR STOCHASTIC MULTI - ITEM PRODUCTION INVENTORY PROBLEM Kocabıyıkoğlu, Ayşe M.S., Department of Industrial Engineering Supervisor: Assoc. Prof. Dr. Refik Güllü Co-Supervisor: Prof. Dr. Nesim Erkip June 2000, 135 pages We consider a single resource, multi item production/inventory system where demands for items are stochastic. Excess demand is backordered. In order to obtain reasonable and realistic production policies, we consider a rotational fixed cycle time approach. In each cycle, a fixed time interval exists for the production of an item, and an order-up-to policy is followed to determine the desired production quantity. The decision variables of the problem are cycle length, partition of the cycle (time allocated for the production of each item), 111and order-up-to levels. A typical objective function is expected total cost, that is, sum of the expected set-up costs, inventory holding cost, and backorder costs. The problem, even with the above restricted rotational fixed cycle policy, is hard to solve to optimality. Our objective is to approximate the shortfall process as the number in the system of a discrete time queue whose evolution follows a quasi birth and death model. This allows us to obtain various performance measures and optimal order-up-to levels (given cycle length, and partition of the cycle among items) in terms of the fundamental matrix of the matrix geometric method. Keywords: Capacity Planning, Inventory Control, Stochastic Models, Stochastic Economic Lot Scheduling Problem IV"
Orta Doğu Teknik Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"oz TEKLİF HAZIRLAMA SURECİNE YÖNELİK BİLİŞİM ALTSİSTEMİ TASARAMI Tezsezen, Şebnem, Yüksek Lisans, Endüstri Mühendisliği Bölümü Tez Yöneticisi: Doç. Dr. Tayyar Şen Haziran 2000, 161 sayfa Bu çalışma, proje-bazlı firmalarda teklif hazırlama sürecine sistematik ve yapısallaştınlmış bir yaklaşım sunmayı amaçlamaktadır. Bu çerçevede tezde, ana hatları ile, teklif hazırlama süreci ele alınmış ve bu çalışmanın amaçlan doğrultusunda savunma sanayinde çalışan proje-bazlı bir firma incelenmiştir. Firmanın uygulamakta olduğu sistem analiz edilmiş ve teklif hazırlama süreci esnasında kullanılan ve yaratılan verilerin toplanmasını, saklanmasını ve işletimini desteklemediği görülmüştür. Bu tür verilerin firmanın gelecekteki teklif hazırlama süreçlerine olabilecek katkısı da göz önünde bulundurularak, ilerideki olayları daha tutarlı ve zamamnda karşılayabilmek amacıyla bir bilişim sistemi tasarlanmıştır. Anahtar Kelimeler: Teklif Hazırlama Süreci, Veri, Veritabam rv","ABSTRACT DESIGNING AN INFORMATION SUBSYSTEM FOR MANAGING BID PREPARATION PROCESSES Tezsezen, Şebnem, M.Sc, Department of Industrial Engineering Supervisor: Assoc. Prof. Dr. Tayyar Şen June 2000, 161 pages This study aims to provide a structured and a systematical approach to manage the bid / proposal preparation process in a project-based organization. In this framework, an overview of the proposal preparation process basics are presented and for the purposes of this study, a project based organization serving in defence industry is also examined. The current processing of the organization under consideration is analysed and it is observed that the current system do not support the collection, storage, and manipulation of both the used and created data during bid preparation process. Considering the value of those kinds of data for the future proposal preparation processings of the organization, an information system is designed to provide a basis for managing the future events more accurately and timely. Keywords: Bid / Proposal Preparation Process, Data, Database m"
Orta Doğu Teknik Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"ÖZ MOTİVASYON KRİTERİ GÖZ ÖNÜNE ALINARAK BULANIK PROJE ÇİZELGELEME Oktay, Mesture Yüksek Lisans, Endüstri Mühendisliği Bölümü Tez Yöneticisi: Doç. Dr. Canan Sepil Aralık 2000, 168 sayfa Bu çalışmada, motivasyon kriteri göz önüne alınarak güç elektroniği alanında gerçek bir araştırma geliştirme (AR-GE) projesine uygulanmış olan bulanık proje çizelgelemesi yaklaşımı geliştirilmiştir. Çizelgelemenin amacı, mevcut kaynakların (projede çalışan mühendisler) beceri ve motivasyon düzeylerine ve aktivitelerin zorluk derecelerine göre proje bitiş süresini en azlayacak şekilde aktivitelere atanmasıdır. Bu kriterler bir AR-GE projesinde aktivitelerin tamamlanma sürelerinde en etkili faktörler olarak seçilmiştir. Proje aktiviteleri arasında öncelik sıralaması bulunmaktadır. Aktivite süreleri, her uygun kaynak veya kaynak grubu için kaynakların beceri düzeyleri ve motivasyon düzeyleri ile aktivitelerin zorluk düzeylerinin bir foksiyonu olarak bulanık sayılar olarak hesaplanmıştır. Çizelgelemede, iki adet sezgisel çizelgeleme metodu ve bunlar için iki adet ek metodbir yazılım programı kullanılarak uygulanmıştır. Aktiviteler ana metodlarda bir kez başladıktan sonra bölünemez, ek metodlarda ise bölünebilir özelliktedir. Çizelgeleme metodlarının algoritmaları ve sonuçlan çalışmada sunulmaktadır. Ayrıca, sonuçların uygulanması için öneriler sunulmaktadır. Anahtar Kelimeler: Araştırma ve Geliştirme (AR-GE) Projesi, Bulanık Proje Çizelgeleme. VI","ABSTRACT FUZZY PROJECT SCHEDULING WITH MOTIVATION CONSIDERATIONS Oktay, Mesture M.S., Department of Industrial Engineering Supervisor: Assoc. Prof. Dr. Canan Sepil December 2000, 168 pages In this study, a fuzzy project scheduling approach with motivation considerations is developed for a real life research and development (R&D) project in power electronics area. The purpose of the scheduling is to allocate the available resources (engineers working for the project) to the activities of the project according to the skill and motivation levels of the resources and the difficulty level of the activities so that the project completion time is niinimized. These criteria are chosen as the most important factors in determining the duration of the activities in an R&D project. There are precedence relationships among the activities of the project. The activity durations corresponding to resources or resource groups are calculated as fuzzy numbers which are a function of the skill level, motivation level of the resources and the difficulty level of the activities. In the present study, in scheduling, 111two heuristic rules and two extension rules for them are applied using a computer program. The activities are nonpreemptive for the main rules and preemptive for the extension rules. The algorithms of the scheduling rules and the results are presented in the study. Furthermore, suggestions for the application of the results are presented. Keywords: Research and Development (R&D) Project, Fuzzy Project Scheduling. IV"
Orta Doğu Teknik Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"oz BİR ELEKTRONİK ÜRETİM PROSESİNİN KALİTE TAKİBİ VE KONTROLÜ İÇİN BİR BİLGİ ALTSİSTEMİ TASARIMI AYÇENK, Didem Yüksek Lisans, Endüstri Mühendisliği Bölümü Tez Yöneticisi: Assoc. Prof. Dr. Tayyar ŞEN Temmuz 2000, 91 sayfa Üretimde kalite, rekabet avantajı kazanmak ve kaliteli servis sağlamak için önemli bir kavram haline gelmiştir. Bu çalışmada, buna bağlı olarak üretimde kalite takibi ve kontrolü ile ilgili problemleri çözümlemek için bir elektronik üretim prosesi için bir bilgi altsistemi tasarlanmıştır. Bu amaçla, DECT-Sayısai Elektronik Kablosuz İletişim sisteminin üretim prosesi incelenmiş ve ihtiyaçlar belirlenmiştir. Önerilen sistem, doğru bilgiye kolay ulaşımı sağlamakta, kullanıcı hatalarım bazı işlemleri otomatize ederek en aza indirmekte, ve üretim performansı için bazı analiz imkan ları sağlamaktadır. Ayrıca, olası problemler ve çözümleri ile ilgili bilgi sağlayarak problemlerin çözümlenmesine yardım etmekte ve bu bilginin güncellenmesine de imkan vermektedir. Veritabanı ve kullanıcı arayüzü tasarımları ve uygulama sürecidetaylı olarak anlatılmıştır. Son olarak, sistemin en önemli avantajları belirtilmiş ve sistemin geliştirilmesi için bazı yaklaşımlar önerilmiştir. Anahtar Kelimeler: bilgi sistemi, üretim takibi, üretim kalitesi vı ?.?. YVKSEKÖĞRETIM KURULU","ABSTRACT DESIGN OF AN INFORMATION SUBSYSTEM FOR QUALITY MONITORING AND CONTROL FOR AN ELECTRONICS MANUFACTURING PROCESS AYÇENK, Didem M. Sc, Department of Industrial Engineering Supervisor: Assoc. Prof. Dr. Tayyar ŞEN July 2000, 91 pages The quality of production has become the major concern of the manufacturing companies to gain competitive advantage and provide high quality service. In this thesis, a specific information subsystem is designed in order to overcome the production quality tracking and control problems in an electronics manufacturing process. The production process of DECT-Digital Electronics Cordless Telecommunications system is analyzed and the requirements are specified. The proposed information subsystem allows easy access to the necessary information, minimizes user mistakes by automating some operations, and provides some analysis capabilities for the production performance. Additionally, the system helps TEC ¥teEKÖ?RITtM KÛMUM»to solve the problems by providing knowledge about the possible problems and solutions, and allows updating this knowledge base. The database and user interface designs of the system are described and the implementation process is explained in detail. Finally, the major benefits of the system are presented and possible improvement approaches are suggested for the system. Keywords: information system, production tracking, manufacturing quality IV"
Orta Doğu Teknik Üniversitesi,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering,"oz MAKİNA ARIZALARI DURUMUNDA YENİDEN ÇİZELGELEME Alagöz, Oğuzhan Yüksek Lisans tezi, Endüstri Mühendisliği Bölümü Tez Yöneticisi: Doç. Dr. Meral Azizoğlu Temmuz 2000, 89 sayfa Bu çalışmada paralel makinalarda yeniden çizelgeleme problemi incelenmiştir. Herhangi bir makinada bilinen bir süre boyunca arıza olduğunu, ve arızadan önceki çizelgenin toplam akış zamanına göre optimal olduğunu varsaymaktayız. Amacımız, arızadan sonra verimlilik ölçütümüz, toplam akış süresi ile tutarlılık ölçütümüz, başka makinalara çizelgelenen iş sayısı arasında denge gözeterek arızadan sonra yeni bir çizelge kurmaktır. Bu ölçütlere göre tüm verimli çizelgeleri bulma probleminin polinom zamanda çözülebileceği gösterilmiştir. Ayrıca herhangi bir işi işleyebilen makina kümesini belirten makina işlenebilirlik kısıtlarının probleme eklendiği durum incelenmiştir. Bu durum için bir dal sınır algoritma ve iki sezgisel algoritma önerilmiştir. Algoritmaların verimliliğini arttırmak için çeşitli sınırlama ve azaltma mekanizmaları önerilmiştir. Deneylerimiz küçük boyutlu problemlerin çözümü için dal sınır algoritmasının ve büyük boyutluproblemlerin içinse önerdiğimiz sezgisel algoritmalarımızın kullanılmasının daha verimli olduğunu göstermiştir. Anahtar Kelimeler: Yeniden Çizelgeleme, Paralel Makinalar, Makina İşlenebilirlik Kısıtları, Dal-Sınır Algoritması VI","ABSTRACT RESCHEDULING UNDER MACHINE DISRUPTIONS Alagöz, Oğuzhan M.S., Department of Industrial Engineering Supervisor: Assoc. Prof. Dr. Meral Azizoğlu July 2000, 89 pages In this study, we address a rescheduling problem in parallel machine environments. We assume that a disruption of known duration occurs at one of the machines and the schedule before disruption is optimal, relative to total flowtime value criterion. Our aim is to reconstruct a schedule after disruption that considers the trade-off between the efficiency measure, total flowtime, and the stability measure, the number of jobs moved to different machines. We show that the problem of generating all efficient schedules relative to these measures is polynomially solvable. We also incorporate machine eligibility constraints that specify the set of machines which can process a particular job. We propose a branch-and-bound and two heuristic algorithms for this case. To enhance the efficiencies of the algorithms we propose several bounding and reduction mechanisms. Our computational experiment has revealed that the branch and bound algorithm can solve small-sized iiiproblem instances and large-sized problem instances could be solved by our heuristic algorithms, efficiently. Keywords: Rescheduling, Parallel Machines, Machine Eligibility Constraints, Branch and Bound Algorithm IV"
