university,konu,tr,en
Orta Doğu Teknik Üniversitesi,Matematik = Mathematics,"Bu çalışmada, Burgers denkleminin vizkozitesiz formunu ele aldık. Bu denklem teorik ve sayısal olarak incelendi. Bunun için sürekli ve süreksiz başlangıç değerleriyle denklemin öncelikle analitik çözümünü inceledik. Ayrıca, şok ve seyrelti dalgalarına neden olabilecek farklı başlangıç koşullarına bağlı olarak, bu modelin yaklaşık çözümlerini göstermek için de çeşitli sayısal yöntemler uyguladık. Sonlu sayılar yöntemleri kullanılarak sayısal çözümlerin sonuçları karşılaştırıldı. Anahtar Kelimeler: Viskozitesiz Burgers denklemi, Şok dalgaları, Seyrelti dalgaları","2008'deki Finansal Kriz, finansal kuruluşlarda likidite riskinin daha gelişmiş yönetimine duyulan ihtiyacı ortaya koymuştur. Bu tez, gelişmiş bir Fon Transfer Fiyatlandırması (FTF) modelinin gelişmekte olan ülkelerin bankacılık sektörlerine tanıtılmasını ve uygulanmasını amaçlamaktadır. Bu araştırmada oluşturulan FTF modelinin metodolojisi, bir ürünün nakit akışlarının maliyetini, deterministik ve stokastik bileşenlere bölerek ölçmektedir. Deterministik kısmın maliyeti, bir kurumun kredi temerrüt primi karşılığı olarak değerlendirilirken, stokastik kısmın maliyeti Brown Devinimi ile modellenmiştir. Ayrıca, gelecekteki FTF oranlarının görünümünü tahmin edebilmek için, Hull-White modeli uygulanarak benchmark faiz oranlarının simülasyonu gerçekleştirilmiştir. Beklenen finansman maliyeti ile sağlanan bilgiler, bir finansal kurumun yönetimine rehberlik edebilir. Basel III likidite ölçumlerinin maliyetinin modele uygulanması da bu tezin Finansal Matematik alanına temel katkılarından biridir. Tez gelecek araştırmalara ve uygulamalara yönelik bir sonuç ve önizleme ile sona ermektedir."
Orta Doğu Teknik Üniversitesi,Matematik = Mathematics,"Enflasyon, faiz oranları ve döviz kuru gibi ekonomik faktörler, bir ülkenin ekonomik düzeyinin önde gelen göstergelerindendir. Küresel gereksinimler ve teknolojik gelişim sayesinde ve genişleyen ticari hacim ve ağlar ile döviz kurları, ekonomi ve finans alanlarında önemli bir rol oynar; çünkü yüksek bir döviz kuru, bir ülkenin dış ticaret dengesinde düşüşe neden olabilirken, daha düşük bir oran artışa neden olabilir. Enflasyon, faiz oranları, yerel para arzındaki artış, bir ülkenin ödemeler dengesi ve eğilimi, ekonomik büyümesi, dış kaynaklara bağımlılığı ve merkez bankası müdahalesi gibi etkenler döviz kurunu etkileyen faktörlerdir. Bunlara benzer birçok bağımlı ve bağımsız faktör döviz kurunu etkiler ve bu nedenle döviz kurlarını tahmin etmek zordur. Döviz kurlarını tahminlemek amacıyla veri madenciliği, mali tahminler, pazarlama stratejileri benzeri metodlar sıklıkla kullanılır. Veri madenciliği ve makine öğrenimi yöntemi, bu karmaşık sistemlerin gelecekteki davranışlarını analiz etmek ve tahmin etmek için uygulanabilir. Matematikçiler, ekonomistler ve istatistikçiler yıllarca üstün tahmin yeteneği olan bir modele erişmek için uğraşmış olsalar da döviz kurlarının modellenmesi ve tahmini çalışmaları hala devam etmektedir. Bu nedenle, bu çalışmada, veri madenciliği araçları aracılığıyla aylık ABD Doları (USD) / Türk Lirası (TRY) ve Avro (EUR) / Türk Lirası (TRY) kurlarını tahmin etmek için matematiksel modeller üretmeyi amaçlıyoruz. Bu amaçla esnek bir model olan Çok Değişkenli Uyarlamalı Regresyon Şemaları (MARS) ve yaygın olarak kullanılan modeller olan Lineer Regression (LR) ve Support Vector Regression (SVR) methodları uygulanmaktadır. Bu çalışmada, 01/01/2007 ve 30/04/2015 dönemine ait USD / TRY ve EUR /TRY kur verilerine uygulanan MARS, LR ve SVR modelleri ve bu modellerin sonuçları karşılaştırılmıştır. Karşılaştırma sonucunda MARS methodunun LR ve SVR methodlarına göre USD / TRY ve EUR /TRY kur modelleri için daha üstün modelleme yeteneği olduğu gözlemlenmiştir. Tez, sonuç ve gelecek araştırmalara yönelik bir görüş ile sona ermektedir.","Economic factors like inflation, interest rates and exchange rates are among the leading indicators of a country's relative level of economic health. With the help of technological improvements and global requirements, trading volume and a wide range of commerce network, exchange rates play a vital role in economics and finance since a higher exchange rate may result in a lower trade balance of a country, whereas a lower rate may cause an increase. Inflation, interest rates, domestic money supply growth, a country's balance of payments' size and trend, a country's economic growth, dependency on outside sources and central bank intervention, are the factors which affect an exchange rate. Since many dependent and independent factors affect exchange rates, it is difficult to predict them. In areas of application, data mining is frequently used for decision support, financial forecasting, marketing strategy, prediction, etc. The method of data mining and machine learning is applied to analyze and forecast the future behavior of such complex systems. Modeling and prediction of exchange rates are still a challenge, although mathematicians, economists and statisticians have worked to reach a model with a superior forecasting ability for many years. Therefore, in this study, we aim to generate mathematical models to forecast the monthly US Dollar (USD) / Turkish Lira (TRY) and Euro (EUR) / Turkish Lira (TRY) exchange rates via data mining tools. For this purpose, we apply a flexible model Multivariate Adaptive Regression Splines (MARS) and widely used models Linear Regression (LR) and Support Vector Regression (SVR). In this study, MARS, LR and SVR models applied on USD / TRY and EUR / TRY exchange rate data sets in the period of 01/01/2007 and 30/04/2015; then the results of these models are compared and found out that MARS method has superior forecasting ability over LR and SVR methods for USD / TRY and EUR / TRY exchange rates. The thesis ends with a conclusion and an outlook to future investigations."
Orta Doğu Teknik Üniversitesi,Matematik = Mathematics,"Bu tezin asıl amacı sınırsız sıralı yankınsama, sınırsız norm yakınsama ve sınırsız mutlak yakınsamaların kafes-normlu vektör kafeslere genellemektir. Böylece, aşağıdaki tanımları yaptık: kafes-normlu vektör kafes $(X,p,E)$ deki bir $x_\alpha$ neti, $E$ de her $u\in X_+$ için $p(\lvert x_\alpha-x \rvert \wedge u)\xrightarrow{o}0$ şartını sağlarsa $x_\alpha$ neti $x$ elemanına \textit{sınırsız $p$-yakınsaktır } denir. Bu tezde, $up$-yakınsamanın genel özelliklerini çalıştık. Buna ilaveten, kafes-normlu vektör kafeslerde vektör ve Banach kafes teorisiyle ilgili çeşitli kavramlar tanımladık. Son olarak, karışık normlu alanları kısaca inceledik ve bunları kafes normlu vektör kafeslerinde $up$-null ağlar ve $up$-null dizilerin incelenmesi için kullandık.","The main aim of this thesis is to generalize unbounded order convergence, unbounded norm convergence and unbounded absolute weak convergence to lattice-normed vector lattices (LNVLs). Therefore, we introduce the follwing notion: a net $(x_\alpha)$ in an LNVL $(X,p,E) $ is said to be \textit{unbounded p-convergent} to $x\in X$ (shortly, $x_\alpha$ \textit{up-converges} to $x$) if $p(\lvert x_\alpha-x \rvert \wedge u)\xrightarrow{o}0 $ in $E$ for all $u\in X_+$. Throughout this thesis, we study general properties of $up$-convergence. Besides, we introduce several notions in lattice-normed vector lattices which correspond to notions from vector and Banach lattice theory. Finally, we study briefly the mixed-normed spaces and use them for an investigation of $up$-null nets and $up$-null sequences in lattice-normed vector lattices."
Orta Doğu Teknik Üniversitesi,Matematik = Mathematics,"Diziler, kod bölmeli çoklu erişim iletişim sistemlerinde yaygın olarak kullanılırlar. Ortak bir iletişim kanalında farklı kullanıcılara farklı diziler atanır. Her kullanıcıyı ayırmak için düşük korelasyonlu diziler kullanılmalıdır. Bu tezde, kuadratik formlar ve özellikleri verilmiştir. Kuadratik formlar ile inşa edilen ikili dizi aileleri ve onların korelasyonları çalışılmıştır. n = 3k ve k tek tam sayı olduğu durumda bir dizi ailesinin inşası verilmiştir. Bu dizi ailesi altı değerli korelasyon dağılımına sahiptir ve maksimum korelasyon büyüklüğü verilmiştir. Bu dizi ailesi Generalized Modified Gold dizi ailesinin bir alt ailesidir. Tezde son olarak, bu dizi ailesinin ve bazı bilinen dizi ailelerinin korelasyon özellikleri karşılaştırılmıştır.","Sequences are widely used in code division multiple access communication systems. In a shared communication channel distinct sequences are assigned to distinct users. Low correlation sequences should be used in order to separate each user. In this thesis, quadratic forms and their properties are introduced. Sequence families constructed by quadratic forms and their correlations are studied. We give a construction of a binary sequence family when n = 3k and k is an odd integer. This sequence family has six-valued correlation distribution and its maximum correlation magnitude is given. Our sequence family is a subfamily of Generalized Modified Gold sequence family. At the end, we compare the correlation properties of our sequence family with some other known sequence families."
Orta Doğu Teknik Üniversitesi,Matematik = Mathematics,"Eliptik eğriler üzerinde tanımlı çift doğrusal eşleme, eliptik eğri üzerindeki bir çift noktanın, bir sonlu alan elemanına eşleştirilmesidir. Eşlemenin tanım bölgesindeki her iki eleman da aynı gruptansa, eşleme simetrik olarak adlandırılır, farklı gruptansa asimetrik olarak adlandırılır. Genellikle simetrik eşlemeler Tip-1, asimetrik eşlemeler Tip-3 olarak sınıflandırılır. Tip-2 bu tezde ele alınmayan, Tip-3'ün özel bir durumudur. Kriptografide çift doğrusal eşlemelerin ilk kullanımı eliptik eğrisi kripto sistemlerine saldırı maksatlı olsa da son yıllarda, yeni şifreleme ve imzalama teknikleri oluşturmak için yaygın şekilde kullanılmıştır. Farklı özelliklere sahip imzalar, inkar edememe protokollerinin ana unsuru olarak, eliptik eğriler üzerinde eşlemeler kullanılarak gerçeklenmektedir. Chen ve Gu'ya ait doğrulanabilir şifreli imzalama tekniği bu çeşit eşleme tabanlı uygulamalara tipik bir örnektir. %Çift doğrusal eşlemeler özellikle güvenlik protokolleri başta olmak üzere kriptografide kullanılabilecek birçok yetenek sunmaktadır. Bu tezin ilk bölümünde sertifikasız açıkanahtar kriptografinin Chen ve Gu'nun hibrid doğrulanabilir şifreli imzalama tekniğine adaptasyonu teklif edilmektedir. Bu adaptasyon CL-HVESS olarak adlandırılmıştır. Sonrasında CL-HVESS Tip-III eşlemelerle kullanıma verilerek Tip-I eşlemelere son dönemde yapılan saldırılardan doğan riskler bertaraf edilmektedir. Birinci bölümde son olarak Chen ve Gu'nun protokolüne tekrarlama saldırısı sunulmaktadır. İkinci bölümde eşleme tabanlı kriptografiye dayanan yeni yapısal inkar edemezlik protokolü sunulmaktadır. Hibrid yapı; ilki çevrim-içi, ikincisi çevrim-dışı olmak üzere iki safhadan oluşmaktadır. Bu kısımdaki katkı, Joux'nun üçlü anahtar paylaşım meknizmasının güvenlik artırıcı metod olarak kullanımıdır. Üçüncü bölümde şifrelimzalama ve doğrulanabilir şifreli imzalamayı birleştiren ve adına VESigncrypt dediğimiz yeni bir teknik önerilmektedir. Önerilen teknik adil gizli kontrat imzalama protokolünde kullanılmaktadır. VESigncrypt'in tek alıcılı, çok alıcılı ve herkes tarafından doğrulanabilir versiyonları bulunmaktadır. Bildiğimiz kadarıyla, bu teknik literatürde türünün ilk örneğidir. Son bölümde önce eşgen tabanlı kriptografinin özeti sunulmaktadır. Sonrasında olasılıklı ve eşgen tabanlı yeni bir şifrelimzalama tekniği önerilmektedir. Bu çalışmada son katkımız eşgen eşleme gruplara dayalı yeni imzalama ve şifrelimzalama teknikleridir.","Bilinear pairing on an elliptic curve is a mapping of a pair of elements on an elliptic curve into an element of a finite field. It is called symmetric when two elements of the domain are in the same group, it is called asymmetric otherwise. Generally symmetric pairings classified as Type-I and asymmetric pairings as Type-III. Type-II is a special case of Type-III which we don't consider in this thesis. Although the first use of bilinear pairings in cryptography has the intention to attack elliptic curve cryptosystems, in recent years they have been widely used to construct new encryption and signature schemes. As a main building block for non-repudiation protocols, signatures with different properties are implemented by using pairings on elliptic curves. Verifiably encrypted signature scheme due to Chen and Gu is a typical example for such a pairing based implementations. In the first part of this thesis, we propose an adaptation of certificateless public key cryptography to hybrid verifiably encrypted signature scheme due to Chen and Gu. This is called CL-HVESS. Then we expand CL-HVESS to Type-III pairings to mitigate the risks of recent attacks on Type-I pairings. In addition to this, we also present a replay attack to Chen and Gu protocol. In the second part we propose a non-repudiation protocol which has a new structure based on pairing based cryptography. The hybrid structure consists of two rounds; first round runs with an online Trusted Third Party (TTP) then second and next rounds run with offline TTP. Our contribution here is the usage of signed Joux Tri-partite key exchange scheme in the first round as a security enhancing method. In the third part we propose a new scheme that combines signcryption and verifiably encrypted signatures which we call VESigncrypt. We use it in a fair secret contract signing protocol. VESigncrypt has single recipient, multi recipient and publicly verifiable versions. To the best of our knowledge, this scheme is the first of its kind in the literature. In the last part of the thesis we first present a survey for isogeny based cryptography. Then, we propose a new verifiably encrypted probabilistic signature scheme based on isogenies. Finally we present new signature and verifiably encrypted signature schemes based on isogeny pairing groups."
Orta Doğu Teknik Üniversitesi,Matematik = Mathematics,"Bu tezin amacı, süreksiz dinamik sistemlerde tınlama ve tekillik olgusunu ele almaktır. Çalışma tekil impalsif diferansiyel denklemlerin yeni modellerini açıklamıştır, şöyle ki; sistemde diferansiyel denklem pertürbe edilirken, aynı zamanda impalsif fonksiyonda tekildir. Tikhonov Teoremi, impalsif diferansiyel denklemler için genişletilmiştir. İlginçtir ki, burada açıklanan bazı modellerde, problemin çözümü, parametre sıfıra giderken diferansiyel denklemin birden fazla sabit noktasına yaklaşmaktadır. Wilson-Cowan nöron modeli, membran zaman sabitinin hem singülarite hem de çatallanma parametresi olarak kabul edildiği impuls fonksiyonu ile incelenmiştir. Olgunun yeni bir analiz tekniği önerilmektedir. Bu, modelin çözümlerinin varlığını göz önüne almaya ve son sinirsel davranışta çatallanmanın sayısal simülasyonlar yoluyla gözlemlenmesine izin verir. Çatallanmalar, modeldeki dürtüler ve tekilliklerden kaynaklanır ve fazör alanında medusalar ve halkalar gibi yeni tanıtılan kümelerden oluşan çekicilerin yapısını ilgilendirir. Ayrıca, tekil etki zamanları tanıtılmış ve bunlar tınlama çözümleri ile ilgili problemler için kullanılmıştır. Tekil dürtü zamanları, modellerde ortaya çıkan tınlama, zıplayan bir top, ters çevrilmiş bir sarkaç ve hidrolik bir tahliye vanası gibi örneklerde tekillik bakış açısı ile analiz edilebilmesinin avantajını verir. Tınlamanın varlığı, yalnızca darbe modellerinin sağ tarafının incelenmesi ile gösterilmiştir. Her zaman tınlamaya yol açan başlangıç veri kümeleri için kriterler oluşturulmuştur.","The main purpose of this dissertation is to address the chattering and singularity phenomena in discontinuous dynamical systems. The study describes models of singular impulsive differential equations such that in the system, not only the differential equation is singularly perturbed, but also the impulsive function is singular. Tikhonov Theorem is extended for the impulsive differential equations. Interestingly, in some models described here, a solution of the problem approaches more than one root of the differential equation as the parameter decreases to zero. Wilson-Cowan neuron model is studied with impulse function in which the membrane time constant is considered as both the singularity and bifurcation parameter. A new technique of analysis of the phenomenon is suggested. This allows to consider the existence of solutions of the model and bifurcation in ultimate neural behavior is observed through numerical simulations. The bifurcations are reasoned by impulses and singularity in the model and they concern the structure of attractors, which consist of newly introduced sets in the phase space such that medusas and rings. Moreover, the singular impact moments are introduced and they are utilized for the problems with chattering solutions. The singular impulse moments gives the advantages that the chattering arising in models, e.g., a bouncing ball, an inverted pendulum and a hydraulic relief valve, can be analyzed through the singularity point of view. The presence of chattering is shown exclusively by examination of the right hand side of impact models. Criteria for the sets of initial data which always lead to chattering are established."
Orta Doğu Teknik Üniversitesi,Matematik = Mathematics,"Doğrusal olmayan fonksiyonlar ve doğrusal kodlar inşa etmek için kullanılan plato fonksiyonlar kriptografide ve kodlama teorisinde çok önemli rol oynamaktadır. Bu fonksiyonlar yüksek doğrusalsızlık, düşük otokorelasyon, esneklik, yayılma kriteri, dengelilik ve korelasyon dayanıklılığı gibi çeşitli istenen kriptografik özelliklere sahip olabilmektedir. Aslında bu fonksiyonlar esneklik derecesi ve doğrusalsızlık arasındaki mümkün olan en iyi sınırı sağlar. Bunun yanı sıra, bu fonksiyonlar düşük Walsh-Hadamard dönüşüm değerlerine sahip olmalarından dolayı doğrusal kriptanalize ve hızlı korelasyon saldırılarına karşı dayanıklıdır. Gerçekten de, kriptografik algoritmalar çoğunlukla doğrusal olmayan fonksiyonların uygun bileşkeleri ile tasarlanır, bu nedenle plato fonksiyonlar bu algoritmaların güvenliği üzerinde önemli bir etkiye sahiptir. Plato fonksiyonlar aynı zamanda, gizli paylaşım şemaları, kimlik doğrulama kodları, iletişim, veri depolama cihazları ve tüketici elektronikleri gibi birçok alanda uygulamaları olan ve kodlama teorisindeki en önemli kod sınıfını oluşturan doğrusal kodlarla yakından ilgilidir. Bu tezin iki temel amacı vardır: kriptografik açıdan sonlu cisimler üzerindeki fonksiyonların platoluluk özelliğini veren karakterizasyonlarını detaylı çalışmak, ve kodlama teorisinde zayıf düzenli plato fonksiyonlardan doğrusal kodlar inşa etmektir. Bu tezde, ilk olarak sonlu cisim \F_p, p asal sayı, üzerindeki plato (vektörel) fonksiyonların karakterizasyonlarını analiz ediyoruz. Açıkçası, bu fonksiyonların yapılarını anlamak ve inşaları hakkında bilgi edinmek için, Walsh kuvvet momentleri, türevleri ve otokorelasyon fonksiyonları bakımından çok sayıda karakterizasyonlarını elde ediyoruz. Özel olarak \F_p, p tek asal sayı, üzerinde homojen kübik bükük (ve bazı durumlarda homojen kübik plato) fonksiyonların olamayacağını gözlemliyoruz. Ayrıca, mutlak Walsh dönüşümü üç farklı değere (bir tanesi sıfır) sahip olan fonksiyon olamayacağını gösteriyoruz ve mutlak Walsh dönüşümü dört farklı değere (bir tanesi sıfır) sahip olan yeni fonksiyonlar sınıfı veriyoruz. Daha sonra, kısmi bükük ve plato fonksiyonlarını herhangi bir sonlu cisim \F_q, q asal kuvvet, üzerinde çalışıyor ve bu cisim üzerindeki davranışlarını anlamak için bazı karakterizasyonlarını veriyoruz. Bunlara ek olarak, \F_p, p tek asal sayı, üzerinde zayıf düzenli (olmayan) plato fonksiyon kavramını ve bu fonksiyonların ikincil inşalarını veriyoruz. Sonra, zayıf düzenli p-li plato (sırayla, Boole plato) fonksiyonlardan üç ağırlıklı doğrusal p-li (sırayla, ikili) kodlar inşa ediyoruz ve bu kodların ağırlık dağılımlarını belirliyoruz. Son olarak da, inşa edilen doğrusal kodların ``mükemmel'' erişim yapılarına sahip gizli paylaşım şemaları üretmek için kullanılabileceğini gösteriyoruz. Bilgimiz dahilinde, \F_p, p tek asal sayı, üzerinde plato fonksiyonlardan doğrusal kodların inşası literatürde ilk kez bu tezde çalışılıyor. Anahtar Kelimeler: Boole fonksiyonlar, vektörel fonksiyonlar, p-li fonksiyonlar, bükük, kısmi bükük, plato, zayıf düzenli (olmayan) plato, doğrusal kodlar, gizli paylaşım şemaları","Plateaued functions, used to construct nonlinear functions and linear codes, play a significant role in cryptography and coding theory. They can possess various desirable cryptographic properties such as high nonlinearity, low autocorrelation, resiliency, propagation criteria, balanced-ness and correlation immunity. In fact, they provide the best possible compromise between resiliency order and nonlinearity. Besides they resist against linear cryptanalysis and fast correlation attacks due to their low Walsh- Hadamard transform values. Indeed, cryptographic algorithms are usually designed by appropriate composition of nonlinear functions, hence plateaued functions have a great effect on the security of these algorithms. Additionally, plateaued functions are closely related to linear codes, the most significant class of codes in coding theory, which have diverse applications in secret sharing schemes, authentication codes, communication, data storage devices and consumer electronics. The main objectives of this thesis are twofold: to study in detail the explicit characterizations for plateaued-ness of functions over finite fields from a cryptographic point of view, and to construct linear codes from weakly regular plateaued functions in coding theory. In this thesis, we first analyse characterizations of plateaued (vectorial) functions over a finite field Fp with p a prime number. More precisely, we obtain a large number of their characterizations in terms of their Walsh power moments, derivatives and autocorrelation functions, with the aim of both clarifying their structure and obtaining information about their construction. In particular, we observe the nonexistence of a homogeneous cubic bent function (and in some cases a (homogeneous) cubic plateaued function) over Fp with p an odd prime. Moreover, we show the nonexistence of a function whose absolute Walsh transform takes exactly three distinct values (one being zero), and introduce a new class of functions whose absoluteWalsh transform takes exactly four distinct values (one being zero). Furthermore, we study partially bent and plateaued functions over a finite field Fq, with q a prime power, and obtain some of their characterizations in order to understand their behaviour over this field. In addition, we introduce the notion of (non)-weakly regular plateaued functions over Fp, with p an odd prime, and provide the secondary constructions of these functions. We then construct three-weight linear p-ary (resp. binary) codes from weakly regular p-ary plateaued (resp. Boolean plateaued) functions and determine their weight distributions. Finally, we show that the constructed linear codes can be used to construct secret sharing schemes with ""nice"" access structures. To the best of our knowledge, the construction of linear codes from plateaued functions over Fp, with p an odd prime, is studied in this thesis for the first time in the literature. Keywords: Boolean functions, vectorial functions, p-ary functions, bent, partially bent, plateaued, (non)-weakly regular plateaued, linear codes, secret sharing schemes"
Orta Doğu Teknik Üniversitesi,Matematik = Mathematics,"q herhangi bir tek asal sayının kuvveti ve Fq da sonlu cisim olsun. Fq'de tanımlanan f fonksiyonunun bütün a 2 F q noktalarındaki türevi, Da f (x) = f (x+a)􀀀 f (x) birebir ve örtense, f fonksiyonuna düzlemsel fonksiyon denir. E˘ger bütün a 2 F q noktalarında türev fonksiyonu kendisi düzlemselse, fonksiyona Alltop fonksiyonu denir. Alltop fonksiyonlarının kriptografi ve ilgili alanlarda özel önemi var. Mesela, bu fonksiyonlar kuantum bilgi teorisinde MUB-kar¸sılıklı tarafsız bazlar in¸sa etmek için kullanılır. x3 ba˘gıntısı Alltop tarafından 1980'de bulunan bir fonksiyon olup aynı zamanda bilinen oto ve çapraz korelasyon sınırlarına göre en ideal ve bütün karakteristi˘gi 3 olmayan sonlu cisimlerde Alltop fonksiyonudur. Daha sonralar, bu fonksiyonların p=3'de varolmadı˘gı gösterilmi¸stir (Hall, Rao, Donovan). ¸Simdiye kadar xq+2 fonksiyonunun da 3-ün q+1-i bölmedi˘gi durumlarda Fq2 sonlu cismi üzerinde Alltop oldu˘gu ve bunun da x3-e EA-e¸sde˘ger olmadı˘gı, ama türevinin düzlemsel olup x2-e EA-e¸sde˘ger oldu˘gu gösterilmi¸stir. Günümüzde de yeni EA-e¸sde˘ger olmayan Alltop fonksiyonlarının olup olmadı˘gı veya yeni Alltop fonksiyonu üretme yöntemleri bilinmemektedir. Bu tezde Fq2 sonlu cisminde olan q-kübik Alltop tek terimli ve iki terimli fonksiyonlarının sınıflandırılması yapılmı¸stır. Özellikle, Fq2 üzerinde ve u 2 F q2 için x3 + ux2q+1 fonksiyonu incelenmi¸s ve bu durum için uygun u de˘gerlerinde L1x3L2 = x3+ux2q+1 ve L1  xq+2  L2 = x3 +ux2q+1 ¸sartlarını sa˘glayan L1(x) = ax+bxq ve L2(x) = cx+dxq lineer permütasyonları bulunmu¸stur. Böylece, u-nun uygun de˘gerlerinde fonksiyonun x3 ve xq+2-ye EA-e¸sde˘ger oldu˘gu kanıtlanmı¸stır. ˙Ilaveten, x3 ve e¸sde˘ger klasları hariç Fq3 'de ba¸ska Alltop kübik q-monomialların (tek terimli) varolmadı˘gı kanıtlanmı¸stır. Ek olarak, Fpn 'den Fp'e ""p-li Alltop fonksiyonları"" kavramı tanımlanmı¸s ve sonlu cisim üzerinde Alltop fonksiyonları ve p-li Alltop fonkisyonları arasındaki ba˘glantı verilmi¸stir. Aynı zamanda bazı bilindik ve bilinmeyen örnekler bulunup verilmi¸stir.","Let q be a power of an odd prime p and let Fq be a finite field. A map f is called planar on Fq if for any a 2 F?q , the di erence map (or derivative of f at a point a) Da(x) = f (x + a) 􀀀 f (x) is bijective. The definition of Alltop function is that, the di erence map at point a in the given field of odd characteristic is itself planar for any a 2 F q. Alltop functions have special importance in cryptography and related areas. For example, they are used to construct mutually unbiased bases (MUB) in quantum information theory. The map x 7! x3 is an Alltop function in all finite fields found by Alltop in 1980 which is an optimal function with respect to the known bounds on auto and crosscorrelation. Since then it was shown that these kind of functions do not exist when p = 3 (Hall, Rao, Donovan). So far, it has been found that xq+2 is also an Alltop function over finite field Fq2 where 3 does not divide q + 1 and this is EA-inequivalent to x3 whereas its di erence function (derivative), which is planar, is EA-equivalent to x2 (Hall, Rao, Gagola). It is still an open problem whether there exist another EA-inequivalent Alltop functions or any method to construct new Alltop functions. In this thesis classification of q-cubic Alltop binomials over Fq2 is given. Specifically, x3 + ux2q+1 in Fq2 for u 2 F q2 is analyzed and for this case permutation polynomials L1(x) = ax + bxq and L2(x) = cx + dxq are found that satisfy L1  x3  L2 = x3 + ux2q+1 and L1  xq+2  L2 = x3 + ux2q+1 for suitable values of u. Hence, by finding suitable values of u, it is shown that this class of functions are EA-equivalent to x3 and xq+2. Moreover, except x3 and the ones in its equivalence class, it is shown that there is no Alltop cubic q-monomials in Fq3 . In addition, new notion ""p-ary Alltop functions"" are defined from Fpn to Fp and the relation between Alltop functions and p-ary Alltop functions over finite fields is given. Furthermore, some trivial and non-trivial p-ary Alltop functions are found and given."
Orta Doğu Teknik Üniversitesi,Matematik = Mathematics,"Bu tezde, her n>=4 için temel grubu Z_2*Z_2 olan ve üzerinde projektif yapı olmayan manifoldlar inşa ettik. Bunlar yüksek boyutlardaki sonsuz temel gruplu ilk manifold örnekleridir. Bu çalışma Cooper ve Goldman'ın 2015 tarihli makalesini temel almıştır. Bu makalede Cooper ve Goldman RP^3#RP^3 3-boyutlu manifoldunun reel projektif yapı taşımadığını göstermişlerdir. Bu 3 boyutta bilinen ilk örnektir.","In this thesis, we construct smooth manifolds with the infinite fundamental group Z_2*Z_2, for any dimension n>=4, admitting no real projective structure. They are first examples of manifolds in higher dimensions with infinite fundamental group admitting no real projective structures. The motivation of our study is the related work of Cooper and Goldman. They proved that RP^3#RP^3 does not admit any real projective structure and this is the first known example in dimension 3."
Orta Doğu Teknik Üniversitesi,Matematik = Mathematics,"Simetrik ve asimetrik şifre algoritmalarının öncelikle brute force'a dayanıklı olması beklenmektedir. Yani, belirli bir anahtar kümesi üzerinde yapılacak ataklara dayanıklı olması gerekmektedir. Bu da; seçilen anahtarın, uygun büyüklükteki bir anahtar uzayının herhangi bir yerinden eşit olasılıkla seçilmiş olması ile sağlanabilmektedir. Bunu garanti etmenin yolu başka kriptografik meselelerde de önem taşıyan istatistiksel rastgelelik testlerinin kullanılmasından geçer. Anahtarın, anahtar uzayından her anahtara eşit şans vererek seçilmiş olması brute force'a karşı dayanıklılığı sağlar. Bunun dışında anahtarlara (parolalara) atak yapmak için kullanılan en bilinen yöntemlerden bir diğeri sözlük saldırılarıdır. Bu ataklar, günlük hayattan seçilmiş kelimeler ve bunların varyasyonlarıyla oluşturulmuş anahtar uzayının alt uzaylarındaki bütün anahtarların denenmesi suretiyle gerçekleşir. Bu çalışmada anahtarların rastgelelik kriterlerine uygun olarak seçilmiş olması gözetilmiş, sözlük atakları gözardı edilmiştir. Bu nedenle, bu tezde anlatılan şekilde üretilen anahtarların belli sözlük testlerinden de geçirilmesi gerekmektedir.","Both symmetric and asymmetric cryptographic algorithms must firstly be robust against brute force. The key needs to be choosen uniformly and randomly from the key space. It is possible to assure randomness by using statistical randomness tests which are also critical for other cryptographic issues as well. There is still an issue to be elaborated: the most well-known tool for attacking againts passwords namely dictionary attacks. These attacks are based on trying all keys from a particular subspace of the key space, which are composed of words from daily life and their variations. In this study we focus on the randomness of the keys but we are not interested with latter issue that is dictionary attacks. The one who use our tests to generate key must check it regarding specified dictionaries."
