university,konu,tr,en
İhsan Doğramacı Bilkent Üniversitesi,Matematik = Mathematics,"Uzunluğu $n$ olan bir permütasyon, kendisinde daha kısa $k$ uzunluğundaki bir permütasyonla aynı göreceli sıralamaya sahip bir altdizi içeriyorsa, bu permütasyonu motif olarak içerir. Aksi takdirde, bu permütasyon bu motifi içermez. Uzunluğu $n$ olan permütasyonlar kümesi $S_n$ ile, uzunluğu $n$ olan ve $\tau$ motifini içermeyen permütasyonlar kümesi $S_n(\tau)$ ile gösterilir. Motif içermeme, motif kümesi $S_k$ üzerinde bir denklik bağıntısı tanımlar. \rho, \tau \in S_k$ iken her $n \geq 1$ için $|S_n(\rho)| = |S_n(\tau)|$ doğruysa $\rho$ ve $\tau$ aynı Wilf sınıfındadır denir ve $\rho \sim_W \tau$ ile gösterilir. Bu denklik sınıflarına Wilf sınıfları denir. Başlıca sorular $S_k$'nın Wilf sınıflarını belirlemek ve her sınıftaki eleman sayısını bulmaktır. Öncelikle $S_3$ ve $S_4$'ün Wilf sınıflarının belirlenmesine ve Wilf sınıflarının sayımına yönelik çalışmaları inceliyoruz. Daha sonra, uzunluğu beş olan ikili motiflerin Wilf sınıflandırmasına ilişkin bazı yeni sayısal sonuçlar sunuyoruz. Eğer bir Wilf sınıfında birden fazla motif ikilisi varsa buna büyük Wilf sınıfı, sadece bir tane motif ikilisi varsa küçük Wilf sınıfı denir. Uzunluğu beş olan ikili motifler için en az 968 küçük Wilf sınıfı ve en fazla 13 büyük Wilf sınıfı olduğunu gösteriyoruz.","A shorter permutation of length $k$ is said to appear as a pattern in a longer permutation of length $n$ if the longer permutation has a subsequence of length $k$ that is order isomorphic to the shorter one. Otherwise, the longer permutation avoids the shorter one as a pattern. We use $S_n(\tau)$ to denote the set of permutations of length $n$ that avoid pattern $\tau$. Pattern avoidance induces an equivalence relation on the pattern set $S_k$. For $\rho, \tau \in S_k$, we define the equivalence relation as follows: $\rho \sim_W \tau$ if and only if $|S_n(\rho)| = |S_n(\tau)|$ for all $n \geq 1.$ The equivalence classes of this relation are called Wilf classes. The main questions are determining the Wilf classes of $S_k$ and enumerating each class. We first study the Wilf classification and enumeration of each class for $S_3$ and $S_4$. We then present some new numerical results regarding the Wilf classification of pairs of patterns of length five. We define a Wilf class as small if it contains only one pair and big if it contains more than one pair. We show that there are at least 968 small Wilf classes and at most 13 big Wilf classes."
İhsan Doğramacı Bilkent Üniversitesi,Matematik = Mathematics,"Profunktörler olarak da bilinen kategoriler arasındaki temel tekabüllerin, funktörleri sınıflandırmaya hizmet ettiği iyi bilinmektedir. Daha açık olarak ifade etmek gerekirse, her F : X → A funktörü, A kategorisinden kategoriler ve profunktörler 2-kategorisine giden gevşek bir χF : A → Cat_prof funktörü olarak düzleşir ([45]). Bu gerçeği çifte kategori teorisinin merceğinden ifade ediyoruz ve bu teorinin bu sonucu ifade etmek için en doğal ortam olduğunu iddia ediyoruz. Daha sonra simpleksel kümeler dünyasına giriyoruz ve eşde˘ger bir teoremi kanıtlıyoruz. Tekabüller kavramını simpleksel kümelere genişletmek kolaydır, ancak uygun bir tensör çarpımının olmaması nedeniyle çifte kategori oluşturulamayabilir. Biz daha yüksek tekabüller kullanarak, en azından, doğal bir simpleksel kategori yapısı olduğunu gösteriyoruz. Sonucumuzu kanıtlarken, çifte kategori teorisindeki bazı kavramları simpleksel kategoriler dünyasına genişletiyoruz. Bir uygulama olarak Lurie'nin iç lif demetlerinin, ∞-kategoriler arasındaki daha yüksek tekabüllere giden functörler ile sınıflandırıldığına dair öngörüsünü kanıtlıyoruz.","It is well-known that correspondences between categories, also known as profunctors, serve in classifying functors. More precisely, every functor F : X → A straightens into a lax mapping χF : A → Cat_prof from A into a 2-category of categories and profunctors ([45]). We give a conceptual treatment of this fact from the lens of double category theory, contending the latter to be most natural environment to express this result. Then we venture into the world of simplicial sets and prove an analogous theorem. The notion of correspondence is easy to extend to simplicial sets, but a suitable double category may not be formed due to the lack of a natural tensor product. Nonetheless, we show that there is a natural simplicial category structure once we invoke higher correspondences. In proving our result we extend some notions from double category theory into the world of simplicial categories. As an application we obtain a realization of Lurie's prediction that inner fibrations are classified by mappings into a higher category of correspondences between ∞-categories."
İhsan Doğramacı Bilkent Üniversitesi,Matematik = Mathematics,Bu tezde Eisenstein cismi üstünde asal argümanlarda tanımlı üçüncü derece ilkel Dirichlet karakterlerine karşılık gelen Hecke L-fonksiyonlarının s = 1/2 noktasına yakın sıfırlarının dağılımı üstünde çalışılmıştır. Genel Riemann Hipotezi varsayımı altında bu L-fonksiyonlarının Katz-Sarnak sanısını desteklediği gösterilmiştir.,"We study the one-level density of low-lying zeros of a family of L-functions associated with cubic Hecke Characters defined over the Eisenstein field. We show that this family of L-functions satisfies the Katz-Sarnak conjecture for all test functions whose Fourier transforms are supported in (-1,1), under the Generalized Riemann Hypothesis."
İhsan Doğramacı Bilkent Üniversitesi,Matematik = Mathematics,"Integrallenebilir doğrusal olmayan kısmi diferansiyel denklemlerin çözülmesinde ters saçılma ve Bäcklund dönüşümü yöntemleri çok etkilidir. Bu yöntemlerin her ikisi de Lax çiftinin varlığına bağlıdır. Bäcklund dönüşümleri bize integrallenebilir doğrusal olmayan kısmi diferansiyel denklemin bazı özel çözümlerini sağlar, ancak ters saçılma yöntemi ise bu denklemlerin başlangıç değer problemlerini çözer. Bu çalışmada Korteweg-de Vries denklemini, Korteweg-de Vries hiyerarşisini ve AKNS sistemini çözmek için bu yöntemleri kullanıyoruz.","Solving integrable nonlinear partial differential equations by the method of inverse scattering and Bäcklund transformations are very effective. Both of these methods depend on the existence of Lax pair. The Bäcklund transformations provide us some particular solutions of the integrable nonlinear partial differential equations but the method of inverse scattering solves the initial value problem of these equations. In this work, we use these methods to solve the Korteweg-de Vries equation, the Korteweg-de Vries hierarchy and AKNS system."
İhsan Doğramacı Bilkent Üniversitesi,Matematik = Mathematics,"Latent dönemi içeren iki epidemiyolojik model karşılastırılmıstır: SEIR model ve gecikmeli SIR model. Her iki model için de endemik ve hastalıksız denge noktalarının kararlılık analizi yapılmış ve hastalık üretme temel eşik değeri belirlenmiştir. Dört ülkenin bakteriyel menenjit veri setleri kullanılarak, modele en uyumlu hastalık bulaşma oranı en küçük kareler yöntemiyle tahmin edilmiş ve her ülke için karşılık gelen hastalık üretme temel eşik değerleri hesaplanmıştır.","Two epidemiological models for the latent period are studied: the SEIR model and the SIR model with delay. Stability analysis of the endemic and the diseasefree equilibria is performed for both models, and the basic reproduction number is determined. Using the meningococcal disease datasets of four countries, the best-tted disease transmission rate is estimated by the least squares method, and the corresponding basic reproduction numbers are calculated for each country."
İhsan Doğramacı Bilkent Üniversitesi,Matematik = Mathematics,Silindirik bir Wiener sureci ile surulen sonsuz boyutta yasayan bir stokastik diferansiyel denkleminin zayif nadirlik ozelligi saglamasi durumunda butun zayif cozumleri icin yarattigi karesi integrallenebilen rassal degiskenlerinin bulundugu uzay icindeki butun martingallerin aldigi stokastik integral gosteriminin varligini gosterecegiz.,"We show that when we have a weak solution to a stochastic differential equation with weak uniqueness property, every square integrable martingale adapted to the filtraiton generated by such a solution admits a stochastic integral representation driven by the martingale part of the equation."
İhsan Doğramacı Bilkent Üniversitesi,Matematik = Mathematics,"Bu tezde, yönsüz ağlar üzerinde komşularının durumlarını öngörmeye çalışıp durumlarını buna göre ayarlayan elemanlarda oluşan Kuramoto modeli araştırılmıştır. Bu öngörülü modelde geleceğe ilişkin kestirimler komşuların geçmiş davranışları kullanılarak yapılmakta ve dolayısıyla sistemin dinamik davranışı gecikmeli diferansiyel denklemler ile ifade edilmektedir. Çalışma, öngörülü davranışın, farklı frekanslar ve kararlılık özelliklerine sahip birden fazla eş zamanlı (senkron) çözümün ortaya çıkmasına neden olduğunu ortaya koymaktadır. Bu eş zamanlı çözümlerin kararlılığı için kesin bir ölçüt sunulmuştur. Sistem, farklı eş zamanlı çözümlerin aynı anda kararlı olabileceği çoklu kararlılık hali gösterebilmektedir. Ayrıca, iki parçalı (bipartit) ağlarda ters evreli (anti-faz) çözümlerinin varlığı kanıtlanmış ve bunların kararlılığı için kesin bir koşul verilmiştir. Dairesel ağlar üzerindeki incelemelerde, sistemin parametre değerlerine bağlı olarak, çeşitli kümeleşmiş desenlerde kendini gösteren daha genel anlamda eş zamanlı çözümler bulunmuştur.","This thesis investigates a system of coupled Kuramoto oscillators on undirected networks comprising of anticipatory agents that try to predict the future states of their neighbors and adjust their states accordingly. The prediction is done using the past behavior of the neighbors and leads to a set of coupled delay differential equations. The study reveals that the anticipatory behavior leads to the emergence of multiple phase-synchronized solutions characterized by distinct collective frequencies and stability properties. An exact criterion for the stability of the phase-synchronized states is derived. It is shown that the system can exhibit multi-stability, where different phase-synchronized solutions can be observed depending on the initial conditions. It is further proved that bipartite graphs can exhibit anti-phase solutions and an exact condition for their stability is provided. Investigation of cycle graphs yields further frequency-synchronized states, in various clustered patterns, depending on the system's parameter values."
İhsan Doğramacı Bilkent Üniversitesi,Matematik = Mathematics,"Haar sistemleri, gruplar üzerine tanımlı Haar ölçülerinin grupoidlere genellemesidir. Doğal bir araştırma alanı ise, Haar ölçülerinin lokal kompakt gruplardaki varlık sonucunun lokal kompakt grupoidlere genellenmesi üzerinedir. Deitmar'ın kompakt grupoidlerde bile Haar sistemi bulunmayabileceğini gösteren sonucunun da işaret ettiği gibi, grupoidler üzerindeki Haar sistemlerinin varlık sorusu, gruplardan oldukça farklıdır. Bu tezde öncelikle lokal kompakt grupların ve üzerine tanımlı Haar ölçülerinin teorisi sunulmuştur. Gruplardaki varlık sorusunun bir motivasyonu olarak, Haar ölçülerinin kullanıldığı tam C∗-cebiri inşa edilmiştir. Lokal kompakt grupoidlerin teorisi sunulmuş ve Renault'un r-ayrık lokal kompakt grupoidler için varlık sorusunun denkliklerine dair sonucu incelenmiştir. Williams'a ait olan, değer fonksiyonunun geçişli ve diğer özelliklere sahip grupoidlerde açıklığına dair sorusu sunulmuştur. Son olarak, Buneci'nin bu soruyu olumsuz olarak cevaplayan örneği incelenmiştir.","Haar systems are generalizations of Haar measures on groups to groupoids. Naturally, important research directions in the field try to generalize the well known existence of a Haar measure on a locally compact group to the existence of Haar systems in different groupoid settings. The groupoid case differs significantly from the group case, evidenced by a result of Deitmar, showing that non-existence is possible even for compact groupoids. We first present the classical theory of locally compact groups and Haar Measures on them. We motivate our investigation by constructing full C∗-algebras on locally compact groups, which uses the existence of Haar measures. Then, we cover the theory of locally compact groupoids and present Renault's result that provides a complete characterization of the existence of Haar systems for the r-discrete locally compact groupoid setting, which are precisely the ones where the range map is a local homeomorphism. We present a question from Williams that investigates if the open range map assumption is redundant for second countable, locally compact and transitive groupoids. Finally, we present Buneci's counter-example that answers this question in the negative."
İhsan Doğramacı Bilkent Üniversitesi,Matematik = Mathematics,"Ekstremal problemler, uzun süredir farklı fonksiyon uzaylarında incelenmiştir. Ferguson [3]'teki çalışmasında, 1 < p < ∞ için Bergman uzaylarında, Bergman izdüşümlerini kullanarak özel formdaki ekstremal problemleri çözmek için bir yöntem geliştirmiştir. Sonra, bu yöntem [13]'teki çalışmada yine 1 < p < ∞ olmak üzere ağırlıklı Bergman uzaylarına genelleştirilmiştir. Şimdi, biz bu yöntemi p = 1 durumuna genelliyoruz. Bu iki durum Bergman izdüşümlerinin ve dual uzaylarının yapısında ayrışıyor. Önce fonksiyon uzaylarımız olan Bergman, Bloch ve Besov uzaylarını tanımlıyoruz ve Bergman izdüşümünün kullanımını gösteriyoruz. Ardından, ekstremal problemimizin bir tek çözümünün varlığını sağlamak için gerekli koşulları buluyoruz. Sonrasında, Bergman izdüşümünü kullanarak p = 1 durumu için çözümümüze bir aday fonksiyon buluyoruz ve eğer bu fonksiyon hiçbir zaman 0 değerini almıyorsa gerçekten de onun çözüm olduğunu gösteriyoruz. Son olarak, özel şartlar altında, benzer bir problemi Besov uzayında çözüyoruz.","Extremal problems in different function spaces have long been investigated. Ferguson provides a method, using Bergman projections, to solve certain types of the extremal problems in Bergman spaces for 1 < p < ∞ in his work [3]. Later the method is extended to weighted Bergman spaces for 1 < p < ∞ in [13]. Now, we extend this method to the p = 1 case. The two cases differ in the structure of Bergman projections and dual spaces. First, we define some function spaces, namely weighted Bergman spaces, the Bloch space, Besov spaces, and show the usage of Bergman projection on these spaces. Then, we find some conditions to ensure the existence of unique solutions for extremal problems. Later, we use Bergman projection to find a candidate function for the solution in the p = 1 case, and we prove that the candidate function is the solution if it never attains the value 0. Finally, under special conditions, we solve a similar problem in Besov spaces."
İhsan Doğramacı Bilkent Üniversitesi,Matematik = Mathematics,"Hikari basit cebirlerin tüm sonlu p-altgruplarını sınıflandırır ve Banieqbal 2×2 matrislerinin sonlu altgruplarını karakteristiği sıfır olan bir bölme cebiri üzerinde sınıflandırır. Bu tezde, 2 × 2 matrislerin sonlu p-altgruplarını kuaterniyonik cebir üzerinden sınıflandırmak için yeni bir kanıt veriyoruz. Bu sınıflandırmayı kullanarak, Sp(2) simplektik grubunun sonlu p-altgruplarını sınıflandıracağız. Daha doğrusu, her asal p için, Sp(2)'nin sayılabilir bir p-altgrupları ailesi tanımlarız, böylece Sp(2)'nin her sonlu p-altgrubu bu ailenin üyelerinden birinin içinde yaşar. Mümkün olduğu durumlarda Sp(n) için genel sonuçlar kanıtlayarak bu özel sınıflandırmayı verdik.","Hikari classifies all finite p-subgroups of simple algebras, and Banieqbal classifies the finite subgroups of 2×2 matrices over a division algebra of characteristic zero. In this thesis, we give a new proof for the classification of the finite p-subgroups of 2 × 2 matrices over the quaternionic algebra. Using this classification, we classify finite p-subgroups of the symplectic group Sp(2). More precisely, for every prime p, we define a denumerable family of p-subgroups of Sp(2) so that every finite p-subgroup of Sp(2) lives inside one of the members of this family. To give this classification, we proved general results for Sp(n) whenever possible."
