id,mt_content,source_content,user_content,title,deepl
mw0g_631,,"Multiple lines of evidence suggested the existence of a massive planet orbiting in the region around 10 AU from the star: the dust-free gap between the planetesimal belts at 6.4 AU and 16 AU suggest this region is being cleared out;[46] a planet at this distance would explain the origin of the falling evaporating bodies,[52] and the warps and inclined rings in the inner disk suggest a massive planet on an inclined orbit is disrupting the disk.[41][55]","Çok sayıda kanıt, bölgede yörüngede yaklaşık 10 AU'luk bir alanda yörüngede dönen büyük bir gezegenin varlığını ortaya koymuştur: 6.4 AU ve 16 AU'daki gezegensel kayışlar arasındaki tozsuz aralık, bu bölgenin temizlendiğini önermektedir;[46]bu mesafedeki bir gezegen düşen buharlaşan cisimlerin kökenini açıklar,[52] ve iç diskteki çözgü ve eğimli halkalar eğik bir yörüngede dev bir gezegenin diski kesintiye uğrattığını gösteriyor.[41][55]",Orbit,"Çok sayıda kanıt, bölgede yörüngede yaklaşık 10 AU'luk bir alanda yörüngede dönen büyük bir gezegenin varlığını ortaya koymuştur: 6.4 AU ve 16 AU'daki gezegensel kayışlar arasındaki tozsuz aralık, bu bölgenin temizlendiğini önermektedir;[46]bu mesafedeki bir gezegen düşen buharlaşan cisimlerin kökenini açıklar,[52] ve iç diskteki çözgü ve eğimli halkalar eğik bir yörüngede dev bir gezegenin diski kesintiye uğrattığını gösteriyor.[41][55]"
mw2A_639,,"The observed planet by itself cannot explain the structure of the planetesimal belts at 30 AU and 52 AU from the star. These belts might be associated with smaller planets at 25 and 44 AU, with around 0.5 and 0.1 Jupiter masses respectively.[18] Such a system of planets, if it exists, would be close to a 1:3:7 orbital resonance. It may also be that the rings in the outer disc at 500–800 AU are indirectly caused by the influence of these planets.[18]","Gözlemlenen gezegen, yıldızdan 30 AU ve 52 AU'da planetesimal kayışların yapısını tek başına açıklayamaz. Bu kayışlar sırasıyla yaklaşık 0.5 ve 0.1 Jüpiter kütlelerle birlikte 25 ve 44 AU'da daha küçük gezegenlerle ilişkili olabilirler.[18] Böyle bir gezegen sistemi varsa, 1: 3: 7 orbital rezonansa yakındır. Ayrıca, 500-800 AU arasındaki dış diskteki halkaların bu gezegenlerin etkisinden dolaylı olarak kaynaklanıyor olabileceği de olabilir.[18]",Orbit,"Gözlemlenen gezegen, yıldızdan 30 AU ve 52 AU'da planetesimal kayışların yapısını tek başına açıklayamaz. Bu kayışlar sırasıyla yaklaşık 0,5 ve 0,1 Jüpiter kütleleriyle birlikte 25 ve 44 AU'da daha küçük gezegenlerle ilişkili olabilirler.[18] Böyle bir gezegen sistemi varsa, 1: 3: 7 orbital rezonansa yakındır. Ayrıca, 500-800 AU arasındaki dış diskteki halkaların bu gezegenlerin etkisinden dolaylı olarak kaynaklanıyor olabileceği de olabilir.[18]"
mw2g_645,,"The object was observed at an angular distance of 411 milliarcseconds from Beta Pictoris, which corresponds to a distance in the plane of the sky of 8 AU. For comparison, the orbital radii of the planets Jupiter and Saturn are 5.2 AU[56] and 9.5 AU[57] respectively. The separation in the radial direction is unknown, so this is a lower limit on the true separation. Estimates of its mass depend on theoretical models of planetary evolution, and predict the object has about 8 Jupiter masses and is still cooling, with a temperature ranging from 1400–1600 K. These figures come with the caveat that the models have not yet been tested against real data in the likely ranges of mass and age for the planet.","Nesne, 8 AU gökyüzünün düzlemindeki bir mesafeye tekabül eden Beta Pictoris'ten 411 milisaniye saniye aralığında gözlemlendi. Karşılaştırma için, Jüpiter ve Satürn gezegenlerinin yörünge yarıçapları 5,2 AU'dır[56] ve 9.5 AU[57] sırasıyla. Radyal yöndeki ayrım bilinmemektedir, bu nedenle bu gerçek ayrımın alt sınırıdır. Kütlesinin tahminleri, gezegensel evrimin teorik modellerine bağlıdır ve nesnenin yaklaşık 8 Jüpiter kütlesi olduğunu ve hala 1400-1600 K sıcaklık aralığında soğutulduğunu öngörür. Bu rakamlar, modellerin henüz test edilmediği yönündeki uyarı ile birlikte gelir Gezegen için olası kitle ve yaş aralıklarındaki gerçek verilere karşı.",Orbit,"Nesne, 8 AU gökyüzünün düzlemindeki bir mesafeye tekabül eden Beta Pictoris'ten 411 milisaniye saniye aralığında gözlemlendi. Karşılaştırma için, Jüpiter ve Satürn gezegenlerinin yörünge yarıçapları 5,2 AU'dır[56] ve 9,5 AU[57] sırasıyla. Radyal yöndeki ayrım bilinmemektedir, bu nedenle bu gerçek ayrımın alt sınırıdır. Kütlesinin tahminleri, gezegensel evrimin teorik modellerine bağlıdır ve nesnenin yaklaşık 8 Jüpiter kütlesi olduğunu ve hala 1400-1600 K sıcaklık aralığında soğutulduğunu öngörür. Bu rakamlar, modellerin henüz test edilmediği yönündeki uyarı ile birlikte gelir Gezegen için olası kitle ve yaş aralıklarındaki gerçek verilere karşı."
mw3Q_652,,"The semimajor axis is 8-9 AU and its orbital period is 17–21 years.[58] A ""transit-like event"" was observed in November 1981;[59][60] this is consistent with those estimates.[58] If this is confirmed as a true transit, the inferred radius of the transiting object is 2–4 Jupiter radii, which is larger than predicted by theoretical models. This may indicate that it is surrounded by a large ring system or a moon-forming disc.[60]","Yarım ana eksen 8-9 AU'dur ve yörünge süresi 17-21 yıldır.[58] Kasım 1981'de ""transit benzeri bir olay"" görülmüştür;[59][60] bu tahminlerle tutarlıdır.[58] Eğer bu gerçek bir transit olarak onaylanırsa, geçiş yapan cismin çıkarımlı yarıçapı teorik modellerden tahmin edilenden daha büyük 2-4 Jüpiter yarıçapıdır. Bu, büyük bir halka sistemi ya da ay oluşturan bir diskle çevrelendiğini gösterebilir.[60]",Orbit,"Yarım ana eksen 8-9 AU'dur ve yörünge süresi 17-21 yıldır.[58] Kasım 1981'de ""transit benzeri bir olay"" görülmüştür;[59][60] bu tahminlerle tutarlıdır.[58] Eğer bu gerçek bir transit olarak onaylanırsa, geçiş yapan cismin çıkarımlı yarıçapı teorik modellerden tahmin edilenden daha büyük 2-4 Jüpiter yarıçapıdır. Bu, büyük bir halka sistemi ya da ay oluşturan bir diskle çevrelendiğini gösterebilir[60]."
mw4A_661,,"In 2000, observations made with the Advanced Meteor Orbit Radar facility in New Zealand revealed the presence of a stream of particles coming from the direction of Beta Pictoris, which may be a dominant source of interstellar meteoroids in the Solar System.[19] The particles in the Beta Pictoris dust stream are relatively large, with radii exceeding 20 micrometers, and their velocities suggest that they must have left the Beta Pictoris system at roughly 25 km/s. These particles may have been ejected from the Beta Pictoris debris disk as a result of the migration of gas giant planets within the disk and may be an indication that the Beta Pictoris system is forming an Oort cloud.[61] Numerical modeling of dust ejection indicates radiation pressure may also be responsible and suggests that planets further than about 1 AU from the star cannot directly cause the dust stream.[62]","2000'de, Yeni Zelanda'daki Gelişmiş Meteor Orbit Radar tesisi ile yapılan gözlemler, Güneş Sistemi'nde yıldızlararası meteoroidlerin baskın bir kaynağı olabilecek Beta Pictoris yönünden gelen bir partikül akışının varlığını ortaya koydu.[19] Beta Pictoris toz akımındaki parçacıklar, yarıçapları 20 mikronu aşan nispeten büyüktür ve hızları, Beta Pictoris sistemini kabaca 25 km / s'de bırakmış olması gerektiğini göstermektedir. Bu parçacıklar, devasa gezegenlerin disk içinde taşınması sonucunda Beta Pictoris enkaz diskinden çıkmış olabilir ve Beta Pictoris sisteminin bir Oort bulutu oluşturduğunun bir göstergesi olabilir.[61] Toz çıkarma işleminin sayısal modellenmesi, radyasyon basıncının da sorumlu olabileceğini gösterir ve yıldızdan yaklaşık 1 AU'dan daha uzaktaki gezegenlerin doğrudan toz akışına neden olamayacağını önermektedir.[62]",Orbit,"2000'de, Yeni Zelanda'daki Gelişmiş Meteor Yörünge Radarı tesisi ile yapılan gözlemler, Güneş Sistemi'nde yıldızlararası meteoroidlerin baskın bir kaynağı olabilecek Beta Pictoris yönünden gelen bir partikül akışının varlığını ortaya koydu.[19] Beta Pictoris toz akımındaki parçacıklar, yarıçapları 20 mikronu aşan nispeten büyüktür ve hızları, Beta Pictoris sistemini kabaca 25 km/s'de bırakmış olması gerektiğini göstermektedir. Bu parçacıklar, devasa gezegenlerin disk içinde taşınması sonucunda Beta Pictoris enkaz diskinden çıkmış olabilir ve Beta Pictoris sisteminin bir Oort bulutu oluşturduğunun bir göstergesi olabilir.[61] Toz çıkarma işleminin sayısal modellenmesi, radyasyon basıncının da sorumlu olabileceğini gösterir ve yıldızdan yaklaşık 1 AU'dan daha uzaktaki gezegenlerin doğrudan toz akışına neden olamayacağını önermektedir.[62]"
mwBg_230,,"Beta Pictoris (β Pic, β Pictoris) is the second brightest star in the constellation Pictor. It is located 63.4 light years from the Solar System, and is 1.75 times as massive and 8.7 times as luminous as the Sun. The Beta Pictoris system is very young, only 20 to 26 million years old,[10] although it is already in the main sequence stage of its evolution.[7] Beta Pictoris is the title member of the Beta Pictoris moving group, an association of young stars which share the same motion through space and have the same age.[11]","Beta Pictoris (β Pic, β Pictoris) Pictor takımyıldızının en parlak ikinci yıldızı. Güneş Sistemi'nden 63.4 ışıkyılı uzaklıkta ve Güneş'ten 1.75 kat daha büyük ve 8.7 kat daha parlak. Beta Pictoris sistemi çok genç, sadece 20 ila 26 milyon yaşında,[10] Halihazırda evriminin ana dizisi aşamasında olmasına rağmen.[7] Beta Pictoris, aynı hareketi yerden paylaşan ve aynı yaşta olan genç yıldızların birleşimi olan Beta Pictoris hareketli grubunun unvan üyesidir.[11]",Orbit,"Beta Pictoris (β Pic, β Pictoris) Pictor takımyıldızının en parlak ikinci yıldızı. Güneş Sistemi'nden 63,4 ışıkyılı uzaklıkta ve Güneş'ten 1,75 kat daha büyük ve 8,7 kat daha parlak. Beta Pictoris sistemi çok genç, sadece 20 ila 26 milyon yaşında,[10] Halihazırda evriminin ana dizisi aşamasında olmasına rağmen.[7] Beta Pictoris, aynı hareketi yerden paylaşan ve aynı yaşta olan genç yıldızların birleşimi olan Beta Pictoris hareketli grubunun unvan üyesidir.[11]"
mwEw_246,,"Beta Pictoris shows an excess of infrared emission[12] compared to normal stars of its type, which is caused by large quantities of dust and gas (including carbon monoxide)[13][14] near the star. Detailed observations reveal a large disk of dust and gas orbiting the star, which was the first debris disk to be imaged around another star.[15] In addition to the presence of several planetesimal belts[16] and cometary activity,[17] there are indications that planets have formed within this disk and that the processes of planet formation may still be ongoing.[18] Material from the Beta Pictoris debris disk is thought to be the dominant source of interstellar meteoroids in the Solar System.[19]","Beta Pictoris, kızılötesi yayılımın aşırı olduğunu gösterir[12] büyük miktarda toz ve gazdan kaynaklanan (karbon monoksit dahil) tipindeki normal yıldızlara kıyasla,[13][14] yıldızın yakınında. Ayrıntılı gözlemler, yıldızın çevresinde dönen büyük bir toz ve gaz diskini ortaya çıkarıyor; bu yıldız, başka bir yıldızın etrafında görüntülenecek enkaz diskiydi.[15] Birkaç planetesimal kemerin varlığına ek olarak[16]ve cometary etkinlik,[17] Bu diskte gezegenlerin oluştuğuna ve gezegen oluşum süreçlerinin hâlâ sürmekte olduğuna dair işaretler vardır.[18] Güneş Sistemi'nde Beta Pictoris enkaz diskinden gelen materyallerin yıldızlararası meteoroidlerin baskın kaynağı olduğu düşünülmektedir.[19]",Orbit,"Beta Pictoris, kızılötesi yayılımın aşırı olduğunu gösterir[12] büyük miktarda toz ve gazdan kaynaklanan (karbon monoksit dahil) tipindeki normal yıldızlara kıyasla,[13][14] yıldızın yakınında. Ayrıntılı gözlemler, yıldızın çevresinde dönen büyük bir toz ve gaz diskini ortaya çıkarıyor; bu yıldız, başka bir yıldızın etrafında görüntülenecek enkaz diskiydi.[15] Birkaç gezegenimsi kemerin varlığına ek olarak[16] ve kuyruklu yıldız etkinliği,[17] Bu diskte gezegenlerin oluştuğuna ve gezegen oluşum süreçlerinin hâlâ sürmekte olduğuna dair işaretler vardır.[18] Güneş Sistemi'nde Beta Pictoris enkaz diskinden gelen materyallerin yıldızlararası meteoroidlerin baskın kaynağı olduğu düşünülmektedir.[19]"
mwIA_267,,"Beta Pictoris is a star in the southern constellation of Pictor, the Easel, and is located to the west of the bright star Canopus.[21] It traditionally marked the sounding line of the ship Argo Navis, before the constellation was split.[22] The star has an apparent visual magnitude of 3.861,[1] so is visible to the naked eye under good conditions, though light pollution may result in stars dimmer than magnitude 3 being too dim to see. It is the second brightest in its constellation, exceeded only by Alpha Pictoris, which has an apparent magnitude of 3.30.[23]","Beta Pictoris, Pictor'un güney takımyıldızı olan The Easel'de bir yıldızdır ve parlak yıldız Canopus'un batısındadır.[21]Takımyıldızı bölünmeden önce, geleneksel olarak geminin Argo Navis sondaj hattını işaretledi..[22] Yıldızın açık görsel büyüklüğü 3.861,[1] bu nedenle, iyi koşullar altında çıplak gözle görülebilir, oysa ışık kirliliği, yıldızların magnitüd 3'ten göründüğü kadar loş olmasına neden olabilir. Takımyıldızın en parlak ikinci kısmı sadece Alpha Pictoris tarafından aşılmış ve görünür büyüklüğü 3.30'dur..[23]",Orbit,"Beta Pictoris, Pictor'un güney takımyıldızı olan The Easel'de bir yıldızdır ve parlak yıldız Canopus'un batısındadır.[21]Takımyıldızı bölünmeden önce, geleneksel olarak geminin Argo Navis sondaj hattını işaretledi..[22] Yıldızın açık görsel büyüklüğü 3.861,[1] bu nedenle, iyi koşullar altında çıplak gözle görülebilir, oysa ışık kirliliği, yıldızların magnitüd 3'ten göründüğü kadar loş olmasına neden olabilir. Takımyıldızın en parlak ikinci kısmı sadece Alpha Pictoris tarafından aşılmış ve görünür büyüklüğü 3.30'dur...[23]"
mwKA_279,,"The distance to Beta Pictoris and many other stars was measured by the Hipparcos satellite. This was done by measuring its trigonometric parallax: the slight displacement in its position observed as the Earth moves around the Sun. Beta Pictoris was found to exhibit a parallax of 51.87 milliarcseconds,[24] a value which was later revised to 51.44 milliarcseconds when the data was reanalyzed taking systematic errors more carefully into account.[6] The distance to Beta Pictoris is therefore 63.4 light years, with an uncertainty of 0.1 light years.[25][note 3]","Beta Pictoris'e uzaklığı ve diğer birçok yıldız Hipparcos uydusu tarafından ölçüldü. Bu, onun trigonometrik paralaktürünü ölçerek yapıldı: Dünya Güneş'in etrafında hareket ettiği sırada gözlenen konumundaki hafif deplasman. Beta Pictoris'in 51.87 milisaniye saniyesi paralaksı sergilediği bulundu,[24]daha sonra sistematik hatalar dikkate alınarak yeniden analiz edildiğinde 51.44 milisaniye olarak gözden geçirilen bir değer.[6] Beta Pictoris'e olan uzaklık bu nedenle 63.4 ışık yılıdır ve 0.1 ışık yılı belirsizliğindedir.[25][note 3]",Orbit,"Beta Pictoris'e uzaklığı ve diğer birçok yıldız Hipparcos uydusu tarafından ölçüldü. Bu, onun trigonometrik paralaktürünü ölçerek yapıldı: Dünya Güneş'in etrafında hareket ettiği sırada gözlenen konumundaki hafif deplasman. Beta Pictoris'in 51.87 milisaniye saniyesi paralaksı sergilediği bulundu,[24]daha sonra sistematik hatalar dikkate alınarak yeniden analiz edildiğinde 51.44 milisaniye olarak gözden geçirilen bir değer.[6] Beta Pictoris'e olan uzaklık bu nedenle 63,4 ışık yılıdır ve 0,1 ışık yılı belirsizliğindedir.[25][not 3]"
mwLw_290,,"The Hipparcos satellite also measured the proper motion of Beta Pictoris: it is traveling eastwards at a rate of 4.65 milliarcseconds per year, and northwards at a rate of 83.10 milliarcseconds per year.[6] Measurements of the Doppler shift of the star's spectrum reveals it is moving away from Earth at a rate of 20 km/s.[5] Several other stars share the same motion through space as Beta Pictoris and likely formed from the same gas cloud at roughly the same time: these comprise the Beta Pictoris moving group.[11]","Hipparcos uydusu ayrıca Beta Pictoris'in uygun hareketini ölçtü: yılda 4.65 milisaniye saniyede ve doğuya doğru yılda 83.10 milisaniye saniyede bir hızla ilerliyor.[6] Yıldızın spektrumunun Doppler kaymasının ölçümleri, 20 km / s hızla Dünya'dan uzaklaştığını ortaya koyuyor.[5] Birçok diğer yıldız aynı hareketi Beta Pictoris gibi uzaydan paylaşıyor ve büyük olasılıkla aynı gaz bulutundan kabaca aynı zamanda oluşuyor: bunlar, Beta Pictoris hareketli grubunu oluşturuyor.[11]",Orbit,"Hipparcos uydusu ayrıca Beta Pictoris'in uygun hareketini ölçtü: yılda 4,65 milisaniye saniyede ve doğuya doğru yılda 83.10 milisaniye saniyede bir hızla ilerliyor.[6] Yıldızın spektrumunun Doppler kaymasının ölçümleri, 20 km/s hızla Dünya'dan uzaklaştığını ortaya koyuyor.[5] Birçok diğer yıldız aynı hareketi Beta Pictoris gibi uzaydan paylaşıyor ve büyük olasılıkla aynı gaz bulutundan kabaca aynı zamanda oluşuyor: bunlar, Beta Pictoris hareketli grubunu oluşturuyor.[11]"
